| Government | SOUTH AFRICA |
| --- | --- |
| Country name: | conventional long form: Republic of South Africa |
| Country name: | conventional short form: South Africa |
| Country name: | former: Union of South Africa |
| Country name: | abbreviation: RSA |
| Country name: | etymology: self-descriptive name from the country's location on the continent; "Africa" is derived from the Roman designation of the area corresponding to present-day Tunisia "Africa terra," which meant "Land of the Afri" (the tribe resident in that area), but which eventually came to mean the entire continent |
| Government type: | parliamentary republic |
| Capital: | name: Pretoria (administrative capital); Cape Town (legislative capital); Bloemfontein (judicial capital) |
| Capital: | geographic coordinates: 25 42 S, 28 13 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 9 provinces; Eastern Cape, Free State, Gauteng, KwaZulu-Natal, Limpopo, Mpumalanga, Northern Cape, North West, Western Cape |
| Independence: | 31 May 1910 (Union of South Africa formed from four British colonies: Cape Colony, Natal, Transvaal, and Orange Free State); 31 May 1961 (republic declared); 27 April 1994 (majority rule) |
| National holiday: | Freedom Day, 27 April (1994) |
| Constitution: | history: several previous; latest drafted 8 May 1996, approved by Constitutional Court 4 December 1996, effective 4 February 1997 |
| Constitution: | amendments: proposed by the National Assembly of Parliament; passage of amendments affecting constitutional sections on human rights and freedoms, non-racism and non-sexism, supremacy of the constitution, suffrage, the multi-party system of democratic government, and amendment procedures requires at least 75% majority vote of the Assembly, approval by at least six of the nine provinces represented in the National Council of Provinces, and assent by the president of the republic; passage of amendments affecting the Bill of Rights, and those related to provincial boundaries, powers, and authorities requires at least two-thirds majority vote of the Assembly, approval by at least six of the nine provinces represented in the National Council, and assent by the president; amended many times, last in 2013 (2017) |
| Legal system: | mixed legal system of Roman-Dutch civil law, English common law, and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of South Africa |
| Citizenship: | dual citizenship recognized: yes, but requires prior permission of the government |
| Citizenship: | residency requirement for naturalization: 1 year |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jacob ZUMA (since 9 May 2009); Deputy President Matamela Cyril RAMAPHOSA (since 26 May 2014) note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Jacob ZUMA (since 9 May 2009); Deputy President Matamela Cyril RAMAPHOSA (since 26 May 2014) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections/appointments: president indirectly elected by the National Assembly for a 5-year term (eligible for a second term); election last held on 21 May 2014 (next to be held in May 2019) |
| Executive branch: | election results: Jacob ZUMA (ANC) reelected president by the National Assembly unopposed |
| Legislative branch: | description: bicameral Parliament consists of the National Council of Provinces (90 seats; 10-member delegations appointed by each of the 9 provincial legislatures to serve 5-year terms; note - this council has special powers to protect regional interests, including safeguarding cultural and linguistic traditions among ethnic minorities) and the National Assembly (400 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 5-year terms) |
| Legislative branch: | elections: National Council of Provinces and National Assembly - last held on 7 May 2014 (next to be held in 2019) |
| Legislative branch: | election results: National Council of Provinces - percent of vote by party - NA; seats by party - ANC 60, DA 20, EFF 7, IFP 1, NFP 1, UDM 1; National Assembly - percent of vote by party - ANC 62.2%, DA 22.2%, EFF 6.4%, IFP 2.4%, NFP 1.6%, UDM 1.0%, other 4.2%; seats by party - ANC 249, DA 89, EFF 25, IFP 10, NFP 6, UDM 4, other 17 |
| Judicial branch: | highest court(s): Supreme Court of Appeals (consists of the court president, deputy president, and 21 judges); Constitutional Court (consists of the chief and deputy chief justices and 9 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court of Appeals president and vice president appointed by the national president after consultation with the Judicial Services Commission (JSC), a 23-member body chaired by the chief justice and includes other judges and judicial executives, members of parliament, practicing lawyers and advocates, a teacher of law, and several members designated by the national president; other Supreme Court judges appointed by the national president on the advice of the JSC and hold office until discharged from active service by an Act of Parliament; Constitutional Court chief and deputy chief justices appointed by the national president after consultation with the JSC and with heads of the National Assembly; other Constitutional Court judges appointed by the national president after consultation with the chief justice and leaders of the National Assembly; Constitutional Court judges appointed for 12-year non-renewable terms or until age 70 |
