| Government | Bahrain |
| --- | --- |
| Country name: | conventional long form: Kingdom of Bahrain |
| Country name: | conventional short form: Bahrain |
| Country name: | local long form: Mamlakat al Bahrayn |
| Country name: | local short form: Al Bahrayn |
| Country name: | former: Dilmun |
| Government type: | constitutional hereditary monarchy |
| Capital: | name: Manama |
| Capital: | geographic coordinates: 26 13 N, 50 35 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 5 governorates; Asamah, Janubiyah, Muharraq, Shamaliyah, Wasat |
| Administrative divisions: | note: each governorate administered by an appointed governor |
| Independence: | 15 August 1971 (from UK) |
| National holiday: | National Day, 16 December (1971); note - 15 August 1971 is the date of independence from the UK, 16 December 1971 is the date of independence from British protection |
| Constitution: | new constitution 14 February 2002 |
| Legal system: | based on Islamic law and English common law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King HAMAD bin Isa al-Khalifa (since 6 March 1999); Heir Apparent Crown Prince SALMAN bin Hamad (son of the monarch, born 21 October 1969) |
| Executive branch: | head of government: Prime Minister KHALIFA bin Salman al-Khalifa (since 1971); Deputy Prime Ministers ALI bin Khalifa bin Salman al-Khalifa, MUHAMMAD bin Mubarak al-Khalifa, Jawad al-ARAIDH |
| Executive branch: | cabinet: Cabinet appointed by the monarch |
| Executive branch: | elections: none; the monarchy is hereditary; prime minister appointed by the monarch |
| Legislative branch: | bicameral Parliament consists of Shura Council (40 members appointed by the King) and House of Deputies (40 members directly elected to serve four-year terms) |
| Legislative branch: | elections: House of Deputies - last held 31 October 2002 (next election to be held in September 2006) |
| Legislative branch: | election results: House of Deputies - percent of vote by party - NA; seats by party - Sunni Islamists 12, Shia grouping 7, other groupings and independents 21 |
| Legislative branch: | note: first elections since 7 December 1973; unicameral National Assembly dissolved 26 August 1975; National Action Charter created bicameral legislature on 23 December 2000; approved by referendum 14 February 2001; first legislative session of Parliament held on 25 December 2002 |
| Judicial branch: | High Civil Appeals Court |
| Political parties and leaders: | political parties prohibited but political societies were legalized per a July 2005 law |
| Political pressure groups and leaders: | Shi'a activists fomented unrest sporadically in 1994-97 and have recently engaged in protests and marches, demanding that more power be vested in the elected Council of Representatives and that the government do more to decrease unemployment; several small, clandestine leftist and Islamic fundamentalist groups are active |
| International organization participation: | ABEDA, AFESD, AMF, FAO, G-77, GCC, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDB, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IPU, ISO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Nasir bin Muhammad al-BALUSHI |
| Diplomatic representation in the US: | chancery: 3502 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-1111 |
| Diplomatic representation in the US: | FAX: [1] (202) 362-2192 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador William T. MONROE |
| Diplomatic representation from the US: | embassy: Building #979, Road 3119 (next to Al-Ahli Sports Club), Block 331, Zinj District, Manama |
| Diplomatic representation from the US: | mailing address: American Embassy Manama, PSC 451, FPO AE 09834-5100; international mail: American Embassy, Box 26431, Manama |
| Diplomatic representation from the US: | telephone: [973] 1724-2700 |
| Diplomatic representation from the US: | FAX: [973] 1727-0547 |
| Flag description: | red, the traditional color for flags of Persian Gulf states, with a white serrated band (five white points) on the hoist side; the five points represent the five pillars of Islam |
