| Government | BAHRAIN |
| --- | --- |
| Country name: | conventional long form: Kingdom of Bahrain |
| Country name: | conventional short form: Bahrain |
| Country name: | local long form: Mamlakat al Bahrayn |
| Country name: | local short form: Al Bahrayn |
| Country name: | former: Dilmun, State of Bahrain |
| Country name: | etymology: the name means "the two seas" in Arabic and refers to the water bodies surrounding the archipelago |
| Government type: | constitutional monarchy |
| Capital: | name: Manama |
| Capital: | geographic coordinates: 26 14 N, 50 34 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 4 governorates (muhafazat, singular - muhafazah); Asimah (Capital), Janubiyah (Southern), Muharraq, Shamaliyah (Northern) |
| Administrative divisions: | note: each governorate administered by an appointed governor |
| Independence: | 15 August 1971 (from the UK) |
| National holiday: | National Day, 16 December (1971); note - 15 August 1971 was the date of independence from the UK, 16 December 1971 was the date of independence from British protection |
| Constitution: | adopted 14 February 2002; amended 2012 (2015) |
| Legal system: | mixed legal system of Islamic law, English common law, Egyptian civil, criminal, and commercial codes; customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Bahrain |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 25 years; 15 years for Arab nationals |
| Suffrage: | 20 years of age; universal; note - Bahraini Cabinet in May 2011 endorsed a draft law lowering eligibility to 18 years |
| Executive branch: | chief of state: King HAMAD bin Isa Al-Khalifa (since 6 March 1999); Crown Prince SALMAN bin Hamad Al-Khalifa (son of the monarch, born 21 October 1969) |
| Executive branch: | head of government: Prime Minister KHALIFA bin Salman Al-Khalifa (since 1971); First Deputy Prime Minister SALMAN bin Hamad Al Khalifa (since 11 March 2013); Deputy Prime Ministers ALI bin Khalifa bin Salman Al-Khalifa, Jawad bin Salim al-ARAIDH (since 11 December 2006), KHALID bin Abdallah Al Khalifa (since November 2010), MUHAMMAD bin Mubarak Al-Khalifa (since September 2005) |
| Executive branch: | cabinet: Cabinet appointed by the monarch |
| Executive branch: | elections/appointments: the monarchy is hereditary; prime minister appointed by the monarch |
| Legislative branch: | description: bicameral National Assembly consists of the Consultative Council or Majlis al Shura (40 seats; members appointed by the king) and the Council of Representatives or Majlis al Nuwab (40 seats; members directly elected in single-seat constituencies by absolute majority vote in two rounds if needed; members serve 4-year renewable terms) |
| Legislative branch: | elections: Council of Representatives - last held in two rounds on 23 and 29 November 2014 (next in November 2018) |
| Legislative branch: | election results: Council of Representatives - percent of vote by society - NA; seats by society - Al-Asalah (Sunni Salafi) 2, Islamic Minbar (Sunni Muslim Brotherhood) 1, independent 36, other 1; note - Bahrain has societies rather than parties |
| Judicial branch: | highest court(s): Court of Cassation or Supreme Court of Appeal (consists of the chairman and 3 judges); Constitutional Court (consists of the president and 6 members); High Sharia Court of Appeal |
| Judicial branch: | note: the judiciary of Bahrain is divided into civil law courts and sharia law courts |
| Judicial branch: | judge selection and term of office: Court of Cassation judges appointed by royal decree and serve for a specified tenure; Constitutional Court president and members appointed by the Higher Judicial Council, a body chaired by the monarch and includes judges from the Court of Cassation, sharia law courts, and Civil High Courts of Appeal; members serve 9-year terms; High Sharia Court of Appeal member appointment and tenure NA |
| Judicial branch: | subordinate courts: Civil High Courts of Appeal; middle and lower civil courts; High Sharia Court of Appeal; Senior Sharia Court |
| Political parties and leaders: | note: political parties are prohibited but political societies were legalized per a July 2005 law |
| Political parties and leaders: | Al-Wefaq National Islamic Society or Al-Wefeq [Ali SALMAN] |
| Political parties and leaders: | Arab Islamic Center Society [Abdulrahman AL-BAKER] |
| Political parties and leaders: | Constitutional Gathering Society [Abdulrahman AL-BAKER] |
| Political parties and leaders: | Islamic Asalah [Abd al-Halim MURAD] |
| Political parties and leaders: | Islamic Saff Society [Abdullah Khalil BU GHAMAR] |
| Political parties and leaders: | Islamic Shura Society |
| Political parties and leaders: | Movement of National Justice Society [Muhi al-Din KHAN] |
| Political parties and leaders: | National Action Charter Society [Muhammad AL-BUAYNAYN] |
| Political parties and leaders: | National Democratic Action Society [Radhi AL-MOUSAWI] |
| Political parties and leaders: | National Democratic Assembly [Hasan AL-ALI] |
| Political parties and leaders: | National Dialogue Society |
| Political parties and leaders: | National Fraternity Society [Musa AL-ANSARI] |
| Political parties and leaders: | National Islamic Minbar [Ali AHMAD] |
| Political parties and leaders: | National Progressive Tribune [Abd al-Nabi SALMAN] |
| Political parties and leaders: | National Unity Gathering [Abdullatif AL-MAHMOOD] |
| Political parties and leaders: | Unitary National Democratic Assemblage [Fadhil ABBAS] |
| Political pressure groups and leaders: | none |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, CICA, FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, NAM, OAPEC, OIC, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador ABDALLAH bin Muhammad bin Rashid Al Khalifa (since 3 December 2013) |
| Diplomatic representation in the US: | chancery: 3502 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-1111 |
| Diplomatic representation in the US: | FAX: [1] (202) 362-2192 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador William V. ROEBUCK (since 12 December 2014) |
| Diplomatic representation from the US: | embassy: Building |
| Diplomatic representation from the US: | mailing address: PSC 451, Box 660, FPO AE 09834-5100; international mail: American Embassy, Box 26431, Manama |
| Diplomatic representation from the US: | telephone: [973] 1724-2700 |
| Diplomatic representation from the US: | FAX: [973] 1727-0547 |
| Flag description: | red, the traditional color for flags of Persian Gulf states, with a white serrated band (five white points) on the hoist side; the five points represent the five pillars of Islam |
| Flag description: | note: until 2002 the flag had eight white points, but this was reduced to five to avoid confusion with the Qatari flag |
| National symbol(s): | a red field surmounted by a white serrated band with five white points; national colors: red, white |
| National anthem: | name: "Bahrainona" (Our Bahrain) |
| National anthem: | lyrics/music: unknown |
