| Government | Belize |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Belize |
| Country name: | former: British Honduras |
| Government type: | parliamentary democracy and a Commonwealth realm |
| Capital: | name: Belmopan |
| Capital: | geographic coordinates: 17 15 N, 88 46 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC during Standard Time) |
| Administrative divisions: | 6 districts; Belize, Cayo, Corozal, Orange Walk, Stann Creek, Toledo |
| Independence: | 21 September 1981 (from the UK) |
| National holiday: | Independence Day, 21 September (1981) |
| Constitution: | previous 1954, 1963 (preindependence); latest signed and entered into force 21 September 1981; amended several times, last in 2012 (2013) |
| Legal system: | English common law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Sir Colville YOUNG, Sr. (since 17 November 1993) |
| Executive branch: | head of government: Prime Minister Dean Oliver BARROW (since 8 February 2008); Deputy Prime Minister Gaspar VEGA (since 12 February 2008) |
| Executive branch: | cabinet: Cabinet appointed by the governor general on the advice of the prime minister from the General Assembly |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; governor general appointed by the monarch; following legislative elections, the leader of the majority party or the leader of the majority coalition usually appointed prime minister by the governor general; prime minister recommends the deputy prime minister |
| Legislative branch: | bicameral National Assembly consists of the Senate (12 seats; members appointed by the governor general - 6 on the advice of the prime minister, 3 on the advice of the leader of the opposition, and 1 each on the advice of the Belize Council of Churches and Evangelical Association of Churches, the Belize Chamber of Commerce and Industry and the Belize Better Business Bureau, and the National Trade Union Congress and the Civil Society Steering Committee; to serve five-year terms) and the House of Representatives (31 seats; members are elected by direct popular vote to serve five-year terms) |
| Legislative branch: | elections: House of Representatives - last held on 8 March 2012 (next to be held in 2017) |
| Legislative branch: | election results: percent of vote by party - UDP 50.4%, PUP 47.5%, other 2.1%; seats by party - UDP 17, PUP 14 |
| Judicial branch: | highest court(s): Supreme Court of Judicature (consists of the Court of Appeal with the court president and 3 justices, and the Supreme Court with the chief justice and 2 judges) |
| Judicial branch: | note - in 2005, Belize ceased final appeals in civil and criminal cases to the Judicial Committee of the Privy Council (in London),  replacing it with the Caribbean Court of Justice, the judicial organ of the Caribbean Community |
| Judicial branch: | judge selection and term of office: Court of Appeal president and justices appointed by the governor general upon advice of the prime minister after consultation with the National Assembly opposition leader; justices' tenures vary by terms of appointment;  Supreme Court chief justice appointed by the governor-general upon the advice of the prime minister and the National Assembly opposition leader; other judges appointed by the governor-general upon the advice of the Judicial and Legal Services Section of the Public Services Commission and with the concurrence of the prime minister after consultation with the National Assembly opposition leader; judges can be appointed beyond age 65 but must retire by age 75 |
| Judicial branch: | subordinate courts: Summary Jurisdiction Courts (criminal) and District Courts (civil) |
| Political parties and leaders: | National Alliance for Belizean Rights or NABR |
| Political parties and leaders: | National Reform Party or NRP [Cornelius DUECK] |
| Political parties and leaders: | People's National Party or PNP [Wil MAHEIA] |
| Political parties and leaders: | People's United Party or PUP [John BRICENO] |
| Political parties and leaders: | United Democratic Party or UDP [Dean Oliver BARROW] |
| Political parties and leaders: | Vision Inspired by the People or VIP [Paul MORGAN] |
| Political parties and leaders: | We the People Reform Movement or WTP [Hipolito BAUTISTA] |
| Political pressure groups and leaders: | Society for the Promotion of Education and Research or SPEAR [Nicole HAYLOCK] |
| Political pressure groups and leaders: | Association of Concerned Belizeans or ACB [David VASQUEZ] |
| Political pressure groups and leaders: | National Trade Union Congress of Belize or NTUC/B [Rene GOMEZ] |
| International organization participation: | ACP, AOSIS, C, Caricom, CD, CDB, CELAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, LAES, MIGA, NAM, OAS, OPANAL, OPCW, PCA, Petrocaribe, SICA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Nestor MENDEZ (since 10 July 2008) |
| Diplomatic representation in the US: | chancery: 2535 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-9636 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-6888 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Margaret HAWTHORNE |
| Diplomatic representation from the US: | embassy: Floral Park Road, Belmopan City, Cayo District |
| Diplomatic representation from the US: | mailing address: P.O. Box 497, Belmopan City, Cayo District, Belize |
| Diplomatic representation from the US: | telephone: [501] 822-4011 |
| Diplomatic representation from the US: | FAX: [501] 822-4012 |
