| Government |
| --- | --- |
| Country name: | conventional long form: Republic of Bulgaria |
| Country name: | conventional short form: Bulgaria |
| Government type: | parliamentary democracy |
| Capital: | Sofia |
| Administrative divisions: | 28 provinces (oblasti, singular - oblast); Blagoevgrad, Burgas, Dobrich, Gabrovo, Khaskovo, Kurdzhali, Kyustendil, Lovech, Montana, Pazardzhik, Pernik, Pleven, Plovdiv, Razgrad, Ruse, Shumen, Silistra, Sliven, Smolyan, Sofiya, Sofiya-Grad, Stara Zagora, Turgovishte, Varna, Veliko Turnovo, Vidin, Vratsa, Yambol |
| Independence: | 3 March 1878 (from Ottoman Empire) |
| National holiday: | Liberation Day, 3 March (1878) |
| Constitution: | adopted 12 July 1991 |
| Legal system: | civil law and criminal law based on Roman law; accepts compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Petar STOYANOV (since 22 January 1997); Vice President Todor KAVALDZHIEV (since 22 January 1997) |
| Executive branch: | head of government: Chairman of the Council of Ministers (Prime Minister) Ivan KOSTOV (since 19 May 1997); Deputy Prime Minister Petur ZHOTEV (since 21 December 1999) |
| Executive branch: | cabinet: Council of Ministers elected by the National Assembly |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for five-year terms; election last held 27 October and 3 November 1996 (next to be held NA 2001); chairman of the Council of Ministers (prime minister) nominated by the president; deputy prime ministers nominated by the prime minister |
| Executive branch: | election results: Petar STOYANOV elected president; percent of vote - Petar STOYANOV 59.73% |
| Legislative branch: | unicameral National Assembly or Narodno Sobranie (240 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 17 June 2001 (next to be held NA June 2005) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - National Movement for Simeon II 120, UDF 51, BSP 48, DPS 21 |
| Judicial branch: | Supreme Administrative Court; Supreme Court of Cassation; Constitutional Court (12 justices appointed or elected for nine-year terms); Supreme Judicial Council (consists of the chairmen of the two Supreme Courts, the Chief Prosecutor, and 22 other members; responsible for appointing the justices, prosecutors, and investigating magistrates in the justice system; members of the Supreme Judicial Council elected for five-year terms, 11 elected by the National Assembly and 11 by bodies of the judiciary) |
| Political parties and leaders: | Alliance for National Salvation or ANS (coalition led mainly by Movement for Rights and Freedoms or MRF) [Ahmed DOGAN]; Bulgarian Business Bloc or BBB [Georgi GANCHEV]; Bulgarian Socialist Party or BSP [Georgi PURVANOV, chairman]; Democratic Left or DL (bloc led by BSP, includes Ecoglasnost Political Club and Bulgarian Agrarian National Union) [leader NA]; Euro-left [Aleksandur TOMOV]; Internal Macedonian Revolutionary Organization or UMRO [Aleksander KARAKACHNOV]; Kingdom of Bulgaria Federation [leader NA]; Movement for Rights and Freedom or DPS [Ahmed DOGAN]; National Movement for Simeon II [Simeon II, former king]; New Civic Party for Bulgaria [Bogomil BONEV]; People's Union or PU (includes Bulgarian Agrarian People's Union and Democratic Party) [Anastasiya MOZER]; St. George's Day [Lyuben DILOV]; Union of Democratic Forces or UDF (an alliance of pro-democratic parties) [Ivan KOSTOV] |
| Political pressure groups and leaders: | agrarian movement; Bulgarian Democratic Center; Confederation of Independent Trade Unions of Bulgaria or CITUB; Democratic Alliance for the Republic or DAR; New Union for Democracy or NUD; Podkrepa Labor Confederation; numerous regional, ethnic, and national interest groups with various agendas |
| International organization participation: | ACCT, BIS, BSEC, CCC, CE, CEI, CERN, EAPC, EBRD, ECE, EU (applicant), FAO, G- 9, IAEA, IBRD, ICAO, ICFTU, ICRM, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, NAM (guest), NSG, OAS (observer), OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNESCO, UNIDO, UNMEE, UNMIBH, UNMIK, UNMOP, UPU, WCL, WEU (associate partner), WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Philip DIMITROV |
| Diplomatic representation in the US: | chancery: 1621 22nd Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-7969 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-7973 |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard M. MILES |
| Diplomatic representation from the US: | embassy: 1 Suborna Street, Sofia |
| Diplomatic representation from the US: | mailing address: American Embassy Sofia, Department of State, Washington, DC 20521-5740 |
| Diplomatic representation from the US: | telephone: [359] (2) 980-52-41 |
| Diplomatic representation from the US: | FAX: [359] (2) 981-89-77 |
| Flag description: | three equal horizontal bands of white (top), green, and red; the national emblem formerly on the hoist side of the white stripe has been removed - it contained a rampant lion within a wreath of wheat ears below a red five-pointed star and above a ribbon bearing the dates 681 (first Bulgarian state established) and 1944 (liberation from Nazi control) |
