| Government | Bulgaria |
| --- | --- |
| Country name: | conventional long form: Republic of Bulgaria |
| Country name: | conventional short form: Bulgaria |
| Government type: | parliamentary democracy |
| Capital: | Sofia |
| Administrative divisions: | 28 provinces (oblasti, singular - oblast); Blagoevgrad, Burgas, Dobrich, Gabrovo, Khaskovo, Kurdzhali, Kyustendil, Lovech, Montana, Pazardzhik, Pernik, Pleven, Plovdiv, Razgrad, Ruse, Shumen, Silistra, Sliven, Smolyan, Sofiya, Sofiya-Grad, Stara Zagora, Turgovishte, Varna, Veliko Turnovo, Vidin, Vratsa, Yambol |
| Independence: | 3 March 1878 (from Ottoman Empire) |
| National holiday: | Liberation Day, 3 March (1878) |
| Constitution: | adopted 12 July 1991 |
| Legal system: | civil law and criminal law based on Roman law; accepts compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Georgi PURVANOV (since 22 January 2002); Vice President Angel MARIN (since 22 January 2002) |
| Executive branch: | head of government: Chairman of the Council of Ministers (Prime Minister) Simeon SAXE-COBURG-GOTHA (since 24 July 2001); Deputy Prime Ministers Nikolay VASILEV (since 24 July 2001), and Lidiya SHULEVA (since 24 July 2001), Plamen PANAYOTOV (since 17 July 2003) |
| Executive branch: | cabinet: Council of Ministers elected by the National Assembly |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for five-year terms; election last held 11 November and 18 November 2001 (next to be held NA 2006); chairman of the Council of Ministers (prime minister) nominated by the president; deputy prime ministers nominated by the prime minister |
| Executive branch: | election results: Georgi PURVANOV elected president; percent of vote - Georgi PURVANOV 54.13%, Petar STOYANOV 45.87% |
| Legislative branch: | unicameral National Assembly or Narodno Sobranie (240 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 17 June 2001 (next to be held NA June 2005) |
| Legislative branch: | election results: percent of vote by party - NMS2 42.74%, UtdDF 18.18%, CfB 17.15%, MRF 7.45%; seats by party - NMS2 120, UtdDF 51, CfB 48, MRF 21; note - seating as of March 2003 - NMS2 110, UtdDF 50, CfB 48, MRF 20, independents 12 |
| Judicial branch: | Supreme Administrative Court; Supreme Court of Cassation; Constitutional Court (12 justices appointed or elected for nine-year terms); Supreme Judicial Council (consists of the chairmen of the two Supreme Courts, the Chief Prosecutor, and 22 other members; responsible for appointing the justices, prosecutors, and investigating magistrates in the justice system; members of the Supreme Judicial Council elected for five-year terms, 11 elected by the National Assembly and 11 by bodies of the judiciary) |
| Political parties and leaders: | Bulgarian Socialist Party or BSP [Sergei STANISHEV]; Coalition for Bulgaria or CfB (coalition of parties dominated by BSP) [Sergei STANISHEV]; Internal Macedonian Revolutionary Organization or VMRO [Krasimir KARAKACHANOV]; Movement for Rights and Freedoms or MRF [Ahmed DOGAN]; National Movement for Simeon II or NMS2 [Simeon SAXE-COBURG-GOTHA]; Union of Democratic Forces or UDF [Nadezhda MIKHAYLOVA]; Union of Free Democrats or UFD [Stefan SOFIYANSKI]; United Democratic Forces or UtdDF (a coalition between the UDF and other center-right parties) |
| Political pressure groups and leaders: | agrarian movement; Confederation of Independent Trade Unions of Bulgaria or CITUB; Podkrepa Labor Confederation; numerous regional, ethnic, and national interest groups with various agendas |
| International organization participation: | ACCT, Australia Group, BIS, BSEC, CE, CEI, CERN, EAPC, EBRD, ECE, EU (applicant), FAO, G- 9, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, NAM (guest), NSG, OAS (observer), OPCW, OSCE, PCA, PFP, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNIDO, UNMEE, UNMIBH, UNMIK, UNMOP, UPU, WCL, WCO, WEU (associate partner), WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Elena B. POPTODOROVA |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation in the US: | FAX: [1] (202) 234-7973 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-0174 |
| Diplomatic representation in the US: | chancery: 1621 22nd Street NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador James William PARDEW |
| Diplomatic representation from the US: | embassy: 1 Suborna Street, Sofia 1000 |
| Diplomatic representation from the US: | mailing address: American Embassy Sofia, Department of State, 5740 Sofia Place, Washington, DC 20521-5740 |
| Diplomatic representation from the US: | telephone: [359] (2) 937-5100 |
| Diplomatic representation from the US: | FAX: [359] (2) 981-89-77 |
| Flag description: | three equal horizontal bands of white (top), green, and red; the national emblem formerly on the hoist side of the white stripe has been removed - it contained a rampant lion within a wreath of wheat ears below a red five-pointed star and above a ribbon bearing the dates 681 (first Bulgarian state established) and 1944 (liberation from Nazi control) |
