| Government | United Arab Emirates |
| --- | --- |
| Country name: | conventional long form: United Arab Emirates |
| Country name: | conventional short form: none |
| Country name: | local long form: Al Imarat al Arabiyah al Muttahidah |
| Country name: | local short form: none |
| Country name: | former: Trucial Oman, Trucial States |
| Country name: | abbreviation: UAE |
| Government type: | federation with specified powers delegated to the UAE federal government and other powers reserved to member emirates |
| Capital: | name: Abu Dhabi |
| Capital: | geographic coordinates: 24 28 N, 54 22 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 7 emirates (imarat, singular - imarah); Abu Zaby (Abu Dhabi), 'Ajman, Al Fujayrah, Ash Shariqah (Sharjah), Dubayy (Dubai), Ra's al Khaymah, Umm al Qaywayn |
| Independence: | 2 December 1971 (from the UK) |
| National holiday: | Independence Day, 2 December (1971) |
| Constitution: | previous 1971 (provisional); latest drafted in 1979, became permanent May 1996; amended 2009 (2012) |
| Legal system: | mixed legal system of Islamic law and civil law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | limited; note - rulers of the seven emirates each select a proportion of voters for the Federal National Council (FNC) that together account for about 12 percent of Emirati citizens |
| Executive branch: | chief of state: President KHALIFA bin Zayid Al-Nuhayyan (since 3 November 2004), ruler of Abu Zaby (Abu Dhabi) (since 4 November 2004); Vice President and Prime Minister MUHAMMAD BIN RASHID Al-Maktum (since 5 January 2006) |
| Executive branch: | head of government: Prime Minister Vice President MUHAMMAD BIN RASHID Al-Maktum (since 5 January 2006); Deputy Prime Ministers SAIF bin Zayid Al-Nuhayyan (since 11 May 2009) and MANSUR bin Zayid Al-Nuhayyan (since 11 May 2009) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | note: there is also a Federal Supreme Council (FSC) composed of the seven emirate rulers; the FSC is the highest constitutional authority in the UAE; establishes general policies and sanctions federal legislation; meets four times a year; Abu Zaby (Abu Dhabi) and Dubayy (Dubai) rulers have effective veto power |
| Executive branch: | elections: president and vice president elected by the FSC for five-year terms (no term limits) from among the seven FSC members; election last held 3 November 2004 upon the death of the UAE's Founding Father and first President ZAYID bin Sultan Al Nuhayyan (next election NA); prime minister and deputy prime minister appointed by the president |
| Executive branch: | election results: KHALIFA bin Zayid Al-Nuhayyan elected president by a unanimous vote of the FSC; MUHAMMAD bin Rashid Al-Maktum unanimously affirmed vice president after the 2006 death of his brother Sheikh MAKTUM bin Rashid Al-Maktum |
| Legislative branch: | unicameral Federal National Council (FNC) or Majlis al-Ittihad al-Watani (40 seats; 20 members appointed by the rulers of the constituent states, 20 members elected to serve four-year terms) |
| Legislative branch: | elections: last held on 24 September 2011 (next to be held in 2015); note - the electoral college was expanded from 6,689 voters in the December 2006 election to 129,274 in the September 2011 election; elections for candidates rather than party lists; 469 candidates including 85 women ran for 20 contested FNC seats |
| Legislative branch: | election results: elected seats by emirate - Abu Dhabi 4, Dubai 4, Sharjah 3, Ras al-Khaimah 3, Ajman 2, Fujairah 2, Umm al-Quwain 2; note - number of appointed seats for each emirate are same as elected seats |
| Judicial branch: | highest court(s): Federal Supreme Court (consists of the court president and 4 judges) |
| Judicial branch: | judge selection and term of office: judges appointed by the federal president following approval by the Federal Supreme Council, which includes the rulers of the 7 emirates; judge term NA |
| Judicial branch: | subordinate courts: Federal Court of Cassation (determines the constitutionality of laws promulgated at the federal and local (emirate) levels; federal level courts of first instance and appeals courts; each emirate has its  own court system |
| Political parties and leaders: | none; political parties are not allowed |
| Political pressure groups and leaders: | NA |
| International organization participation: | ABEDA, AfDB (nonregional member), AFESD, AMF, BIS, CAEU, CICA, FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OIF (observer), OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Yusif bin Mani bin Said al-UTAYBA (since 25 July 2008) |
| Diplomatic representation in the US: | chancery: 3522 International Court NW, Suite 400, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 243-2400 |
| Diplomatic representation in the US: | FAX: [1] (202) 243-2432 |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael H. CORBIN (since 25 July 2011) |
| Diplomatic representation from the US: | embassy: Embassies District, Plot 38 Sector W59-02, Street No. 4, Abu Dhabi |
| Diplomatic representation from the US: | mailing address: P. O. Box 4009, Abu Dhabi |
| Diplomatic representation from the US: | telephone: [971] (2) 414-2200 |
| Diplomatic representation from the US: | FAX: [971] (2) 414-2603 |
| Diplomatic representation from the US: | consulate(s) general: Dubai |
| Flag description: | three equal horizontal bands of green (top), white, and black with a wider vertical red band on the hoist side; the flag incorporates all four Pan-Arab colors, which in this case represent fertility (green), neutrality (white), petroleum resources (black), and unity (red); red was the traditional color incorporated into all flags of the emirates before their unification |
| National symbol(s): | golden falcon |
| National anthem: | name: "Nashid al-watani al-imarati" (National Anthem of the UAE) |
| National anthem: | lyrics/music: AREF Al Sheikh Abdullah Al Hassan/Mohamad Abdel WAHAB |
| National anthem: | note: music adopted 1971, lyrics adopted 1996; Mohamad Abdel WAHAB also composed the music for the anthem of Tunisia |
