| Government | United Arab Emirates |
| --- | --- |
| Country name: | conventional long form: United Arab Emirates |
| Country name: | conventional short form: none |
| Country name: | local long form: Al Imarat al Arabiyah al Muttahidah |
| Country name: | local short form: none |
| Country name: | former: Trucial Oman, Trucial States |
| Country name: | abbreviation: UAE |
| Country name: | etymology: self-descriptive country name; the name "Arabia" can be traced back many centuries B.C., the ancient Egyptians referred to the region as "Ar Rabi"; "emirates" derives from "amir" the Arabic word for "commander," "lord," or "prince" |
| Government type: | federation of monarchies |
| Capital: | name: Abu Dhabi |
| Capital: | geographic coordinates: 24 28 N, 54 22 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 7 emirates (imarat, singular - imarah); Abu Zaby (Abu Dhabi), 'Ajman, Al Fujayrah, Ash Shariqah (Sharjah), Dubayy (Dubai), Ra's al Khaymah, Umm al Qaywayn |
| Independence: | 2 December 1971 (from the UK) |
| National holiday: | Independence Day (National Day), 2 December (1971) |
| Constitution: | history: previous 1971 (provisional); latest drafted in 1979, became permanent May 1996 |
| Constitution: | amendments: proposed by the Supreme Council and submitted to the Federal National Council; passage requires at least a two-thirds majority vote of Federal National Council members present and approval of the Supreme Council president; amended 2009 (2016) |
| Legal system: | mixed legal system of Islamic (sharia) law and civil law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of the United Arab Emirates; if the father is unknown, the mother must be a citizen |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 30 years |
| Suffrage: | limited; note - rulers of the seven emirates each select a proportion of voters for the Federal National Council (FNC) that together account for about 12 percent of Emirati citizens |
| Executive branch: | chief of state: President KHALIFA bin Zayid Al-Nuhayyan (sinceÂ 2 November 2004), ruler of Abu Zaby (Abu Dhabi) (since 4 November 2004); Vice President and Prime Minister MUHAMMAD BIN RASHID Al-Maktum (since 5 January 2006) |
