| Government | Namibia |
| --- | --- |
| Country name: | conventional long form: Republic of Namibia |
| Country name: | conventional short form: Namibia |
| Country name: | local long form: Republic of Namibia |
| Country name: | local short form: Namibia |
| Country name: | former: German South-West Africa (Sued-West Afrika), South-West Africa |
| Government type: | republic |
| Capital: | name: Windhoek |
| Capital: | geographic coordinates: 22 34 S, 17 05 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Sunday in September; ends first Sunday in April |
| Administrative divisions: | 14 regions; Erongo, Hardap, //Karas, Kavango East, Kavango West, Khomas, Kunene, Ohangwena, Omaheke, Omusati, Oshana, Oshikoto, Otjozondjupa, Zambezi; note - the Karas Region was renamed //Karas in September 2013 to include the alveolar lateral click of the Khoekhoegowab language |
| Independence: | 21 March 1990 (from South African mandate) |
| National holiday: | Independence Day, 21 March (1990) |
| Constitution: | drafted 9 February 1990, signed 16 March 1990, entered into force 21 March 1990; amended 1998, 2010 (2010) |
| Legal system: | mixed legal system of uncodified civil law based on Roman-Dutch law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Hifikepunye POHAMBA (since 21 March 2005); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Hifikepunye POHAMBA (since 21 March 2005); Prime Minister Hage GEINGOB (since 4 December 2012) |
| Executive branch: | cabinet: Cabinet appointed by the president from among the members of the National Assembly |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); if no single candidate receives a majority of the vote in the first round of voting, a run-off election is scheduled between the two candidates with the greatest vote count; election last held on 27-28 November 2009 (next to be held in 2014) |
| Executive branch: | election results: Hifikepunye POHAMBA reelected president; percent of vote - Hifikepunye POHAMBA 76.4%, Hidipo HAMUTENYA 11.0%, Katuutire KAURA 3.0%, Kuaima RIRUAKO 2.9%, Justus GAROEB 2.4%, Ignatius SHIXWAMENI 1.3%, Hendrick MUDGE 1.2%, other 1.8% |
| Legislative branch: | bicameral legislature consists of the National Council, primarily an advisory body (26 seats; two members chosen from each regional council to serve six-year terms), and the National Assembly (72 seats; members elected by popular vote to serve five-year terms, an additonal six nonvoting members are appointed by the president) |
| Legislative branch: | elections: National Council - elections for regional councils to determine members of the National Council held on 26-27 November 2010 (next to be held in 2016); National Assembly - last held on 26-27 November 2009 (next to be held in November 2014) |
| Legislative branch: | election results: National Council - percent of vote by party - NA; seats by party - SWAPO 24, UDF 1, DTA 1; National Assembly - percent of vote by party - SWAPO 75.3%, RDP 11.3%, DTA 3.1%, NUDO 3.0%, UDF 2.4%, APP 1.4%, RP 0.8%, COD 0.7%, SWANU 0.6%, other 1.3%; seats by party - SWAPO 54, RDP 8, DTA 2, NUDO 2, UDF 2, APP 1, COD 1, RP 1, SWANU 1 |
| Judicial branch: | highest court(s): Supreme Court (consists of the chief justice and at least 3 judges in quorum sessions) |
| Judicial branch: | judge selection and term of office: judges appointed by the president of Namibia upon the recommendation of the Judicial Service Commission; judges serve until age 65 but can be extended by the president until age 70 |
| Judicial branch: | subordinate courts: High Court; Labor Court; regional and district magistrates' courts; community courts |
| Political parties and leaders: | All People's Party or APP [Ignatius SHIXWAMENI] |
| Political parties and leaders: | Congress of Democrats or COD [Benjamin ULENGA] |
