| Government | Namibia |
| --- | --- |
| Country name: | conventional long form: Republic of Namibia |
| Country name: | conventional short form: Namibia |
| Country name: | local long form: Republic of Namibia |
| Country name: | local short form: Namibia |
| Country name: | former: German Southwest Africa, South-West Africa |
| Government type: | republic |
| Capital: | name: Windhoek |
| Capital: | geographic coordinates: 22 34 S, 17 06 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Sunday in September; ends first Sunday in April |
| Administrative divisions: | 13 regions; Caprivi, Erongo, Hardap, Karas, Khomas, Kunene, Ohangwena, Okavango, Omaheke, Omusati, Oshana, Oshikoto, Otjozondjupa |
| Independence: | 21 March 1990 (from South African mandate) |
| National holiday: | Independence Day, 21 March (1990) |
| Constitution: | ratified 9 February 1990, effective 12 March 1990 |
| Legal system: | based on Roman-Dutch law and 1990 constitution |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Hifikepunye POHAMBA (since 21 March 2005) |
| Executive branch: | head of government: Prime Minister Nahas ANGULA (since 21 March 2005) |
| Executive branch: | cabinet: Cabinet appointed by the president from among the members of the National Assembly |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held 15 November 2004 (next to be held November 2009) |
| Executive branch: | election results: Hifikepunye POHAMBA elected president; percent of vote - Hifikepunye POHAMBA 76.4%, Den ULENGA 7.3%, Katuutire KAURA 5.1%, Kuaima RIRUAKO 4.2%, Justus GAROEB 3.8%, other 3.2% |
| Legislative branch: | bicameral legislature consists of the National Council (26 seats; 2 members are chosen from each regional council to serve six-year terms) and the National Assembly (72 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: National Council - elections for regional councils, to determine members of the National Council, held 29-30 November 2004 (next to be held November 2010); National Assembly - last held 15-16 November 2004 (next to be held November 2009) |
| Legislative branch: | election results: National Council - percent of vote by party - SWAPO 89.7%, UDF 4.7%, NUDO 2.8%, DTA 1.9%; seats by party - SWAPO 24, UDF 1, DTA 1; National Assembly - percent of vote by party - SWAPO 75.1%, COD 7.2%, DTA 5%, NUDO 4.1%, UDF 3.5%, RP 1.9%, MAG 0.8%; seats by party - SWAPO 55, COD 5, DTA 4, NUDO 3, UDF 3, RP 1, MAG 1 |
| Legislative branch: | note: the National Council is primarily an advisory body |
| Judicial branch: | Supreme Court (judges appointed by the president on the recommendation of the Judicial Service Commission) |
| Political parties and leaders: | Congress of Democrats or COD [Ben ULENGA]; Democratic Turnhalle Alliance of Namibia or DTA [Katuutire KAURA, president]; Monitor Action Group or MAG [Jurie VILJOEN]; South West Africa People's Organization or SWAPO [Sam Shafishuna NUJOMA]; United Democratic Front or UDF [Justus GAROEB]; Republican Party or RP [Henk MUDGE]; National Unity Democratic Organization or NUDO [Kuaima RIRUAKO] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AU, C, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), IPU, ISO (correspondent), ITU, MIGA, NAM, ONUB, OPCW, SACU, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMEE, UNMIL, UNMIS, UNOCI, UPU, WCL, WCO, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Patrick NANDAGO |
| Diplomatic representation in the US: | chancery: 1605 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-0540 |
| Diplomatic representation in the US: | FAX: [1] (202) 986-0443 |
| Diplomatic representation from the US: | chief of mission: Ambassador Joyce BARR |
| Diplomatic representation from the US: | embassy: Ausplan Building, 14 Lossen Street, Windhoek |
| Diplomatic representation from the US: | mailing address: Private Bag 12029 Ausspannplatz, Windhoek |
| Diplomatic representation from the US: | telephone: [264] (61) 221601 |
| Diplomatic representation from the US: | FAX: [264] (61) 229792 |
| Flag description: | a large blue triangle with a yellow sunburst fills the upper left section and an equal green triangle (solid) fills the lower right section; the triangles are separated by a red stripe that is contrasted by two narrow white-edge borders |
