| Government | Turks and Caicos Islands |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Turks and Caicos Islands |
| Country name: | abbreviation: TCI |
| Dependency status: | overseas territory of the UK |
| Government type: | NA |
| Capital: | name: Grand Turk (Cockburn Town) |
| Capital: | geographic coordinates: 21 28 N, 71 08 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Sunday in April; ends last Sunday in October |
| Administrative divisions: | none (overseas territory of the UK) |
| Independence: | none (overseas territory of the UK) |
| National holiday: | Constitution Day, 30 August (1976) |
| Constitution: | Turks and Caicos Islands Constitution (Interim Amendment) Order 2009, S.I. 2009/701 - effective 14 August 2009 - suspended Ministerial government, the House of Assembly, and the constitutional right to trial by jury, and imposed direct British rule |
| Legal system: | based on laws of England and Wales with a few adopted from Jamaica and The Bahamas |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor Gordon WETHERELL (since 5 August 2008) |
| Executive branch: | head of government: Governor Gordon WETHERELL (since 14 August 2009); note - the office of premier is suspended by the Order in Council, effective 14 August 2009 |
| Executive branch: | cabinet: under provisions of the Order in Council, the cabinet is suspended effective 14 August 2009 and replaced by an Advisory Council appointed by the governor |
| Executive branch: | elections: the monarch is hereditary; governor appointed by the monarch |
| Executive branch: | note: following an investigation into allegations of widespread corruption and misconduct within the Turks and Caicos Government, the UK foreign minister directed the governor to bring into effect on 14 August 2009 an Order in Council suspending Ministerial government and the House of Assembly, and imposing direct rule for a period of up to two years |
| Legislative branch: | under provisions of the Order in Council, the unicameral House of Assembly is dissolved and all seats vacated for a period of up to two years; in the interim, a Consultative Forum, appointed by the governor, will be established |
| Legislative branch: | elections: last held 9 February 2007 (next to be held by July 2011) |
| Legislative branch: | election results: under provisions of the Order in Council, all seats in the House of Assembly are vacated |
| Judicial branch: | Supreme Court; Court of Appeal |
| Political parties and leaders: | People's Democratic Movement or PDM [Floyd SEYMOUR]; Progressive National Party or PNP [Michael Eugene MISICK] |
| Political pressure groups and leaders: | NA |
| International organization participation: | Caricom (associate), CDB, Interpol (subbureau), UPU |
| Diplomatic representation in the US: | none (overseas territory of the UK) |
| Diplomatic representation from the US: | none (overseas territory of the UK) |
| Flag description: | blue, with the flag of the UK in the upper hoist-side quadrant and the colonial shield centered on the outer half of the flag; the shield is yellow and contains a conch shell, lobster, and cactus |
