| Government | Kiribati |
| --- | --- |
| Country name: | conventional long form: Republic of Kiribati |
| Country name: | conventional short form: Kiribati |
| Country name: | local long form: Republic of Kiribati |
| Country name: | local short form: Kiribati |
| Country name: | note: pronounced keer-ree-bahss |
| Country name: | former: Gilbert Islands |
| Government type: | republic |
| Capital: | name: Tarawa |
| Capital: | geographic coordinates: 1 19 N, 172 58 E |
| Capital: | time difference: UTC+12 (17 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 3 units; Gilbert Islands, Line Islands, Phoenix Islands; note - in addition, there are 6 districts (Banaba, Central Gilberts, Line Islands, Northern Gilberts, Southern Gilberts, Tarawa) and 21 island councils - one for each of the inhabited islands (Abaiang, Abemama, Aranuka, Arorae, Banaba, Beru, Butaritari, Kanton, Kiritimati, Kuria, Maiana, Makin, Marakei, Nikunau, Nonouti, Onotoa, Tabiteuea, Tabuaeran, Tamana, Tarawa, Teraina) |
| Independence: | 12 July 1979 (from UK) |
| National holiday: | Independence Day, 12 July (1979) |
| Constitution: | 12 July 1979 |
| Legal system: | NA |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Anote TONG (since 10 July 2003); Vice President Teima ONORIO; note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Anote TONG (since 10 July 2003); Vice President Teima ONORIO |
| Executive branch: | cabinet: 12-member cabinet appointed by the president from among the members of the House of Parliament |
| Executive branch: | elections: the House of Parliament chooses the presidential candidates from among its members and then those candidates compete in a general election; president is elected by popular vote for a four-year term (eligible for two more terms); election last held 17 October 2007 (next to be held in 2011); vice president appointed by the president |
| Executive branch: | election results: Anote TONG 63.7%, Nabuti MWEMWENIKARAWA 32.9% |
| Legislative branch: | unicameral House of Parliament or Maneaba Ni Maungatabu (46 seats; 44 members elected by popular vote, 1 ex officio member - the attorney general, 1 nominated by the Rabi Council of Leaders (representing Banaba Island); to serve four-year terms) |
| Legislative branch: | elections: legislative elections were held in two rounds - the first round on 22 August 2007 and the second round on 30 August 2007 (next to be held in 2011) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NA, other 2 (includes attorney general) |
| Judicial branch: | Court of Appeal; High Court; 26 Magistrates' courts; judges at all levels are appointed by the president |
| Political parties and leaders: | Boutokaan Te Koaua Party or BTK [Taberannang TIMEON]; Maneaban Te Mauri Party or MTM [Teburoro TITO]; Maurin Kiribati Pati or MKP; National Progressive Party or NPP [Dr. Harry TONG] |
| Political parties and leaders: | note: there is no tradition of formally organized political parties in Kiribati; they more closely resemble factions or interest groups because they have no party headquarters, formal platforms, or party structures |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AsDB, C, FAO, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IOC, ITU, ITUC, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UPU, WHO, WMO |
| Diplomatic representation in the US: | Kiribati does not have an embassy in the US; there is an honorary consulate in Honolulu |
| Diplomatic representation from the US: | the US does not have an embassy in Kiribati; the ambassador to Fiji is accredited to Kiribati |
| Flag description: | the upper half is red with a yellow frigate bird flying over a yellow rising sun, and the lower half is blue with three horizontal wavy white stripes to represent the ocean |
