| Government | Jersey |
| --- | --- |
| Country name: | conventional long form: Bailiwick of Jersey |
| Country name: | conventional short form: Jersey |
| Dependency status: | British crown dependency |
| Government type: | parliamentary democracy |
| Capital: | name: Saint Helier |
| Capital: | geographic coordinates: 49 11 N, 2 06 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | none (British crown dependency); there are no first-order administrative divisions as defined by the US Government, but there are 12 parishes: Grouville, Saint Brelade, Saint Clement, Saint Helier, Saint John, Saint Lawrence, Saint Martin, Saint Mary, Saint Ouen, Saint Peter, Saint Saviour, and Trinity |
| Independence: | none (British crown dependency) |
| National holiday: | Liberation Day, 9 May (1945) |
| Constitution: | unwritten; partly statutes, partly common law and practice |
| Legal system: | the laws of the UK, where applicable, apply; local statutes |
| Suffrage: | 16 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Lieutenant Governor Sir John MCCOLL (since 26 September 2011) |
| Executive branch: | head of government: Chief Minister Ian GORST (18 December 2011); Bailiff Michael BIRT (since 9 July 2009) |
| Executive branch: | cabinet: Cabinet (since December 2005) |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: ministers of the Cabinet including the chief minister are elected by the Assembly of States; the monarchy is hereditary; lieutenant governor and bailiff appointed by the monarch |
| Legislative branch: | unicameral Assembly of the States of Jersey (58 seats; 53 are voting members, of which 12 are senators elected for six-year terms, 12 are constables or heads of parishes elected for three-year terms, 29 are deputies elected for three-year terms; the 5 non-voting members include the bailiff and the deputy bailiff, the Dean of Jersey, the Attorney General, and the Solicitor General appointed by the monarch) |
| Legislative branch: | elections: last held on 27 April 2011 (next to be held in 2014) |
| Legislative branch: | election results: percent of vote - NA; seats - independents 53; note - starting with the 2014 elections, the number of Senators will be reduced to 8 |
| Judicial branch: | Royal Court (judges elected by an electoral college and the bailiff); Court of Appeal of Jersey |
| Political parties and leaders: | two declared parties: Centre Party; Jersey Democratic Alliance |
| Political parties and leaders: | note: all senators and deputies elected in 2008 were independents |
| Political pressure groups and leaders: | Institute of Directors, Jersey branch (provides business support); Jersey Hospitality Association [Robert JONES] (trade association); Jersey Rights Association [David ROTHERHAM] (human rights); La Societe Jersiaise (education and conservation group); Progress Jersey [Daren O'TOOLE, Gino RISOLI] (human rights); Royal Jersey Agriculture and Horticultural Society or RJA&HS (development and management of the Jersey breed of cattle); Save Jersey's Heritage (protects heritage through building preservation) |
| Diplomatic representation in the US: | none (British crown dependency) |
| Diplomatic representation from the US: | none (British crown dependency) |
| Flag description: | white with a diagonal red cross extending to the corners of the flag; in the upper quadrant, surmounted by a yellow crown, a red shield with three lions in yellow; according to tradition, the ships of Jersey - in an attempt to differentiate themselves from English ships flying the horizontal cross of St. George - rotated the cross to the "X" (saltire) configuration; because this arrangement still resembled the Irish cross of St. Patrick, the yellow Plantagenet crown and Jersey coat of arms were added |
| National symbol(s): | Jersey cow |
| National anthem: | name: "Isle de Siez Nous" (Island Home) |
| National anthem: | lyrics/music: Gerard LE FEUVRE |
| National anthem: | note: adopted 2008; serves as a local anthem; as a British crown dependency, "God Save the Queen" is official (see United Kingdom) |
