| Government | OMAN |
| --- | --- |
| Country name: | conventional long form: Sultanate of Oman |
| Country name: | conventional short form: Oman |
| Country name: | local long form: Saltanat Uman |
| Country name: | local short form: Uman |
| Country name: | former: Muscat and Oman |
| Government type: | monarchy |
| Capital: | name: Muscat |
| Capital: | geographic coordinates: 23 37 N, 58 35 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 11 governorates (muhafazat, singular - muhafazat); Ad Dakhiliyah, Al Buraymi, Al Wusta, Az Zahirah, Janub al Batinah (Al Batinah South), Janub ash Sharqiyah (Ash Sharqiyah South), Masqat (Muscat), Musandam, Shamal al Batinah (Al Batinah North), Shamal ash Sharqiyah (Ash Sharqiyah North), Zufar (Dhofar) |
| Independence: | 1650 (expulsion of the Portuguese) |
| National holiday: | Birthday of Sultan QABOOS, 18 November (1940) |
| Constitution: | 1996 (The Basic Law of the Sultanate of Oman serves as the constitution); amended by royal decree in 2011 (2015) |
| Legal system: | mixed legal system of Anglo-Saxon law and Islamic law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Oman |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: unknown |
| Suffrage: | 21 years of age; universal; note - members of the military and security forces by law cannot vote |
| Executive branch: | chief of state: Sultan and Prime Minister QABOOS bin Said Al-Said (sultan since 23 July 1970 and prime minister since 23 July 1972); note - the monarch is both chief of state and head of government |
| Executive branch: | head of government: Sultan and Prime Minister QABOOS bin Said Al-Said (sultan since 23 July 1970 and prime minister since 23 July 1972) |
| Executive branch: | cabinet: Cabinet appointed by the monarch |
| Executive branch: | elections/appointments: the Ruling Family Council determines a successor from the sultan's extended family; if the Council cannot form a consensus within 3 days of the sultan's death or incapacitation, the Defense Council will relay a predetermined heir as chosen by the sultan |
| Legislative branch: | description: bicameral Council of Oman or Majlis Oman consists of the Council of State or Majlis al-Dawla (83 seats; members appointed by the sultan from among former government officials and prominent educators, businessmen, and citizens) and the Consultative Council or Majlis al-Shura (84 seats; members directly elected in single- and two-seat constituencies by simple majority popular vote to serve 4-year terms); note - following political reforms in 2011, legislation from the Consultative Council is submitted to the Council of State for passage and amendments |
| Legislative branch: | elections: Consultative Assembly - last held on 25 October 2015 (next to be held in October 2019) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NA; note - three prominent figures from the Arab Spring 2011 protests won seats; one woman also won a seat |
| Judicial branch: | highest court(s): Supreme Court (consists of 5 judges) |
| Judicial branch: | judge selection and term of office: judges nominated by the 9-member Supreme Judicial Council (chaired by the monarch) and appointed by the monarch; judge tenure NA |
| Judicial branch: | subordinate courts: Courts of Appeal; Courts of First Instance; sharia courts; magistrates' courts |
| Political parties and leaders: | political parties are illegal |
| Political pressure groups and leaders: | none |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC (NGOs), IDA, IDB, IFAD, IFC, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Hunaina bint Sultan bin Ahmad al-MUGHAIRI (since 9 November 2005) |
| Diplomatic representation in the US: | chancery: 2535 Belmont Road, NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-1980 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-4933 |
| Diplomatic representation from the US: | chief of mission: Ambassador Greta C. HOLTZ (since 27 September 2012) |
| Diplomatic representation from the US: | embassy: Jamait Ad Duwal Al Arabiyya Street, Al Khuwair area, Muscat |
| Diplomatic representation from the US: | mailing address: P. O. Box 202, P.C. 115, Madinat Al Sultan Qaboos, Muscat |
| Diplomatic representation from the US: | telephone: [968] 24-643-400 |
| Diplomatic representation from the US: | FAX: [968] 24-64-37-40 |
| Flag description: | three horizontal bands of white, red, and green of equal width with a broad, vertical, red band on the hoist side; the national emblem (a khanjar dagger in its sheath superimposed on two crossed swords in scabbards) in white is centered near the top of the vertical band; white represents peace and prosperity, red recalls battles against foreign invaders, and green symbolizes the Jebel Akhdar (Green Mountains) and fertility |
| National symbol(s): | khanjar dagger superimposed on two crossed swords; national colors: red, white, green |
| National anthem: | name: "Nashid as-Salaam as-Sultani" (The Sultan's Anthem) |
| National anthem: | lyrics/music: Rashid bin Uzayyiz al KHUSAIDI/James Frederick MILLS, arranged by Bernard EBBINGHAUS |
| National anthem: | note: adopted 1932; new lyrics written after QABOOS bin Said al Said gained power in 1970; first performed by the band of a British ship as a salute to the Sultan during a 1932 visit to Muscat; the bandmaster of the HMS Hawkins was asked to write a salutation to the Sultan on the occasion of his ship visit |
