| Government | Oman |
| --- | --- |
| Country name: | conventional long form: Sultanate of Oman |
| Country name: | conventional short form: Oman |
| Country name: | local long form: Saltanat Uman |
| Country name: | local short form: Uman |
| Country name: | former: Sultanate of Muscat and Oman |
| Country name: | etymology: the origin of the name is uncertain, but it apparently dates back at least 2,000 years since an "Omana" is mentioned by Pliny the Elder (1st century A.D.) and an "Omanon" by Ptolemy (2nd century A.D.) |
| Government type: | absolute monarchy |
| Capital: | name: Muscat |
| Capital: | geographic coordinates: 23 37 N, 58 35 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the name, whose meaning is uncertain, traces back almost two millennia; two 2nd century A.D. scholars, the geographer Ptolemy and the historian Arrian, both mention an Arabian Sea coastal town of Moscha, which most likely referred to Muscat |
| Administrative divisions: | 11 governorates (muhafazat, singular - muhafaza); Ad Dakhiliyah, Al Buraymi, Al Wusta, Az Zahirah, Janub al Batinah (Al Batinah South), Janub ash Sharqiyah (Ash Sharqiyah South), Masqat (Muscat), Musandam, Shamal al Batinah (Al Batinah North), Shamal ash Sharqiyah (Ash Sharqiyah North), Zufar (Dhofar) |
| Independence: | 1650 (expulsion of the Portuguese) |
| National holiday: | National Day, 18 November; note - coincides with the birthday of Sultan QABOOS, 18 November (1940) |
| Constitution: | history: promulgated by royal decree 6 November 1996 (the Basic Law of the Sultanate of Oman serves as the constitution)amended by royal decree in 2011 |
| Constitution: | amendments: promulgated by the sultan or proposed by the Council of Oman and drafted by a technical committee as stipulated by royal decree and then promulgated through royal decree; amended by royal decree in 2011 (2016) |
| Legal system: | mixed legal system of Anglo-Saxon law and Islamic law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Oman |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: unknown |
| Suffrage: | 21 years of age; universal; note - members of the military and security forces by law cannot vote |
| Executive branch: | chief of state: Sultan and Prime Minister QABOOS bin Said Al-Said (sultan since 23 July 1970 and prime minister since 23 July 1972); note - the monarch is both chief of state and head of government |
| Executive branch: | head of government: Sultan and Prime Minister QABOOS bin Said Al-Said (sultan since 23 July 1970 and prime minister since 23 July 1972) |
| Executive branch: | cabinet: Cabinet appointed by the monarch |
| Executive branch: | elections/appointments: members of the Ruling Family Council determine a successor from the sultan's extended family; if the Council cannot form a consensus within 3 days of the sultan's death or incapacitation, the Defense Council will relay a predetermined heir as chosen by the sultan |
| Legislative branch: | description: bicameral Council of Oman or Majlis Oman consists of: |
| Legislative branch: | Council of State or Majlis al-Dawla (85 seats including the chairman; members appointed by the sultan from among former government officials and prominent educators, businessmen, and citizens) |
| Legislative branch: | Consultative Council or Majlis al-Shura (84 seats; members directly elected in single- and 2-seat constituencies by simple majority popular vote to serve renewable 4-year terms); note - since political reforms in 2011, legislation from the Consultative Council is submitted to the Council of State for review by the Royal Court |
| Legislative branch: | elections: Council of State - last appointments on 7 November 2015 (next - NA) |
| Legislative branch: | Consultative Assembly - last held on 27 October 2019 (next to be held in October 2023) |
| Legislative branch: | election results: |
| Legislative branch: | Council of State - composition - men 72, women 13, percent of women 15.3% |
| Legislative branch: | Consultative Council percent of vote by party - NA; seats by party - NA (organized political parties in Oman are legally banned); composition men 83, women 2, percent of women 2.4%; note - total Council of Oman percent of women 8.8% |
| Judicial branch: | highest courts: Supreme Court (consists of 5 judges) |
| Judicial branch: | judge selection and term of office: judges nominated by the 9-member Supreme Judicial Council (chaired by the monarch) and appointed by the monarch; judges appointed for life |
| Judicial branch: | subordinate courts: Courts of Appeal; Administrative Court; Courts of First Instance; sharia courts; magistrates' courts; military courts |
| Political parties and leaders: | none; note - organized political parties are legally banned in Oman, and loyalties tend to form around tribal affiliations |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC (NGOs), IDA, IDB, IFAD, IFC, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Hunaina bint Sultan bin Ahmad al-MUGHAIRI (since 2 December 2005) |
| Diplomatic representation in the US: | chancery: 2535 Belmont Road, NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-1980 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-4933 |
| Diplomatic representation from the US: | chief of mission: Ambassador Marc J. SIEVERS (since 15 December 2016) |
| Diplomatic representation from the US: | telephone: [968] 24-643-400 |
| Diplomatic representation from the US: | embassy: P.C. 115, Madinat Al Sultan Qaboos, Muscat |
| Diplomatic representation from the US: | mailing address: P.O. Box 202, P.C. 115, Madinat Al Sultan Qaboos, Muscat |
| Diplomatic representation from the US: | FAX: [968] 24-643-740 |
| Flag description: | three horizontal bands of white (top), red, and green of equal width with a broad, vertical, red band on the hoist side; the national emblem (a khanjar dagger in its sheath superimposed on two crossed swords in scabbards) in white is centered near the top of the vertical band; white represents peace and prosperity, red recalls battles against foreign invaders, and green symbolizes the Jebel al Akhdar (Green Mountains) and fertility |
| National symbol(s): | khanjar dagger superimposed on two crossed swords; national colors: red, white, green |
| National anthem: | name: "Nashid as-Salaam as-Sultani" (The Sultan's Anthem) |
| National anthem: | lyrics/music: Rashid bin Uzayyiz al KHUSAIDI/James Frederick MILLS, arranged by Bernard EBBINGHAUS |
| National anthem: | note: adopted 1932; new lyrics written after QABOOS bin Said al Said gained power in 1970; first performed by the band of a British ship as a salute to the Sultan during a 1932 visit to Muscat; the bandmaster of the HMS Hawkins was asked to write a salutation to the Sultan on the occasion of his ship visit |
