| Government | Oman |
| --- | --- |
| Country name: | conventional long form: Sultanate of Oman |
| Country name: | conventional short form: Oman |
| Country name: | local long form: Saltanat Uman |
| Country name: | local short form: Uman |
| Country name: | former: Muscat and Oman |
| Government type: | monarchy |
| Capital: | Muscat |
| Administrative divisions: | 5 regions (manaatiq, singular - mintaqat) and 3 governorates* (muhaafazaat, singular - muhaafaza) Ad Dakhiliyah, Al Batinah, Al Wusta, Ash Sharqiyah, Az Zahirah, Masqat*, Musandam*, Zufar* |
| Independence: | 1650 (expulsion of the Portuguese) |
| National holiday: | Birthday of Sultan QABOOS, 18 November (1940) |
| Constitution: | none; note - on 6 November 1996, Sultan QABOOS issued a royal decree promulgating a basic law considered by the government to be a constitution which, among other things, clarifies the royal succession, provides for a prime minister, bars ministers from holding interests in companies doing business with the government, establishes a bicameral legislature, and guarantees basic civil liberties for Omani citizens |
| Legal system: | based on English common law and Islamic law; ultimate appeal to the monarch; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | in Oman's most recent Majlis al-Shura elections in 2003, suffrage was universal for all Omanis over age 21 except for members of the military and security forces; the next Majlis al-Shura elections are scheduled for 2007 |
| Executive branch: | chief of state: Sultan and Prime Minister QABOOS bin Said al-Said (since 23 July 1970); note - the monarch is both the chief of state and head of government |
| Executive branch: | head of government: Sultan and Prime Minister QABOOS bin Said al-Said (since 23 July 1970); note - the monarch is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet appointed by the monarch |
| Executive branch: | elections: none; the monarch is hereditary |
| Legislative branch: | bicameral Majlis Oman consists of an upper chamber or Majlis al-Dawla (58 seats; members appointed by the monarch; has advisory powers only) and a lower chamber or Majlis al-Shura (83 seats; members elected by universal suffrage for four-year term; body has some limited power to propose legislation, but otherwise has only advisory powers) |
| Legislative branch: | elections: last held 4 October 2003 (next to be held NA 2007) |
| Legislative branch: | election results: NA |
| Judicial branch: | Supreme Court |
| Judicial branch: | note: the nascent civil court system, administered by region, has judges who practice secular and Sharia (Islamic) law |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | none |
| International organization participation: | ABEDA, AFESD, AMF, FAO, G-77, GCC, IBRD, ICAO, ICCt (signatory), IDA, IDB, IFAD, IFC, IHO, ILO, IMF, IMO, Interpol, IOC, ISO, ITU, LAS, MIGA, NAM, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO, WToO |
| Diplomatic representation in the US: | chief of mission: Ambassador Muhammad bin Ali bin Thani al-KHUSSAIBY |
| Diplomatic representation in the US: | chancery: 2535 Belmont Road, NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-1980 through 1981, 1988 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-4933 |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard Lewis BALTIMORE III |
| Diplomatic representation from the US: | embassy: Jameat A'Duwal Al Arabiya Street, Al Khuwair area, Muscat |
| Diplomatic representation from the US: | mailing address: P. O. Box 202, P.C. 115, Madinat Al-Sultan Qaboos, Muscat |
| Diplomatic representation from the US: | telephone: [968] 24-698989 |
| Diplomatic representation from the US: | FAX: [968] 24-699771 |
| Flag description: | three horizontal bands of white, red, and green of equal width with a broad, vertical, red band on the hoist side; the national emblem (a khanjar dagger in its sheath superimposed on two crossed swords in scabbards) in white is centered near the top of the vertical band |
