| Government | Oman |
| --- | --- |
| Country name: | conventional long form: Sultanate of Oman |
| Country name: | conventional short form: Oman |
| Country name: | local long form: Saltanat Uman |
| Country name: | local short form: Uman |
| Country name: | former: Muscat and Oman |
| Government type: | monarchy |
| Capital: | name: Muscat |
| Capital: | geographic coordinates: 23 37 N, 58 35 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 5 regions (manatiq, singular - mintaqat) and 4 governorates* (muhafazat, singular - muhafazat) Ad Dakhiliyah, Al Batinah, Al Buraymi*, Al Wusta, Ash Sharqiyah, Az Zahirah, Masqat*, Musandam*, Zufar (Dhofar)* |
| Independence: | 1650 (expulsion of the Portuguese) |
| National holiday: | Birthday of Sultan QABOOS, 18 November (1940) |
| Constitution: | none; note - on 6 November 1996, Sultan QABOOS issued a royal decree promulgating a basic law considered by the government to be a constitution which, among other things, clarifies the royal succession, provides for a prime minister, bars ministers from holding interests in companies doing business with the government, establishes a bicameral legislature, and guarantees basic civil liberties for Omani citizens |
| Legal system: | based on English common law and Islamic law; ultimate appeal to the monarch; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 21 years of age; universal; note - members of the military and security forces are not allowed to vote |
| Executive branch: | chief of state: Sultan and Prime Minister QABOOS bin Said al-Said (sultan since 23 July 1970 and prime minister since 23 July 1972); note - the monarch is both the chief of state and head of government |
| Executive branch: | head of government: Sultan and Prime Minister QABOOS bin Said al-Said (sultan since 23 July 1970 and prime minister since 23 July 1972) |
| Executive branch: | cabinet: Cabinet appointed by the monarch |
| Executive branch: | elections: none; the monarch is hereditary |
| Legislative branch: | bicameral Majlis Oman consists of Majlis al-Dawla (or upper chamber) (58 seats; members appointed by the monarch; has advisory powers only) and Majlis al-Shura (or lower chamber)(84 seats; members elected by popular vote to serve four-year terms; body has some limited power to propose legislation, but otherwise has only advisory powers) |
| Legislative branch: | elections: last held 4 October 2003 (next to be held in October 2007) |
| Legislative branch: | election results: NA |
| Judicial branch: | Supreme Court |
| Judicial branch: | note: the nascent civil court system, administered by region, has judges who practice secular and Shari'a law |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | none |
| International organization participation: | ABEDA, AFESD, AMF, FAO, G-77, GCC, IBRD, ICAO, ICCt (signatory), IDA, IDB, IFAD, IFC, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, ISO, ITSO, ITU, LAS, MIGA, NAM, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Hunaina bint Sultan bin Ahmad al-MUGHAIRI |
| Diplomatic representation in the US: | chancery: 2535 Belmont Road, NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-1980 through 1981, 1988 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-4933 |
| Diplomatic representation from the US: | chief of mission: Ambassador Gary A. GRAPPO |
| Diplomatic representation from the US: | embassy: Jameat A'Duwal Al Arabiya Street, Al Khuwair area, Muscat |
| Diplomatic representation from the US: | mailing address: P. O. Box 202, P.C. 115, Madinat Sultan Qaboos, Muscat |
| Diplomatic representation from the US: | telephone: [968] 24-643-400 |
| Diplomatic representation from the US: | FAX: [968] 24-699771 |
| Flag description: | three horizontal bands of white, red, and green of equal width with a broad, vertical, red band on the hoist side; the national emblem (a khanjar dagger in its sheath superimposed on two crossed swords in scabbards) in white is centered near the top of the vertical band |
