| Government | SPAIN |
| --- | --- |
| Country name: | conventional long form: Kingdom of Spain |
| Country name: | conventional short form: Spain |
| Country name: | local long form: Reino de Espana |
| Country name: | local short form: Espana |
| Country name: | etymology: derivation of the name "Espana" is uncertain, but may come from the Phoenician term "span," related to the word "spy," meaning "to forge metals," so, "i-spn-ya" would mean "place where metals are forged"; the ancient Phoenicians long exploited the Iberian Peninsula for its mineral wealth |
| Government type: | parliamentary constitutional monarchy |
| Capital: | name: Madrid |
| Capital: | geographic coordinates: 40 24 N, 3 41 W |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | note: Spain has two time zones including the Canary Islands |
| Administrative divisions: | 17 semi-autonomous communities (comunidades autonomas, singular - comunidad autonoma) and 2 autonomous cities* (ciudades autonomas, singular - ciudad autonoma); Andalucia; Aragon; Asturias; Canarias (Canary Islands); Cantabria; Castilla-La Mancha; Castilla-Leon; Cataluna (Castilian), Catalunya (Catalan), Catalonha (Aranese) [Catalonia]; Ceuta*; Comunidad Valenciana (Castilian), Comunitat Valenciana (Valencian) [Valencian Community]; Extremadura; Galicia; Illes Baleares (Balearic Islands); La Rioja; Madrid; Melilla*; Murcia; Navarra (Castilian), Nafarroa (Basque) [Navarre]; Pais Vasco (Castilian), Euskadi (Basque) [Basque Country] |
| Administrative divisions: | note: the autonomous cities of Ceuta and Melilla plus three small islands of Islas Chafarinas, Penon de Alhucemas, and Penon de Velez de la Gomera, administered directly by the Spanish central government, are all along the coast of Morocco and are collectively referred to as Places of Sovereignty (Plazas de Soberania) |
| Independence: | 1492; the Iberian peninsula was characterized by a variety of independent kingdoms prior to the Muslim occupation that began in the early 8th century A.D. and lasted nearly seven centuries; the small Christian redoubts of the north began the reconquest almost immediately, culminating in the seizure of Granada in 1492; this event completed the unification of several kingdoms and is traditionally considered the forging of present-day Spain |
| National holiday: | National Day, 12 October (1492); year when Columbus first set foot in the Americas |
| Constitution: | history: previous 1812; latest approved by the General Courts 31 October 1978, passed by referendum 6 December 1978, signed by the king 27 December 1978, effective 29 December 1978 |
| Constitution: | amendments: proposed by the government, by the General Courts (the Congress or the Senate), or by the self-governing communities submitted through the government; passage requires three-fifths majority vote by both houses and passage by referendum if required by one-tenth of the members of either house within 15 days of passage; proposals disapproved by both houses are submitted to a joint committee, which submits an agreed upon text for another vote; passage requires two-thirds vote in Congress and simple majority vote in the Senate; amended 1992, 2007, 2011 (2016) |
| Legal system: | civil law system with regional variations |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Spain |
| Citizenship: | dual citizenship recognized: only with select Latin American countries |
| Citizenship: | residency requirement for naturalization: 10 years for persons with no ties to Spain |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King FELIPE VI (since 19 June 2014); Heir Apparent Princess LEONOR, Princess of Asturias, daughter of the monarch, born 31 October 2005 |
| Executive branch: | head of government: President of the Government or Acting Prime Minister Mariano RAJOY (since 20 December 2011); Vice President (and Minister of the President's Office) Soraya SAENZ DE SANTAMARIA (since 22 December 2011) |
| Executive branch: | cabinet: Council of Ministers designated by the president |
| Executive branch: | elections/appointments: the monarchy is hereditary; following legislative elections, the monarch usually proposes the leader of the party or coalition with the largest majority of seats as president, who is then indirectly elected by the Congress of Deputies; election last held on 20 December 2015; vice president and Council of Ministers appointed by the president; note - because no party received a majority of the votes in both houses, and because the leaders of the parties with the most votes were unable to form a coalition to form a majority, new elections were held on 26 June 2016 |
| Executive branch: | election results: percent of National Assembly vote - NA |
| Executive branch: | note: there is also a Council of State that is the supreme consultative organ of the government, but its recommendations are non-binding |
