| Government | Spain |
| --- | --- |
| Country name: | conventional long form: Kingdom of Spain |
| Country name: | conventional short form: Spain |
| Country name: | local long form: Reino de Espana |
| Country name: | local short form: Espana |
| Country name: | etymology: derivation of the name "Espana" is uncertain, but may come from the Phoenician term "span," related to the word "spy," meaning "to forge metals," so, "i-spn-ya" would mean "place where metals are forged"; the ancient Phoenicians long exploited the Iberian Peninsula for its mineral wealth |
| Government type: | parliamentary constitutional monarchy |
| Capital: | name: Madrid |
| Capital: | geographic coordinates: 40 24 N, 3 41 W |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | note: Spain has two time zones, including the Canary Islands (UTC 0) |
| Administrative divisions: | 17 autonomous communities (comunidades autonomas, singular - comunidad autonoma) and 2 autonomous cities* (ciudades autonomas, singular - ciudad autonoma); Andalucia; Aragon; Asturias; Canarias (Canary Islands); Cantabria; Castilla-La Mancha; Castilla-Leon; Cataluna (Castilian), Catalunya (Catalan), Catalonha (Aranese) [Catalonia]; Ceuta*; Comunidad Valenciana (Castilian), Comunitat Valenciana (Valencian) [Valencian Community]; Extremadura; Galicia; Illes Baleares (Balearic Islands); La Rioja; Madrid; Melilla*; Murcia; Navarra (Castilian), Nafarroa (Basque) [Navarre]; Pais Vasco (Castilian), Euskadi (Basque) [Basque Country] |
| Administrative divisions: | note: the autonomous cities of Ceuta and Melilla plus three small islands of Islas Chafarinas, Penon de Alhucemas, and Penon de Velez de la Gomera, administered directly by the Spanish central government, are all along the coast of Morocco and are collectively referred to as Places of Sovereignty (Plazas de Soberania) |
| Independence: | 1492; the Iberian peninsula was characterized by a variety of independent kingdoms prior to the Muslim occupation that began in the early 8th century A.D. and lasted nearly seven centuries; the small Christian redoubts of the north began the reconquest almost immediately, culminating in the seizure of Granada in 1492; this event completed the unification of several kingdoms and is traditionally considered the forging of present-day Spain |
| National holiday: | National Day (Hispanic Day), 12 October (1492); note - commemorates the arrival of COLUMBUS in the Americas |
| Constitution: | history: previous 1812; latest approved by the General Courts 31 October 1978, passed by referendum 6 December 1978, signed by the king 27 December 1978, effective 29 December 1978 (2016) |
| Constitution: | amendments: proposed by the government, by the General Courts (the Congress or the Senate), or by the self-governing communities submitted through the government; passage requires three-fifths majority vote by both houses and passage by referendum if requested by one-tenth of members of either house; proposals disapproved by both houses are submitted to a joint committee, which submits an agreed upon text for another vote; passage requires two-thirds vote in Congress and simple majority vote in the Senate; amended 1992, 2007, 2011 (2016) |
| Legal system: | civil law system with regional variations |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Spain |
| Citizenship: | dual citizenship recognized: only with select Latin American countries |
| Citizenship: | residency requirement for naturalization: 10 years for persons with no ties to Spain |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Supreme Court or Tribunal Supremo (consists of the court president and organized into the Civil Room, with a president and 9 judges; the Penal Room, with a president and 14 judges; the Administrative Room, with a president and 32 judges; the Social Room, with a president and 12 judges; and the Military Room, with a president and 7 judges); Constitutional Court or Tribunal Constitucional de Espana (consists of 12 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the monarch from candidates proposed by the General Council of the Judiciary Power, a 20-member governing board chaired by the monarch that includes presidential appointees, lawyers, and jurists confirmed by the National Assembly; judges can serve until age 70; Constitutional Court judges nominated by the National Assembly, executive branch, and the General Council of the Judiciary, and appointed by the monarch for 9-year terms |
| Judicial branch: | subordinate courts: National High Court; High Courts of Justice (in each of the autonomous communities); provincial courts; courts of first instance |
