| Government | Faroe Islands |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Faroe Islands |
| Country name: | local long form: none |
| Country name: | local short form: Foroyar |
| Dependency status: | part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark since 1948 |
| Government type: | NA |
| Capital: | name: Torshavn |
| Capital: | geographic coordinates: 62 01 N, 6 46 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | none (part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark); there are no first-order administrative divisions as defined by the US Government, but there are 34 municipalities |
| Independence: | none (part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark) |
| National holiday: | Olaifest (Olavasoka), 29 July |
| Constitution: | 5 June 1953 (Danish constitution) |
| Legal system: | the laws of Denmark, where applicable, apply |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen MARGRETHE II of Denmark (since 14 January 1972), represented by High Commissioner Birgit KLEIS, chief administrative officer (since 1 November 2001) |
| Executive branch: | head of government: Prime Minister Joannes EIDESGAARD (since 3 February 2004) |
| Executive branch: | cabinet: Landsstyri appointed by the prime minister |
| Executive branch: | elections: the monarch is hereditary; high commissioner appointed by the monarch; following legislative elections, the leader of the majority party or the leader of the majority coalition is usually elected prime minister by the Faroese Parliament; election last held 20 January 2004 (next to be held no later than January 2008) |
| Executive branch: | election results: Joannes EIDESGAARD elected prime minister; percent of parliamentary vote - NA |
| Legislative branch: | unicameral Faroese Parliament or Logting (32 seats; members are elected by popular vote on a proportional basis from the seven constituencies to serve four-year terms) |
| Legislative branch: | elections: last held 20 January 2004 (next to be held no later than January 2008) |
| Legislative branch: | election results: percent of vote by party - Union Party 23.7%, Social Democratic Party 21.8%, Republican Party 21.7%, People's Party 20.6%, Center Party 5.2%, Independence Party 4.6%, other 2.4%; seats by party - Republican Party 8, Union Party 7, Social Democratic Party 7, People's Party 7, Center Party 2, Independence Party 1 |
| Legislative branch: | note: election of two seats to the Danish Parliament was last held on 8 February 2005 (next to be held in February 2009); results - percent of vote by party - NA; seats by party - Republican Party 1, People's Party 1 |
| Judicial branch: | none |
| Political parties and leaders: | Center Party [Jenis A. RANA]; Independence Party [Kari P. HOJGAARD]; People's Party [Anfinn KALLSBERG]; Republican Party [Hogni HOYDAL]; Social Democratic Party [Joannes EIDESGAARD]; Union Party [Kaj Leo JOHANNESEN] |
| Political pressure groups and leaders: | NA |
| International organization participation: | Arctic Council, IMO (associate), NC, NIB, UPU |
| Diplomatic representation in the US: | none (self-governing overseas administrative division of Denmark) |
| Diplomatic representation from the US: | none (self-governing overseas administrative division of Denmark) |
| Flag description: | white with a red cross outlined in blue extending to the edges of the flag; the vertical part of the cross is shifted toward the hoist side in the style of the Dannebrog (Danish flag) |
