| Government |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Faroe Islands |
| Country name: | local long form: none |
| Country name: | local short form: Foroyar |
| Dependency status: | part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark since 1948 |
| Government type: | NA |
| Capital: | Torshavn |
| Administrative divisions: | none (part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark); there are no first-order administrative divisions as defined by the US Government, but there are 49 municipalities |
| Independence: | none (part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark) |
| National holiday: | Olaifest, 29 July |
| Constitution: | 5 June 1953 (Danish constitution) |
| Legal system: | Danish |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen MARGRETHE II of Denmark (since 14 January 1972), represented by High Commissioner Ms. Vibeke LARSEN, chief administrative officer (since NA) |
| Executive branch: | head of government: Prime Minister Anfinn KALLSBERG (since 15 May 1998) |
| Executive branch: | cabinet: Landsstyri appointed by the prime minister |
| Executive branch: | elections: the monarch is hereditary; high commissioner appointed by the monarch; following legislative elections, the leader of the party that wins the most seats is usually elected prime minister by the Faroese Parliament; election last held 30 April 1998 (next to be held no later than April 2002) |
| Executive branch: | election results: Anfinn KALLSBERG elected prime minister; percent of parliamentary vote - 52.8% |
| Executive branch: | note: coalition of People's Party, Republican Party and Home Rule Party |
| Legislative branch: | unicameral Faroese Parliament or Logting (32 seats; members are elected by popular vote on a proportional basis from the seven constituencies to serve four-year terms) |
| Legislative branch: | elections: last held 30 April 1998 (next to be held not later than April 2002) |
| Legislative branch: | election results: percent of vote by party - Republican Party 23.8%, People's Party 21.3%, Social Democratic Party 21.9%, Union Party 18%, Home Rue Party 7.7%, Center Party 4.1%; seats by party - Republican Party 8, People's Party 8, Social Democratic Party 7, Union Party 6, Home Rule Party 2, Center Party 1 |
| Legislative branch: | note: election of 2 seats to the Danish Parliament was last held on 11 March 1998 (next to be held not later than March 2002); results - percent of vote by party - NA; seats by party - Social Democratic Party 1, People's Party 1 |
| Judicial branch: | none |
| Political parties and leaders: | Center Party [Jenis A. RANA]; Home Rule Party [Helena Dam a NEYSTABO]; People's Party [Oli BRECKMANN]; Republican Party [Hogni HOYDAL]; Social Democratic Party [Joannes EIDESGAARD]; Union Party [Edmund JOENSEN] |
| Political pressure groups and leaders: | NA |
| International organization participation: | NC, NIB |
| Diplomatic representation in the US: | none (self-governing overseas administrative division of Denmark) |
| Diplomatic representation from the US: | none (self-governing overseas administrative division of Denmark) |
| Flag description: | white with a red cross outlined in blue that extends to the edges of the flag; the vertical part of the cross is shifted to the hoist side in the style of the Dannebrog (Danish flag) |
