| Government | Faroe Islands |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Faroe Islands |
| Country name: | local long form: none |
| Country name: | local short form: Foroyar |
| Dependency status: | part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark since 1948 |
| Government type: | NA |
| Capital: | name: Torshavn |
| Capital: | geographic coordinates: 62 01 N, 6 46 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | none (part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark); there are no first-order administrative divisions as defined by the US Government, but there are 34 municipalities |
| Independence: | none (part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark) |
| National holiday: | Olaifest (Olavasoka), 29 July |
| Constitution: | 5 June 1953 (Danish constitution) |
| Legal system: | the laws of Denmark, where applicable, apply |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen MARGRETHE II of Denmark (since 14 January 1972), represented by High Commissioner Birgit KLEIS, chief administrative officer (since 1 November 2001) |
| Executive branch: | head of government: Prime Minister Kaj Leo JOHANNESSEN (since 26 September 2008) |
| Executive branch: | cabinet: Landsstyri appointed by the prime minister |
| Executive branch: | elections: the monarch is hereditary; high commissioner appointed by the monarch; following legislative elections, the leader of the majority party or the leader of the majority coalition is usually elected prime minister by the Faroese Parliament; election last held 19 January 2008 (next to be held no later than January 2012) |
| Executive branch: | election results: Joannes EIDESGAARD elected prime minister; governing coalition collapses in September 2008, Kaj Leo JOHANNESSEN becomes Prime Minister |
| Legislative branch: | unicameral Faroese Parliament or Logting (33 seats; members are elected by popular vote on a proportional basis from the seven constituencies to serve four-year terms) |
| Legislative branch: | elections: last held 19 January 2008 (next to be held no later than January 2012) |
| Legislative branch: | election results: percent of vote by party - Union Party 21%, Social Democratic Party 19.4%, Republican Party 23.3%, People's Party 20.1%, Center Party 8.4%, Self-Government Party 7.2%, other 0.6%; seats by party - Republican Party 8, Union Party 7, Social Democratic Party 6, People's Party 7, Center Party 3, Independence Party 2 |
| Legislative branch: | note: election of two seats to the Danish Parliament was last held on 13 November 2007 (next to be held no later than November 2011); results - percent of vote by party - NA; seats by party - Republican Party 1, Union Party 1 |
| Judicial branch: | none |
| Political parties and leaders: | Center Party [Jenis A. RANA]; Independence Party [Kari P. HOJGAARD]; People's Party [Jorgen NICLASEN]; Republican Party [Hogni HOYDAL]; Social Democratic Party [Joannes EIDESGAARD]; Self-Government Party [Kari P. HOJGAARD]; Union Party [Kaj Leo JOHANNESEN] |
| Political pressure groups and leaders: | Sea Shepard [Paul WATSON] (preservation of small whales) |
| Political pressure groups and leaders: | other: conservationists |
| International organization participation: | Arctic Council, FAO, IMO (associate), NC, NIB, UPU |
| Diplomatic representation in the US: | none (self-governing overseas administrative division of Denmark) |
| Diplomatic representation from the US: | none (self-governing overseas administrative division of Denmark) |
| Flag description: | white with a red cross outlined in blue extending to the edges of the flag; the vertical part of the cross is shifted toward the hoist side in the style of the Dannebrog (Danish flag); the flag resembles those of neighboring Iceland and Norway, and uses the same three colors - but in a different sequence |
