| Government | Faroe Islands |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Faroe Islands |
| Country name: | local short form: Foroyar |
| Country name: | local long form: none |
| Dependency status: | part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark since 1948 |
| Government type: | NA |
| Capital: | Torshavn |
| Administrative divisions: | none (part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark); there are no first-order administrative divisions as defined by the US Government, but there are 49 municipalities |
| Independence: | none (part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark) |
| National holiday: | Olaifest, 29 July |
| Constitution: | 5 June 1953 (Danish constitution) |
| Legal system: | Danish |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen MARGRETHE II of Denmark (since 14 January 1972), represented by High Commissioner Birgit KLEIS, chief administrative officer (since 1 November 2001) |
| Executive branch: | election results: Joannes EIDESGAARD elected prime minister; percent of parliamentary vote - NA% |
| Executive branch: | note: coalition of Social Democrats, Union Party, and People's Party |
| Executive branch: | elections: the monarch is hereditary; high commissioner appointed by the monarch; following legislative elections, the leader of the majority party or the leader of the majority coalition is usually elected prime minister by the Faroese Parliament; election last held 20 January 2004 (next to be held no later than January 2008) |
| Executive branch: | head of government: Prime Minister Joannes EIDESGAARD (since 3 February 2004) |
| Executive branch: | cabinet: Landsstyri appointed by the prime minister |
| Legislative branch: | unicameral Faroese Parliament or Logting (32 seats; members are elected by popular vote on a proportional basis from the seven constituencies to serve four-year terms) |
| Legislative branch: | election results: percent of vote by party - Union Party 23.7%, Social Democrats 21.8%, Republican Party 21.7%, People's Party 20.6%, Center Party 5.2%, Independence Party 4.6%; seats by party - Union Party 7, Social Democrats 7, Republican Party 8, People's Party 7, Center Party 2, Independence Party 1 |
| Legislative branch: | note: election of 2 seats to the Danish Parliament was last held on 20 November 2001 (next to be held 8 February 2005); results - percent of vote by party - NA; seats by party - Republican Party 1, Union Party 1 |
| Legislative branch: | elections: last held 20 January 2004 (next to be held no later than January 2008) |
| Judicial branch: | none |
| Political parties and leaders: | Center Party [Jenis A. RANA]; Independence Party [Helena Dam a NEYSTABO]; People's Party [Anfinn KALLSBERG]; Republican Party [Hogni HOYDAL]; Social Democratic Party [Joannes EIDESGAARD]; Union Party [Lisbeth PETERSEN] |
| Political pressure groups and leaders: | NA |
| International organization participation: | IMO (associate), NC, NIB, UPU |
| Diplomatic representation in the US: | none (self-governing overseas administrative division of Denmark) |
| Diplomatic representation from the US: | none (self-governing overseas administrative division of Denmark) |
| Flag description: | white with a red cross outlined in blue extending to the edges of the flag; the vertical part of the cross is shifted toward the hoist side in the style of the Dannebrog (Danish flag) |
