| Government | Luxembourg |
| --- | --- |
| Country name: | conventional long form: Grand Duchy of Luxembourg |
| Country name: | conventional short form: Luxembourg |
| Country name: | local short form: Luxembourg |
| Country name: | local long form: Grand Duche de Luxembourg |
| Government type: | constitutional monarchy |
| Capital: | Luxembourg |
| Administrative divisions: | 3 districts; Diekirch, Grevenmacher, Luxembourg |
| Independence: | 1839 (from the Netherlands) |
| National holiday: | National Day (Birthday of Grand Duchess Charlotte) 23 June |
| Constitution: | 17 October 1868, occasional revisions |
| Legal system: | based on civil law system; accepts compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: Grand Duke HENRI (since 7 October 2000); Heir Apparent Prince GUILLAUME (son of the monarch, born 11 November 1981) |
| Executive branch: | head of government: Prime Minister Jean-Claude JUNCKER (since 1 January 1995) and Vice Prime Minister Lydie POLFER (since 7 August 1999) |
| Executive branch: | cabinet: Council of Ministers recommended by the prime minister and appointed by the monarch |
| Executive branch: | elections: none; the monarch is hereditary; following popular elections to the Chamber of Deputies, the leader of the majority party or the leader of the majority coalition is usually appointed prime minister by the monarch; the deputy prime minister is appointed by the monarch; they are responsible to the Chamber of Deputies |
| Executive branch: | note: government coalition - CSV and DP |
| Legislative branch: | unicameral Chamber of Deputies or Chambre des Deputes (60 seats; members are elected by direct, popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 13 June 1999 (next to be held by June 2004) |
| Legislative branch: | note: there is also a Council of State that serves as an advisory body to the Chamber of Deputies; the Council of State has 21 members appointed by the Grand Duke on the advice of the prime minister |
| Legislative branch: | election results: percent of vote by party - CSV 29.79%, DP 21.58%, LSAP 23.75%, ADR 10.36%, Green Party 9.09%, the Left 3.77%; seats by party - CSV 19, DP 15, LSAP 13, ADR 6, Green Party 5, the Left 2 |
| Judicial branch: | judicial courts and tribunals (3 Justices of the Peace, 2 district courts, and 1 Supreme Court of Appeals); administrative courts and tribunals (State Prosecutor's Office, administrative courts and tribunals, and the Constitutional Court); judges for all courts are appointed for life by the monarch |
| Political parties and leaders: | Action Committee for Democracy and Justice or ADR [Robert MEHLEN]; Christian Social People's Party or CSV (known also as Christian Social Party or PCS) [Erna HENNICOT-SCHOEPGES]; Democratic Party or DP [Lydie POLFER]; Green Party [Abbes JACOBY and Felix BRAS]; Luxembourg Socialist Workers' Party or LSAP [Jean ASSELBORN]; Marxist and Reformed Communist Party DEI LENK (the Left) [no formal leadership]; other minor parties |
| Political pressure groups and leaders: | ABBL (bankers' association); ALEBA (financial sector trade union); Centrale Paysanne (federation of agricultural producers); CEP (professional sector chamber); CGFP (trade union representing civil service); Chambre de Commerce (Chamber of Commerce); Chambre des Metiers (Chamber of Artisans); FEDIL (federation of industrialists); LCGP (center-right trade union); OGBL (center-left trade union) |
| International organization participation: | ACCT, Australia Group, Benelux, CCC, CE, EAPC, EBRD, ECE, EIB, EMU, EU, FAO, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, NATO, NEA, NSG, OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WEU, WHO, WIPO, WMO, WTrO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Arlette CONZEMIUS-PACCOURD |
| Diplomatic representation in the US: | chancery: 2200 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | consulate(s) general: New York and San Francisco |
| Diplomatic representation in the US: | FAX: [1] (202) 328-8270 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-4171 |
| Diplomatic representation from the US: | chief of mission: Ambassador Peter TERPELUK, Jr. |
| Diplomatic representation from the US: | embassy: 22 Boulevard Emmanuel-Servais, L-2535 Luxembourg City |
| Diplomatic representation from the US: | mailing address: American Embassy Luxembourg, Unit 1410, APO AE 09126-1410 (official mail); American Embassy Luxembourg, PSC 9, Box 9500, APO AE 09123 (personal mail) |
| Diplomatic representation from the US: | telephone: [352] 46 01 23 |
| Diplomatic representation from the US: | FAX: [352] 46 14 01 |
| Flag description: | three equal horizontal bands of red (top), white, and light blue; similar to the flag of the Netherlands, which uses a darker blue and is shorter; design was based on the flag of France |
