| Government | Hungary |
| --- | --- |
| Country name: | conventional long form: Republic of Hungary |
| Country name: | conventional short form: Hungary |
| Country name: | local long form: Magyar Koztarsasag |
| Country name: | local short form: Magyarorszag |
| Government type: | parliamentary democracy |
| Capital: | name: Budapest |
| Capital: | geographic coordinates: 47 30 N, 19 05 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 19 counties (megyek, singular - megye), 23 urban counties (singular - megyei varos), and 1 capital city (fovaros) |
| Administrative divisions: | counties: Bacs-Kiskun, Baranya, Bekes, Borsod-Abauj-Zemplen, Csongrad, Fejer, Gyor-Moson-Sopron, Hajdu-Bihar, Heves, Jasz-Nagykun-Szolnok, Komarom-Esztergom, Nograd, Pest, Somogy, Szabolcs-Szatmar-Bereg, Tolna, Vas, Veszprem, Zala |
| Administrative divisions: | urban counties: Bekescsaba, Debrecen, Dunaujvaros, Eger, Erd, Gyor, Hodmezovasarhely, Kaposvar, Kecskemet, Miskolc, Nagykanizsa, Nyiregyhaza, Pecs, Salgotarjan, Sopron, Szeged, Szekesfehervar, Szekszard, Szolnok, Szombathely, Tatabanya, Veszprem, Zalaegerszeg |
| Administrative divisions: | capital city: Budapest |
| Independence: | 16 November 1918 (republic proclaimed); notable earlier dates: 25 December 1000 (crowning of King STEPHEN I, traditional founding date); 30 March 1867 (Austro-Hungarian dual monarchy established) |
| National holiday: | Saint Stephen's Day, 20 August; note - commemorates the date when his remains were transferred to Buda (now Budapest) |
| Constitution: | 25 April 2011, effective 1 January 2012 |
| Legal system: | civil legal system influenced by the German model |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Pal SCHMITT (since 6 August 2010) |
| Executive branch: | head of government: Prime Minister Viktor ORBAN (since 29 May 2010) |
| Executive branch: | cabinet: Council of Ministers prime minister elected by the National Assembly on the recommendation of the president; other ministers proposed by the prime minister and appointed and relieved of their duties by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by the National Assembly for a five-year term (eligible for a second term); election last held on 29 June 2010 (next to be held by June 2015); prime minister elected by the National Assembly on the recommendation of the president; election last held 29 May 2010 |
| Executive branch: | election results: Pal SCHMITT elected president; National Assembly vote - Pal SCHMITT 263, Andras BALOGH 58; Viktor ORBAN was elected prime minister; National Assembly vote - 261 to 107 |
| Executive branch: | note: to be elected, the president must win two-thirds of legislative vote in the first two rounds or a simple majority in the third round |
| Legislative branch: | unicameral National Assembly or Orszaggyules (386 seats; members elected by popular vote under a system of proportional and direct representation to serve four-year terms) |
| Legislative branch: | elections: last held on 11 and 25 April 2010 (next to be held in April 2014) |
