| Government | HUNGARY |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Hungary |
| Country name: | local long form: none |
| Country name: | local short form: Magyarorszag |
| Country name: | etymology: the Byzantine Greeks refered to the tribes that arrived on the steppes of Eastern Europe in the 9th century as the "Oungroi," a name that was later Latinized to "Ungri" and which became "Hungari"; the name originally meant an "[alliance of] ten tribes"; the Hungarian name "Magyarorszag" means "Country of the Magyars"; the term may derive from the most prominent of the Hungarian tribes, the Megyer |
| Government type: | parliamentary republic |
| Capital: | name: Budapest |
| Capital: | geographic coordinates: 47 30 N, 19 05 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 19 counties (megyek, singular - megye), 23 cities with county rights (megyei jogu varosok, singular - megyei jogu varos), and 1 capital city (fovaros) |
| Administrative divisions: | counties: Bacs-Kiskun, Baranya, Bekes, Borsod-Abauj-Zemplen, Csongrad, Fejer, Gyor-Moson-Sopron, Hajdu-Bihar, Heves, Jasz-Nagykun-Szolnok, Komarom-Esztergom, Nograd, Pest, Somogy, Szabolcs-Szatmar-Bereg, Tolna, Vas, Veszprem, Zala |
| Administrative divisions: | cities with county rights: Bekescsaba, Debrecen, Dunaujvaros, Eger, Erd, Gyor, Hodmezovasarhely, Kaposvar, Kecskemet, Miskolc, Nagykanizsa, Nyiregyhaza, Pecs, Salgotarjan, Sopron, Szeged, Szekesfehervar, Szekszard, Szolnok, Szombathely, Tatabanya, Veszprem, Zalaegerszeg |
| Administrative divisions: | capital city: Budapest |
| Independence: | 16 November 1918 (republic proclaimed); notable earlier dates: 25 December 1000 (crowning of King STEPHEN I, traditional founding date); 30 March 1867 (Austro-Hungarian dual monarchy established) |
| National holiday: | Saint Stephen's Day, 20 August (1083); note - commemorates his cannonization and the transfer of his remains to Buda (now Budapest) in 1083 |
| Constitution: | history: previous 1949 (heavily amended in 1989 following the collapse of communism); latest approved 18 April 2011, signed 25 April 2011, effective 1 January 2012 |
| Constitution: | amendments: proposed by the president of the republic, by the government, by parliamentary committee, or by Parliament members; passage requires two-thirds majority vote of Parliament members and approval by the president; amended several times, last in 2013 (2016) |
| Legal system: | civil legal system influenced by the German model |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Hungary |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 8 years |
| Suffrage: | 18 years of age, 16 if married and marriage registered in Hungary; universal |
| Executive branch: | chief of state: Janos ADER (since 10 May 2012) |
| Executive branch: | head of government: Prime Minister Viktor ORBAN (since 29 May 2010) |
| Executive branch: | cabinet: Cabinet of Ministers proposed by the prime minister and appointed by the president |
| Executive branch: | elections/appointments: president indirectly elected by the National Assembly with two-thirds majority vote in first round or simple majority vote in second round for a 5-year term (eligible for a second term); election last held on 13 March 2017 (next to be held by spring 2022); prime minister elected by the National Assembly on the recommendation of the president |
| Executive branch: | election results: Janos ADER (Fidesz) reelected president; National Assembly vote - 131 to 39; Viktor ORBAN (Fidesz) reelected prime minister; National Assembly vote - 130 to 57 |
| Legislative branch: | description: unicameral National Assembly or Orszaggyules (199 seats; 106 members directly elected in single-member constituencies by simple majority vote and 93 members directly elected in a single nationwide constituency by party list proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 6 April 2014 (next to be held by April 2018) |
| Legislative branch: | election results: percent of vote by party - Fidesz-KDNP 66.8%, Unity 19.1%, Jobbik 11.6%, LMP 2.5%; seats by party - Fidesz-KDNP 133, Unity 38, Jobbik 23, LMP 5 |
| Judicial branch: | highest court(s): Curia or Supreme Judicial Court (consists of the president, vice president, 5 department heads, and approximately 76 judges and is organized into civil, criminal, economic, and administrative-labor departments; Constitutional Court (consists of 15 judges including the court president) |
| Judicial branch: | judge selection and term of office: Curia president elected from among its members for 9 years by the National Assembly on the recommendation of the president of the republic; other Curia judges appointed by the president upon the recommendation of the National Judicial Council, a separate 15-member administrative body; judge tenure based on interim evaluations until normal retirement age; Constitutional Court judges elected by two-thirds vote of the National Assembly; members serve single renewable 12-year terms with mandatory retirement at age 70 |
| Judicial branch: | subordinate courts: 5 regional courts of appeal; 19 regional or county courts (including Budapest Metropolitan Court); 20 administrative and labor courts; 111 district or local courts |
| Political parties and leaders: | Christian Democratic People's Party or KDNP [Zsolt SEMJEN] |
| Political parties and leaders: | Democratic Coalition or DK [Ferenc GYURCSANY] |
| Political parties and leaders: | Dialogue for Hungary or PM [Javor BENEDEK, Timea SZABO] |
| Political parties and leaders: | Fidesz-Hungarian Civic Alliance or Fidesz [Viktor ORBAN] |
| Political parties and leaders: | Hungarian Liberal Party or MLP [Gabor FODOR] |
