| Government | Hungary |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Hungary |
| Country name: | local long form: none |
| Country name: | local short form: Magyarorszag |
| Government type: | parliamentary democracy |
| Capital: | name: Budapest |
| Capital: | geographic coordinates: 47 30 N, 19 05 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 19 counties (megyek, singular - megye), 23 urban counties (singular - megyei varos), and 1 capital city (fovaros) |
| Administrative divisions: | counties: Bacs-Kiskun, Baranya, Bekes, Borsod-Abauj-Zemplen, Csongrad, Fejer, Gyor-Moson-Sopron, Hajdu-Bihar, Heves, Jasz-Nagykun-Szolnok, Komarom-Esztergom, Nograd, Pest, Somogy, Szabolcs-Szatmar-Bereg, Tolna, Vas, Veszprem, Zala |
| Administrative divisions: | urban counties: Bekescsaba, Debrecen, Dunaujvaros, Eger, Erd, Gyor, Hodmezovasarhely, Kaposvar, Kecskemet, Miskolc, Nagykanizsa, Nyiregyhaza, Pecs, Salgotarjan, Sopron, Szeged, Szekesfehervar, Szekszard, Szolnok, Szombathely, Tatabanya, Veszprem, Zalaegerszeg |
| Administrative divisions: | capital city: Budapest |
| Independence: | 16 November 1918 (republic proclaimed); notable earlier dates: 25 December 1000 (crowning of King STEPHEN I, traditional founding date); 30 March 1867 (Austro-Hungarian dual monarchy established) |
| National holiday: | Saint Stephen's Day, 20 August; note - commemorates the date when his remains were transferred to Buda (now Budapest) |
| Constitution: | previous 1949 (heavily amended in 1989following collapse of communism); latest approved 18 April 2011, signed 25 April 2011, effective 1 January 2012; amended several times, last in 2013 (2013) |
| Legal system: | civil legal system influenced by the German model |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age, 16 if married; universal |
| Executive branch: | chief of state: Janos ADER (since 10 May 2012) |
| Executive branch: | head of government: Prime Minister Viktor ORBAN (since 29 May 2010) |
| Executive branch: | cabinet: Cabinet of Ministers prime minister elected by the National Assembly on the recommendation of the president; other ministers proposed by the prime minister and appointed and relieved of their duties by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by the National Assembly for a five-year term (eligible for a second term); election last held on 2 May 2012 (next to be held by May 2017); prime minister elected by the National Assembly on the recommendation of the president; election last held 29 May 2010 |
| Executive branch: | election results: Janos ADER elected president, National Assembly vote - 262 to 40; Viktor ORBAN elected prime minister, National Assembly vote - 261 to 107 |
| Executive branch: | note: to be elected, the president must win two-thirds of legislative vote in the first round or a simple majority in the second round |
| Legislative branch: | unicameral National Assembly or Orszaggyules (386 seats; members elected by popular vote under a system of proportional and direct representation to serve four-year terms) |
| Legislative branch: | elections: last held on 11 and 25 April 2010 (next to be held in spring 2014) |
| Legislative branch: | election results: percent of vote by party (5% or more of the vote required for parliamentary representation in the first round) - Fidesz-KNDP 52.7%, MSZP 19.3%, Jobbik 16.7%, LMP 7.5%, other 3.8%; seats by party - Fidesz-KNDP 263, MSZP 59, Jobbik 47, LMP 16, independent 1 |
| Legislative branch: | note: composition as of mid-April 2013 - seats by party - Fidesz 226, MSZP 48, Jobbik 43, KNDP 37, Democratic Coalition 10, Dialog for Hungary 8, LMP 7, independent 7 |
| Judicial branch: | highest court(s): Curia or Supreme Judicial Court (consists of Curia president and 8 judges); Constitutional Court (consists of 15 members) |
| Judicial branch: | judge selection and term of office: Curia president elected from among its members for 9 years by the National Assembly on the recommendation of the president of the republic; other Curia judges appointed by the president upon the recommendation of the National Council of Justice, a separate 15-member administrative body; all judges serve until the normal retirement age; Constitutional Court members elected by two-thirds vote of the National Assembly; members serve 12-year terms |
| Judicial branch: | subordinate courts: regional courts of appeal; county courts, including the Municipal Court of Budapest; local courts |
| Political parties and leaders: | Christian Democratic People's Party or KDNP [Zsolt SEMJEN] |
| Political parties and leaders: | Democratic Coalition [Ferenc GYURCSANY] |
| Political parties and leaders: | Dialogue for Hungary [Benedek JAVOR, Timea SZABO, co-chairs] |
| Political parties and leaders: | Fidesz-Hungarian Civic Alliance or Fidesz [Viktor ORBAN, chairman] |
| Political parties and leaders: | Hungarian Socialist Party or MSZP [Attila MESTERHAZY] |
| Political parties and leaders: | Movement for a Better Hungary or Jobbik [Gabor VONA] |
| Political parties and leaders: | Politics Can Be Different or LMP [13-member leadership; some positions currently vacant] |
| Political pressure groups and leaders: | Air Work Group (works to reduce air pollution in towns and cities) |
| Political pressure groups and leaders: | Danube Circle (protests the building of the Gabchikovo-Nagymaros dam) |
| Political pressure groups and leaders: | Fourth Republic (Negyedik Koztarsasag) or 4K! (anti-Orban, pro-democracy Facebook movement emerged from a Facebook group, One Million for Freedom of the Press or "Milla," and plans to form a leftist political party) |
