| Government | Suriname |
| --- | --- |
| Country name: | conventional long form: Republic of Suriname |
| Country name: | conventional short form: Suriname |
| Country name: | local long form: Republiek Suriname |
| Country name: | local short form: Suriname |
| Country name: | former: Netherlands Guiana, Dutch Guiana |
| Country name: | etymology: name may derive from the indigenous "Surinen" people who inhabited the area at the time of European contact |
| Government type: | presidential republic |
| Capital: | name: Paramaribo |
| Capital: | geographic coordinates: 5 50 N, 55 10 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the name may be the corruption of a Carib (Kalina) village or tribe named Parmirbo |
| Administrative divisions: | 10 districts (distrikten, singular - distrikt); Brokopondo, Commewijne, Coronie, Marowijne, Nickerie, Para, Paramaribo, Saramacca, Sipaliwini, Wanica |
| Independence: | 25 November 1975 (from the Netherlands) |
| National holiday: | Independence Day, 25 November (1975) |
| Constitution: | history: previous 1975; latest ratified 30 September 1987, effective 30 October 1987 |
| Constitution: | amendments: proposed by the National Assembly; passage requires at least two-thirds majority vote of the total membership; amended 1992 (2018) |
| Legal system: | civil law system influenced by Dutch civil law; note - a new criminal code was enacted in 2017 |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Suriname |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Desire Delano BOUTERSE (since 12 August 2010); Vice President Ashwin ADHIN (since 12 August 2015); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Desire Delano BOUTERSE (since 12 August 2010); Vice President Ashwin ADHIN (since 12 August 2015) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president |
| Executive branch: | elections/appointments: president and vice president indirectly elected by the National Assembly; president and vice president serve a 5-year term (no term limits); election last held on 25 May 2015 (next to be held in May 2020) |
| Executive branch: | election results: Desire Delano BOUTERSE reelected president unopposed; National Assembly vote - NA |
| Legislative branch: | description: unicameral National Assembly or Nationale Assemblee (51 seats; members directly elected in multi-seat constituencies by party-list proportional representation vote to serve 5-year terms) |
| Legislative branch: | elections: last held on 25 May 2015 (next to be held in May 2020) |
| Legislative branch: | election results: percent of vote by party - NDP 45.5%, V7 37.2%, A-Com 10.5%, DOE 4.3%, PALU 0.7%, other 1.8%; seats by party - NDP 26, V7 18, A-Com 5, DOE 1, PALU 1; composition - men 38, women 13, percent of women 25.5% |
| Legislative branch: | note: seats by party as of April 2017 - seats by party - NDP 26, VHP 9, ABOP 5, PL 3, NPS 2, BEP 2, DOE 1, PALU 1, independent 2 |
| Judicial branch: | highest courts: High Court of Justice of Suriname (consists of the court president, vice president, and 4 judges); note - appeals beyond the High Court are referred to the Caribbean Court of Justice; human rights violations can be appealed to the Inter-American Commission on Human Rights with judgments issued by the Inter-American Court on Human Rights |
| Judicial branch: | judge selection and term of office: court judges appointed by the national president in consultation with the National Assembly, the State Advisory Council, and the Order of Private Attorneys; judges serve for life |
| Judicial branch: | subordinate courts: cantonal courts |
| Political parties and leaders: | Alternative Combination or A-Com (coalition includes ABOP, KTPI, Party for Democracy and Development) |
| Political parties and leaders: | Brotherhood and Unity in Politics or BEP [Celsius WATERBERG] |
| Political parties and leaders: | Democratic Alternative '91 or DA91 [Angelique DEL CASTILLO] |
| Political parties and leaders: | General Liberation and Development Party or ABOP [Ronnie BRUNSWIJK} |
| Political parties and leaders: | National Democratic Party or NDP [Desire Delano BOUTERSE] |
| Political parties and leaders: | National Party of Suriname or NPS [Gregory RUSLAND] |
| Political parties and leaders: | Party for Democracy and Development in Unity or DOE [Carl BREEVELD] |
| Political parties and leaders: | Party for National Unity and Solidarity or KTPI [Willy SOEMITA] |
| Political parties and leaders: | People's Alliance (Pertjaja Luhur) or PL [Paul SOMOHARDJO] |
| Political parties and leaders: | Progressive Workers' and Farmers' Union or PALU [Jim HOK] |
| Political parties and leaders: | Surinamese Labor Party or SPA [Guno CASTELEN] |
| Political parties and leaders: | Progressive Reform Party or VHP [Chandrikapersad SANTOKHI] |
