| Government | Suriname |
| --- | --- |
| Country name: | conventional long form: Republic of Suriname |
| Country name: | conventional short form: Suriname |
| Country name: | local long form: Republiek Suriname |
| Country name: | local short form: Suriname |
| Country name: | former: Netherlands Guiana, Dutch Guiana |
| Government type: | constitutional democracy |
| Capital: | name: Paramaribo |
| Capital: | geographic coordinates: 5 50 N, 55 10 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 districts (distrikten, singular - distrikt); Brokopondo, Commewijne, Coronie, Marowijne, Nickerie, Para, Paramaribo, Saramacca, Sipaliwini, Wanica |
| Independence: | 25 November 1975 (from the Netherlands) |
| National holiday: | Independence Day, 25 November (1975) |
| Constitution: | ratified 30 September 1987; effective 30 October 1987 |
| Legal system: | based on Dutch legal system incorporating French penal theory; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Runaldo Ronald VENETIAAN (since 12 August 2000); Vice President Ramdien SARDJOE (since 3 August 2005); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Runaldo Ronald VENETIAAN (since 12 August 2000); Vice President Ram SARDJOE (since 3 August 2005) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president |
| Executive branch: | elections: president and vice president elected by the National Assembly or, if no presidential or vice presidential candidate receives a two-thirds constitutional majority in the National Assembly after two votes, by a simple majority in the larger United People's Assembly (893 representatives from the national, local, and regional councils), for five-year terms (no term limits); election last held on 25 May 2005 (next to be held in 2010) |
| Executive branch: | election results: Runaldo Ronald VENETIAAN reelected president; percent of vote - Runaldo Ronald VENETIAAN 62.9%, Rabin PARMESSAR 35.4%, other 1.7%; note - after two votes in the parliament failed to secure a two-thirds majority for a candidate, the vote then went to a special session of the United People's Assembly on 3 August 2005 |
| Legislative branch: | unicameral National Assembly or Nationale Assemblee (51 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 25 May 2005 (next to be held in 2010) |
| Legislative branch: | election results: percent of vote by party - NF 39.7%, NDP 22.2%, VVV 13.8%, A-Com 7.2%, A-1 5.9%, other 11.2%; seats by party - NF 23, NDP 15, VVV 5, A-Com 5, A-1 3 |
| Judicial branch: | Cantonal Courts and a Court of Justice as an appellate court (justices are nominated for life) |
| Political parties and leaders: | Alternative-1 or A-1 (a coalition of Amazone Party of Suriname or APS [Kenneth VAN GENDEREN], Democrats of the 21st Century or D-21 [Soewarto MOESTADJA], Nieuw Suriname or NS [Radjen Nanan PANDAY], Political Wing of the FAL or PVF [Jiwan SITAL], Trefpunt 2000 or T-2000 [Arti JESSURUN]); General Interior Development Party or ABOP [Ronnie BRUNSWIJK]; National Democratic Party or NDP [Desire BOUTERSE]; New Front for Democracy and Development or NF (a coalition which includes A-Combination or A-Com, Democratic Alternative 1991 or DA-91, an independent, business-oriented party [Winston JESSURUN], National Party Suriname or NPS [Ronald VENETIAAN], United Reform Party or VHP [Ramdien SARDJOE], Pertjaja Luhur or PL [Salam Paul SOMOHARDJO], Surinamese Labor Party or SPA [Siegfried GILDS]); Party for Democracy and Development in Unity or DOE [Marten SCHALKWIJK]; People's Alliance for Progress or VVV (a coalition of Democratic National Platform 2000 or DNP-2000 [Jules WIJDENBOSCH], Grassroots Party for Renewal and Democracy or BVD [Tjan GOBARDHAN], Party for National Unity and Solidarity of the Highest Order or KTPI [Willy SOEMITA], Party for Progression, Justice, and Perseverance or PPRS [Renee KAIMAN], Pendawalima or PL [Raymond SAPOEN]); Progressive Laborers and Farmers Union or PALU [Jim HOK]; Progressive Political Party or PPP [Surinder MUNGRA]; Seeka [Paul ABENA]; Union of Progressive Surinamers or UPS [Sheoradj PANDAY] |
| Political pressure groups and leaders: | Association of Indigenous Village Chiefs [Ricardo PANE]; Association of Saramaccan Authorities or Maroon [Head Captain WASE]; Women's Parliament Forum or PVF [Iris GILLIAD] |
| International organization participation: | ACP, Caricom, CSN, FAO, G-77, IADB, IBRD, ICAO, ICRM, IDB, IFAD, IFRCS, IHO (suspended), ILO, IMF, IMO, Interpol, IOC, IPU, ITU, ITUC, LAES, MIGA, NAM, OAS, OIC, OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jacques Ruben Constantijn KROSS |
| Diplomatic representation in the US: | chancery: Suite 460, 4301 Connecticut Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-7488 |
| Diplomatic representation in the US: | FAX: [1] (202) 244-5878 |
| Diplomatic representation in the US: | consulate(s) general: Miami |
| Diplomatic representation from the US: | chief of mission: Ambassador Lisa Bobbie SCHREIBER HUGHES |
| Diplomatic representation from the US: | embassy: Dr. Sophie Redmondstraat 129, Paramaribo |
| Diplomatic representation from the US: | mailing address: US Department of State, 3390 Paramaribo Place, Washington, DC, 20521-3390 |
| Diplomatic representation from the US: | telephone: [597] 472-900 |
| Diplomatic representation from the US: | FAX: [597] 425-690 |
| Flag description: | five horizontal bands of green (top, double width), white, red (quadruple width), white, and green (double width); there is a large, yellow, five-pointed star centered in the red band |
