| Government | Suriname |
| --- | --- |
| Country name: | conventional long form: Republic of Suriname |
| Country name: | conventional short form: Suriname |
| Country name: | local long form: Republiek Suriname |
| Country name: | local short form: Suriname |
| Country name: | former: Netherlands Guiana, Dutch Guiana |
| Government type: | constitutional democracy |
| Capital: | name: Paramaribo |
| Capital: | geographic coordinates: 5 50 N, 55 10 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 districts (distrikten, singular - distrikt); Brokopondo, Commewijne, Coronie, Marowijne, Nickerie, Para, Paramaribo, Saramacca, Sipaliwini, Wanica |
| Independence: | 25 November 1975 (from the Netherlands) |
| National holiday: | Independence Day, 25 November (1975) |
| Constitution: | ratified 30 September 1987; effective 30 October 1987 |
| Legal system: | based on Dutch legal system incorporating French penal theory; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Desire Delano BOUTERSE (since 12 August 2010); Vice President Robert AMEERALI (since 12 August 2010); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Desire Delano BOUTERSE (since 12 August 2010); Vice President Robert AMEERALI (since 12 August 2010) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected by the National Assembly or, if no presidential or vice presidential candidate receives a two-thirds constitutional majority in the National Assembly after two votes, by a simple majority in the larger United People's Assembly (893 representatives from the national, local, and regional councils), for five-year terms (no term limits); election last held on 19 July 2010 (next to be held in 2015) |
| Executive branch: | election results: Desire Delano BOUTERSE elected president; percent of vote - Desire Delano BOUTERSE 70.6%, Chandrikapersad SATOKHI 25.5%, other 3.9% |
| Legislative branch: | unicameral National Assembly or Nationale Assemblee (51 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 25 May 2010 (next to be held in May 2015) |
| Legislative branch: | election results: percent of vote by party - Mega Combination 45.1%, New Front 27.5%, A-Com 13.7%, People's Alliance 11.8%, DOE 1.9%; seats by party - Mega Combination 23, New Front 14, A-Com 7, People's Alliance 6, DOE 1 |
| Judicial branch: | Cantonal Courts and a Court of Justice as an appellate court (justices are nominated for life); member of the Caribbean Court of Justice (CCJ) |
| Political parties and leaders: | A-Combination (a coalition that includes the General Liberation and Development Party ABOP [Ronnie BRUNSWIJK], SEEKA [Paul ABENA], Union of Brotherhood and Unity in Politics BEP [Caprino ALENDY]; Basic Party for Renewal and Democracy or BVD [Dilip SARDJOE]; Basic Party for Renewal and Democracy or PVF [Soedeschand JAIRAM]; Democratic Union Suriname or DUS [Japhet DIEKO]; Mega-Combination-Ruling Coalition (a coalition that joined with A-Combination and the PL to form a majority in Parliament in 2010 - includes the National Democratic Party or NDP [Desire BOUTERSE] (largest party in the coalition), Progressive Worker and Farmer's Union or PALU [Jim HOK], Party for National Unity and Solidarity of the Highest Order or KTPI [Willy SOEMITA], DNP-2000 [Jules WIJDENBOSCH], and New Suriname or NS [Nanan PANDAY]); National Union or NU [P. VAN LEEUWAARDE]; New Front for Democracy and Development or NF (a coalition made up of the National Party of Suriname or NPS [Runaldo VENETIAAN], United Reform Party or VHP [Ramdien SARDJOE], Democratic Alternative 1991 or DA-91 - an independent, business-oriented party [Winston JESSURUN], Surinamese Labor Party or SPA [Siegfried GILDS]); Party for Democracy and Development in Unity or DOE [Carl BREEVELD]; Party for the Permanent Prosperity Republic Suriname or PVRS [NA]; People's Alliance, Pertjaja Luhur's or PL [Paul SOMOHARDJO](includes D-21 [Soewarta MOESTADJA] and Pendawa Lima [Raymond SAPEON], which merged with PL in 2010) |
| Political parties and leaders: | note: BVD and PVF participated in the elections as a coalition (BVD/PVF) in the most recent elections, but separated after the election |
| Political pressure groups and leaders: | Association of Indigenous Village Chiefs [Ricardo PANE]; Association of Saramaccan Authorities or Maroon [Head Captain WASE]; Women's Parliament Forum or PVF [Iris GILLIAD] |
