| Government | Suriname |
| --- | --- |
| Country name: | conventional long form: Republic of Suriname |
| Country name: | conventional short form: Suriname |
| Country name: | local short form: Suriname |
| Country name: | former: Netherlands Guiana, Dutch Guiana |
| Country name: | local long form: Republiek Suriname |
| Government type: | constitutional democracy |
| Capital: | Paramaribo |
| Administrative divisions: | 10 districts (distrikten, singular - distrikt); Brokopondo, Commewijne, Coronie, Marowijne, Nickerie, Para, Paramaribo, Saramacca, Sipaliwini, Wanica |
| Independence: | 25 November 1975 (from Netherlands) |
| National holiday: | Independence Day, 25 November (1975) |
| Constitution: | ratified 30 September 1987 |
| Legal system: | based on Dutch legal system incorporating French penal theory |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Runaldo Ronald VENETIAAN (since 12 August 2000); Vice President Jules Rattankoemar AJODHIA (since 12 August 2000); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Runaldo Ronald VENETIAAN (since 12 August 2000); Vice President Jules Rattankoemar AJODHIA (since 12 August 2000); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president from among the members of the National Assembly |
| Executive branch: | elections: president and vice president elected by the National Assembly or, if no presidential or vice presidential candidate receives a constitutional majority in the National Assembly after two votes, by the larger People's Assembly (869 representatives from the national, local, and regional councils), for five-year terms; election last held 6 May 2000 (next to be held NA May 2005) |
| Executive branch: | election results: Runaldo Ronald VENETIAAN elected president by the National Assembly; percent of legislative vote - Runaldo Ronald VENETIAAN 72.5%; Rashied DOEKHIE (NDP) 19.6%; total votes cast - Runaldo Ronald VENETIAAN (New Front) 37 votes, Rashied DOEKHIE (NDP) 10 votes |
| Executive branch: | note: widespread demonstrations during the summer of 1999 led to the call for elections a year early |
| Legislative branch: | unicameral National Assembly or Nationale Assemblee (51 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - NF 33, MC 10, DNP 2000 3, DA '91 2, PVF 2, PALU 1 |
| Legislative branch: | note: widespread demonstrations during the summer of 1999 led to the call for elections a year early |
| Legislative branch: | elections: last held 5 May 2000 (next to be held NA May 2005) |
| Judicial branch: | Court of Justice (justices are nominated for life) |
| Political parties and leaders: | Democratic Alternative '91 or DA '91 (a coalition of the Alternative Forum or AF and Party for Brotherhood and Unity in Politics or BEP, formed in January 1991) [Winston JESSURUN]; Democratic National Platform 2000 or DNP 2000 (coalition of two parties, Democratic Party and Democrats of the 21st Century) [Jules WIJDENBOSCH]; Independent Progressive Democratic Alternative or OPDA [Joginder RAMKHILAWAN]; Millennium Combination or MC (a coalition of three parties, Democratic Alternative, Party for National Unity and Solidarity, and National Democratic Party) [leader NA]; National Democratic Party or NDP [Desire BOUTERSE]; Naya Kadam or NK [leader NA]; Party for Renewal and Democracy or BVD [Tjan GOBARDHAN]; Party of National Unity and Solidarity or KTPI [Willy SOEMITA]; Pertjaja Luhur [Paul SOMOHARDJO]; Progressive Workers' and Farm Laborers' Union or PALU [Ir Iwan KROLIS]; The New Front or NF (a coalition of four parties Suriname National Party or NPS, Progressive Reform Party or VHP, Suriname Labor Party or SPA, and Pertjaja Luhur) [Runaldo Ronald VENETIAAN]; The Progressive Development Alliance (a combination of three parties, Renewed Progressive Party or HPP, Party of the Federation of Land Workers or PVF, and Suriname Progressive People's Party or PSV) [Harry KISOENSINGH] |
| Political pressure groups and leaders: | General Liberation and Development Party or ABOP [Ronnie BRUNSWIJK]; Mandela Bushnegro Liberation Movement [Leendert ADAMS]; Tucayana Amazonica [Alex JUBITANA, Thomas SABAJO]; Union for Liberation and Democracy [Kofi AFONGPONG] |
| International organization participation: | ACP, Caricom, ECLAC, FAO, G-77, IADB, IBRD, ICAO, ICFTU, ICRM, IDB, IFAD, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, ITU, LAES, NAM, OAS, OIC, OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Henry Lothar ILLES |
| Diplomatic representation in the US: | FAX: [1] (202) 244-5878 |
| Diplomatic representation in the US: | consulate(s) general: Miami |
| Diplomatic representation in the US: | telephone: [1] (202) 244-7488 |
| Diplomatic representation in the US: | chancery: Suite 460, 4301 Connecticut Avenue NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Daniel A. JOHNSON |
| Diplomatic representation from the US: | embassy: Dr. Sophie Redmondstraat 129, Paramaribo |
| Diplomatic representation from the US: | mailing address: Department of State, 3390 Paramaribo Place, Washington, DC, 20521-3390 |
| Diplomatic representation from the US: | telephone: [597] 472900 |
| Diplomatic representation from the US: | FAX: [597] 420800 |
| Flag description: | five horizontal bands of green (top, double width), white, red (quadruple width), white, and green (double width); there is a large, yellow, five-pointed star centered in the red band |
