| Government | Portugal |
| --- | --- |
| Country name: | conventional long form: Portuguese Republic |
| Country name: | conventional short form: Portugal |
| Country name: | local long form: Republica Portuguesa |
| Country name: | local short form: Portugal |
| Government type: | parliamentary democracy |
| Capital: | Lisbon |
| Administrative divisions: | 18 districts (distritos, singular - distrito) and 2 autonomous regions* (regioes autonomas, singular - regiao autonoma); Aveiro, Acores (Azores)*, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Madeira*, Portalegre, Porto, Santarem, Setubal, Viana do Castelo, Vila Real, Viseu |
| Independence: | 1143 (Kingdom of Portugal recognized); 5 October 1910 (independent republic proclaimed) |
| National holiday: | Portugal Day, 10 June (1580); note - also called Camoes Day, the day that revered national poet Luis de Camoes (1524-80) died |
| Constitution: | 25 April 1976; revised many times |
| Legal system: | civil law system; the Constitutional Tribunal reviews the constitutionality of legislation; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jorge SAMPAIO (since 9 March 1996) |
| Executive branch: | head of government: Prime Minister Jose SOCRATES (since 12 March 2005) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the recommendation of the prime minister |
| Executive branch: | note: there is also a Council of State that acts as a consultative body to the president |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 14 January 2001 (next to be held January 2006); following legislative elections, the leader of the majority party or leader of a majority coalition is usually appointed prime minister by the president |
| Executive branch: | election results: Jorge SAMPAIO reelected president; percent of vote - Jorge SAMPAIO (Socialist) 55.8%, Joaquim FERREIRA Do Amaral (Social Democrat) 34.5%, Antonio ABREU (Communist) 5.1% |
| Legislative branch: | unicameral Assembly of the Republic or Assembleia da Republica (230 seats; members are elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 20 February 2005 (next to be held February 2009); note - President SAMPAIO called for early elections after dissolving parliament on 10 December 2004 because he lacked confidence in the four-month center-right government |
| Legislative branch: | election results: percent of vote by party - PS 45.1%, PSD 28.7%, CDU 7.6%, PP 7.3%, BE 6.4%; seats by party - PS 121, PSD 75, CDU 14, PP 12, BE 8 |
| Judicial branch: | Supreme Court or Supremo Tribunal de Justica (judges appointed for life by the Conselho Superior da Magistratura) |
| Political parties and leaders: | Green Ecologist Party or PEV [Heloisa APOLONIA]; Popular Party or PP [Jose Ribeiro e CASTRO]; Portuguese Communist Party or PCP [Jeronimo de SOUSA]; Portuguese Socialist Party or PS [Jose SOCRATES Carvalho Pinto de Sousa]; Social Democratic Party or PSD [Luis Marques MENDES]; The Left Bloc or BE [Franciso Anacleto LOUCA]; Unitarian Democratic Coalition or UDC [Jeronimo de SOUSA] |
| Political pressure groups and leaders: | NA |
| International organization participation: | AfDB, AsDB, Australia Group, BIS, CE, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAIA (observer), MIGA, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, ONUB, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNIDO, UNMIK, UNMISET, UPU, WCL, WCO, WEU, WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Pedro Manuel Dos Reis Alves CATARINO |
| Diplomatic representation in the US: | chancery: 2125 Kalorama Road NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 328-8610 |
| Diplomatic representation in the US: | FAX: [1] (202) 462-3726 |
| Diplomatic representation in the US: | consulate(s) general: Boston, New York, Newark (New Jersey), and San Francisco |
| Diplomatic representation in the US: | consulate(s): New Bedford (Massachusetts), Providence (Rhode Island) |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Adrienne S. O'NEAL |
| Diplomatic representation from the US: | embassy: Avenida das Forcas Armadas, 1600-081 Lisbon |
| Diplomatic representation from the US: | mailing address: Apartado 4258, 1507 Lisboa Codex; PSC 83, APO AE 09726 |
| Diplomatic representation from the US: | telephone: [351] (21) 727-3300 |
| Diplomatic representation from the US: | FAX: [351] (21) 726-9109 |
| Diplomatic representation from the US: | consulate(s): Ponta Delgada (Azores) |
| Flag description: | two vertical bands of green (hoist side, two-fifths) and red (three-fifths) with the Portuguese coat of arms centered on the dividing line |
