| Government | Portugal |
| --- | --- |
| Country name: | conventional long form: Portuguese Republic |
| Country name: | conventional short form: Portugal |
| Country name: | local long form: Republica Portuguesa |
| Country name: | local short form: Portugal |
| Government type: | republic; parliamentary democracy |
| Capital: | name: Lisbon |
| Capital: | geographic coordinates: 38 43 N, 9 08 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 18 districts (distritos, singular - distrito) and 2 autonomous regions* (regioes autonomas, singular - regiao autonoma); Aveiro, Acores (Azores)*, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa (Lisbon), Madeira*, Portalegre, Porto, Santarem, Setubal, Viana do Castelo, Vila Real, Viseu |
| Independence: | 1143 (Kingdom of Portugal recognized); 5 October 1910 (republic proclaimed) |
| National holiday: | Portugal Day (Dia de Portugal), 10 June (1580); note - also called Camoes Day, the day that revered national poet Luis de Camoes (1524-80) died |
| Constitution: | adopted 2 April 1976; subsequently revised |
| Constitution: | note: the revisions placed the military under strict civilian control, trimmed the powers of the president, and laid the groundwork for a stable, pluralistic liberal democracy; they allowed for the privatization of nationalized firms and government-owned communications media |
| Legal system: | civil law system; Constitutional Tribunal review of legislative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Anibal CAVACO SILVA (since 9 March 2006) |
| Executive branch: | head of government: Prime Minister Pedro Manuel Mamede PASSOS COELHO (since 21 June 2011) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the recommendation of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | note: there is also a Council of State that acts as a consultative body to the president |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 23 January 2011 (next to be held in January 2016); following legislative elections, the leader of the majority party or leader of a majority coalition usually appointed prime minister by the president |
| Executive branch: | election results: Anibal CAVACO SILVA reelected president; percent of vote - Anibal CAVACO SILVA 53%, Manuel ALEGRE 19.8%, Fernando NOBRE 14.1%, Francisco LOPES 7.1%, Manuel COELHO 4.5%, Defensor MOURA 1.6% |
| Legislative branch: | unicameral Assembly of the Republic or Assembleia da Republica (230 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 5 June 2011 (next to be held in 2015) |
| Legislative branch: | election results: percent of vote by party - PPD/PSD 38%, PS 28%, CDS/PP 11%, PCP/PEV 7%, BE 5%; seats by party - PPD/PSD 108, PS 74, CDS/PP 24, PCP/PEV 16, BE 8 |
| Judicial branch: | Supreme Court (Supremo Tribunal de Justica); judges appointed for life by the Conselho Superior da Magistratura |
| Political parties and leaders: | Democratic and Social Center/Popular Party or CDS/PP [Paulo PORTAS]; Social Democratic Party or PSD [Pedro Manuel PASSOS COELHO]; Socialist Party or PS [Antonio de Almeida SANTOS]; The Left Bloc or BE; Unitarian Democratic Coalition or CDU [Jeronimo DE SOUSA] (includes Portuguese Communist Party or PCP and Ecologist Party ("The Greens") or PEV) |
| Political pressure groups and leaders: | the media; labor unions |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Australia Group, BIS, CD, CE, CERN, CPLP, EAPC, EBRD, ECB, EIB, EMU, ESA, EU, FAO, FATF, IADB, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAIA (observer), MIGA, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club (associate), PCA, Schengen Convention, SECI (observer), UN, UN Security Council (temporary), UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, Union Latina, UNMIT, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Nuno Filipe Alves Salvador e BRITO |
| Diplomatic representation in the US: | chancery: 2012 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 328-8610 |
| Diplomatic representation in the US: | FAX: [1] (202) 462-3726 |
| Diplomatic representation in the US: | consulate(s) general: Boston, New York, Newark (New Jersey), San Francisco |
| Diplomatic representation in the US: | consulate(s): New Bedford (Massachusetts), Providence (Rhode Island) |
| Diplomatic representation from the US: | chief of mission: Ambassador Allan J. KATZ |
| Diplomatic representation from the US: | embassy: Avenida das Forcas Armadas, 1600-081 Lisbon |
| Diplomatic representation from the US: | mailing address: Apartado 43033, 1601-301 Lisboa; PSC 83, APO AE 09726 |
| Diplomatic representation from the US: | telephone: [351] (21) 727-3300 |
| Diplomatic representation from the US: | FAX: [351] (21) 726-9109 |
| Diplomatic representation from the US: | consulate(s): Ponta Delgada (Azores) |
| Flag description: | two vertical bands of green (hoist side, two-fifths) and red (three-fifths) with the national coat of arms (armillary sphere and Portuguese shield) centered on the dividing line; explanations for the color meanings are ambiguous, but a popular interpretation has green symbolizing hope and red the blood of those defending the nation |
| National symbol(s): | armillary sphere (a spherical astrolabe modeling objects in the sky) |
| National anthem: | name: "A Portugesa" (The Song of the Portuguese) |
| National anthem: | lyrics/music: Henrique LOPES DE MENDOCA/Alfredo KEIL |
| National anthem: | note: adopted 1910; "A Portuguesa" was originally written to protest the Portuguese monarchy's acquiescence to the 1890 British ultimatum forcing Portugal to give up areas of Africa; the lyrics refer to the "insult" that resulted from the event |
