| Government | WALLIS AND FUTUNA |
| --- | --- |
| Country name: | conventional long form: Territory of the Wallis and Futuna Islands |
| Country name: | conventional short form: Wallis and Futuna |
| Country name: | local long form: Territoire des Iles Wallis et Futuna |
| Country name: | local short form: Wallis et Futuna |
| Country name: | etymology: Wallis Island is named after British Captain Samuel WALLIS who discovered it in 1767; Futuna is derived from the native word "futu," which is the name of the fish-poison tree found on the island |
| Dependency status: | overseas territory of France |
| Government type: | parliamentary democracy (Territorial Assembly); overseas collectivity of France |
| Capital: | name: Mata-Utu (on Ile Uvea) |
| Capital: | geographic coordinates: 13 57 S, 171 56 W |
| Capital: | time difference: UTC+12 (17 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 3 administrative precincts (circonscriptions, singular - circonscription) Alo, Sigave, Uvea |
| Independence: | none (overseas territory of France) |
| National holiday: | Bastille Day, 14 July (1789) |
| Constitution: | 4 October 1958 (French Constitution) |
| Legal system: | French civil law |
| Citizenship: | see France |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Francois HOLLANDE (since 15 May 2012); represented by High Administrator Marcel RENOUF (since 26 January 2015) |
| Executive branch: | head of government: President of the Territorial Assembly Mikaele KULIMOETOKE (since 26 November 2014) |
| Executive branch: | cabinet: Council of the Territory appointed by the high administrator on the advice of the Territorial Assembly |
| Executive branch: | elections/appointments: French president elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); high administrator appointed by the French president on the advice of the French Ministry of the Interior; the presidents of the Territorial Government and the Territorial Assembly elected by assembly members |
| Executive branch: | note: there are 3 traditional kings with limited powers |
| Legislative branch: | description: unicameral Territorial Assembly or Assemblee Territoriale (20 seats; members directly elected in multi-seat constituencies by proportional representation to serve 5-year terms) |
| Legislative branch: | note: Wallis and Futuna elects 1 senator to the French Senate and 1 deputy to the French National Assembly; French Senate - elections last held on 28 September 2014 (next to be held by September 2017); results - percent of vote by party - NA; seats - UMP 1; French National Assembly - by-election last held on 24 March 2013 (next to be held by 2017); results - percent of vote by party - NA; seats - independent (backed by UMP) 1 |
| Legislative branch: | elections: last held on 22 March 2012 (next to be held in March 2017) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - PS 4, UMP 4, centrist, 3, other 9 |
| Judicial branch: | highest resident court(s): Court of Assizes or Cour d'Assizes (consists of 1 judge; court hears primarily serious criminal cases); note - appeals beyond the Court of Assizes are heard before the Court of Appeal or Cour d'Appel, located in Noumea, New Caledonia |
| Judicial branch: | judge selection and term of office: NA |
| Judicial branch: | subordinate courts: courts of first instance; labor court; note - justice generally administered under French law by the high administrator, but the 3 traditional kings administer customary law, and there is a magistrate in Mata-Utu |
| Political parties and leaders: | Lua Kae Tahi (Giscardians) |
| Political parties and leaders: | Mouvement des Radicaux de Gauche or MRG |
| Political parties and leaders: | Rally for the Republic or RPR (UMP) [Clovis LOGOLOGOFOLAU] |
| Political parties and leaders: | Socialist Party or PS |
| Political parties and leaders: | Taumu'a Lelei [Soane Muni UHILA] |
| Political parties and leaders: | Union Populaire Locale or UPL [Falakiko GATA] |
| Political parties and leaders: | Union Pour la Democratie Francaise or UDF |
| Political pressure groups and leaders: | NA |
| International organization participation: | PIF (observer), SPC, UPU |
| Diplomatic representation in the US: | none (overseas territory of France) |
| Diplomatic representation from the US: | none (overseas territory of France) |
| Flag description: | unofficial, local flag has a red field with four white isosceles triangles in the middle, representing the three native kings of the islands and the French administrator; the apexes of the triangles are oriented inward and at right angles to each other; the flag of France, outlined in white on two sides, is in the upper hoist quadrant |
| Flag description: | note: the design is derived from an original red banner with a white cross pattee that was introduced in the 19th century by French missionaries; the flag of France is used for official occasions |
| National symbol(s): | red saltire (Saint Andrew's Cross) on a white square on a red field; national colors: red, white |
| National anthem: | note: as a territory of France, "La Marseillaise" is official (see France) |
