| Government | Wallis and Futuna |
| --- | --- |
| Country name: | conventional long form: Territory of the Wallis and Futuna Islands |
| Country name: | conventional short form: Wallis and Futuna |
| Country name: | local long form: Territoire des Iles Wallis et Futuna |
| Country name: | local short form: Wallis et Futuna |
| Dependency status: | overseas territory of France |
| Government type: | parliamentary representive democratic French overseas collectivity |
| Capital: | name: Mata-Utu (on Ile Uvea) |
| Capital: | geographic coordinates: 13 57 S, 171 56 W |
| Capital: | time difference: UTC+12 (17 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | none (overseas territory of France); there are no first-order administrative divisions as defined by the US Government, but there are three kingdoms at the second order named Alo, Sigave, Wallis |
| Independence: | none (overseas territory of France) |
| National holiday: | Bastille Day, 14 July (1789) |
| Constitution: | 4 October 1958 (French Constitution) |
| Legal system: | French civil law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Francois HOLLANDE (since 15 May 2012); represented by High Administrator Michel JEANJEAN (since 10 June 2010) |
| Executive branch: | head of government: President of the Territorial Assembly Vetelino NAU (since 4 April 2012) |
| Executive branch: | cabinet: Council of the Territory consists of 3 kings and 3 members appointed by the high administrator on the advice of the Territorial Assembly |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | note: there are 3 traditional kings with limited powers |
| Executive branch: | elections: French president elected by popular vote for a five-year term; high administrator appointed by the French president on the advice of the French Ministry of the Interior; the presidents of the Territorial Government and the Territorial Assembly elected by the members of the assembly |
| Legislative branch: | unicameral Territorial Assembly or Assemblee Territoriale (20 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 22 March 2012 (next to be held in March 2017) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - PS 4, UMP 4, centrists, 3, other 9 |
| Legislative branch: | note: Wallis and Futuna elects one senator to the French Senate and one deputy to the French National Assembly; French Senate - elections last held on 21 September 2008 (next to be held by September 2014); results - percent of vote by party - NA; seats - UMP 1; French National Assembly - elections last held on 17 June 2012 (next to be held by 2017); results - percent of vote by party - NA; seats - UMP 1 |
| Judicial branch: | justice generally administered under French law by the high administrator, but the three traditional kings administer customary law and there is a magistrate in Mata-Utu; a court of appeal is located in Noumea, New Caledonia |
| Political parties and leaders: | Lua Kae Tahi (Giscardians); Mouvement des Radicaux de Gauche or MRG; Rally for the Republic or RPR (UMP); Socialist Party or PS; Taumu'a Lelei; Union Populaire Locale or UPL; Union Pour la Democratie Francaise or UDF |
| Political pressure groups and leaders: | NA |
| International organization participation: | PIF (observer), SPC, UPU |
| Diplomatic representation in the US: | none (overseas territory of France) |
| Diplomatic representation from the US: | none (overseas territory of France) |
| Flag description: | unofficial, local flag has a red field with four white isosceles triangles in the middle, representing the three native kings of the islands and the French administrator; the apexes of the triangles are oriented inward and at right angles to each other; the flag of France, outlined in white on two sides, is in the upper hoist quadrant |
| Flag description: | note: the design is derived from an original red banner with a white cross pattee that was introduced in the 19th century by French missionaries; the flag of France used for official occasions |
| National symbol(s): | red saltire (Saint Andrew's Cross) on a white square on a red field |
| National anthem: | note: as a territory of France, "La Marseillaise" is official (see France) |
