| Government |
| --- | --- |
| Country name: | conventional long form: Territory of the Wallis and Futuna Islands |
| Country name: | conventional short form: Wallis and Futuna |
| Country name: | local long form: Territoire des Iles Wallis et Futuna |
| Country name: | local short form: Wallis et Futuna |
| Dependency status: | overseas territory of France |
| Government type: | NA |
| Capital: | Mata-Utu (on Ile Uvea) |
| Administrative divisions: | none (overseas territory of France); there are no first-order administrative divisions as defined by the US Government, but there are three kingdoms named Alo, Sigave, Wallis |
| Independence: | none (overseas territory of France) |
| National holiday: | Bastille Day, 14 July (1789) |
| Constitution: | 28 September 1958 (French Constitution) |
| Legal system: | French legal system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jacques CHIRAC of France (since 17 May 1995), represented by High Administrator Christian DORS (since NA) |
| Executive branch: | head of government: President of the Territorial Assembly Soane UHILA (since NA) |
| Executive branch: | cabinet: Council of the Territory consists of three kings and three members appointed by the high administrator on the advice of the Territorial Assembly |
| Executive branch: | note: there are three traditional kings with limited powers |
| Executive branch: | elections: French president elected by popular vote for a seven-year term; high administrator appointed by the French president on the advice of the French Ministry of the Interior; the presidents of the Territorial Government and the Territorial Assembly are elected by the members of the assembly |
| Legislative branch: | unicameral Territorial Assembly or Assemblee Territoriale (20 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 16 March 1997 (next to be held NA March 2002) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - RPR 14, other 6 |
| Legislative branch: | note: Wallis and Futuna elects one senator to the French Senate and one deputy to the French National Assembly; French Senate - elections last held 27 September 1998 (next to be held by NA September 2007); results - percent of vote by party - NA; seats - RPR 1; French National Assembly - elections last held 25 May-1 June 1997 (next to be held by NA March 2002); results - percent of vote by party - NA; seats - RPR 1 |
| Judicial branch: | none; justice generally administered under French law by the high administrator, but the three traditional kings administer customary law and there is a magistrate in Mata-Utu |
| Political parties and leaders: | Lua Kae Tahi (Giscardians) [leader NA]; Mouvement des Radicaux de Gauche or MRG [leader NA]; Rally for the Republic or RPR [Clovis LOGOLOGOFOLAU]; Taumu'a Lelei [Soane Muni UHILA]; Union Populaire Locale or UPL [Falakiko GATA]; Union Pour la Democratie Francaise or UDF [leader NA] |
| Political pressure groups and leaders: | NA |
| International organization participation: | FZ, SPC |
| Diplomatic representation in the US: | none (overseas territory of France) |
| Diplomatic representation from the US: | none (overseas territory of France) |
| Flag description: | a large white modified Maltese cross centered on a red background; the flag of France outlined in white on two sides is in the upper hoist quadrant; the flag of France is used for official occasions |
