| Government | Cameroon |
| --- | --- |
| Country name: | conventional long form: Republic of Cameroon |
| Country name: | conventional short form: Cameroon |
| Country name: | local long form: Republique du Cameroun/Republic of Cameroon |
| Country name: | local short form: Cameroun/Cameroon |
| Country name: | former: French Cameroon, British Cameroon, Federal Republic of Cameroon, United Republic of Cameroon |
| Government type: | republic; multiparty presidential regime |
| Capital: | name: Yaounde |
| Capital: | geographic coordinates: 3 52 N, 11 31 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 provinces; Adamaoua, Centre, Est, Extreme-Nord, Littoral, Nord, Nord-Ouest, Ouest, Sud, Sud-Ouest |
| Independence: | 1 January 1960 (from French-administered UN trusteeship) |
| National holiday: | Republic Day (National Day), 20 May (1972) |
| Constitution: | 20 May 1972 approved by referendum, 2 June 1972 formally adopted; revised January 1996 |
| Legal system: | based on French civil law system, with common law influence; accepts compulsory ICJ jurisdiction |
| Suffrage: | 20 years of age; universal |
| Executive branch: | chief of state: President Paul BIYA (since 6 November 1982) |
| Executive branch: | head of government: Prime Minister Ephraim INONI (since 8 December 2004) |
| Executive branch: | cabinet: Cabinet appointed by the president from proposals submitted by the prime minister |
| Executive branch: | elections: president elected by popular vote for a seven-year term (eligible for a second term); election last held 11 October 2004 (next to be held by October 2011); prime minister appointed by the president |
| Executive branch: | election results: President Paul BIYA reelected; percent of vote - Paul BIYA 70.9%, John FRU NDI 17.4%, Adamou Ndam NJOYA 4.5%, Garga Haman ADJI 3.7% |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (180 seats; members are elected by direct popular vote to serve five-year terms); note - the president can either lengthen or shorten the term of the legislature |
| Legislative branch: | elections: last held 23 June 2002 (next to be held in 2007) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - RDCP 133, SDF 21, UDC 5, other 21 |
| Legislative branch: | note: the constitution calls for an upper chamber for the legislature, to be called a Senate, but it has yet to be established |
| Judicial branch: | Supreme Court (judges are appointed by the president); High Court of Justice (consists of nine judges and six substitute judges, elected by the National Assembly) |
| Political parties and leaders: | Cameroonian Democratic Union or UDC [Adamou Ndam NJOYA]; Democratic Rally of the Cameroon People or RDCP [Paul BIYA]; Movement for the Defense of the Republic or MDR [Dakole DAISSALA]; Movement for the Liberation and Development of Cameroon or MLDC [Marcel YONDO]; Movement for the Youth of Cameroon or MYC [Dieudonne TINA]; National Union for Democracy and Progress or UNDP [Maigari BELLO BOUBA]; Social Democratic Front or SDF [John FRU NDI]; Union of Cameroonian Populations or UPC [Augustin Frederic KODOCK] |
| Political pressure groups and leaders: | Southern Cameroon National Council [Ayamba Ette OTUN]; Human Rights Defense Group [Albert MUKONG, president] |
| International organization participation: | ACCT, ACP, AfDB, AU, BDEAC, C, CEMAC, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITU, MIGA, MONUC, NAM, OIC, OIF, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jerome MENDOUGA |
| Diplomatic representation in the US: | chancery: 2349 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-8790 |
| Diplomatic representation in the US: | FAX: [1] (202) 387-3826 |
| Diplomatic representation from the US: | chief of mission: Ambassador Niels MARQUARDT |
| Diplomatic representation from the US: | embassy: Rue Nachtigal, Yaounde |
| Diplomatic representation from the US: | mailing address: P. O. Box 817, Yaounde; pouch: American Embassy, US Department of State, Washington, DC 20521-2520 |
| Diplomatic representation from the US: | telephone: [237] 220 15 00; Consular: [237] 220 16 03 |
| Diplomatic representation from the US: | FAX: [237] 220 16 20; Consular FAX: [237] 220 17 52 |
| Diplomatic representation from the US: | branch office(s): Douala |
| Flag description: | three equal vertical bands of green (hoist side), red, and yellow with a yellow five-pointed star centered in the red band; uses the popular pan-African colors of Ethiopia |
