| Government | COMOROS |
| --- | --- |
| Country name: | conventional long form: Union of the Comoros |
| Country name: | conventional short form: Comoros |
| Country name: | local long form: Udzima wa Komori (Comorian); Union des Comores (French); Jumhuriyat al Qamar al Muttahidah (Arabic) |
| Country name: | local short form: Komori (Comorian); Comores (French); Juzur al Qamar (Arabic) |
| Country name: | etymology: name derives from the Arabic designation "Juzur al Qamar" meaning "Islands of the Moon" |
| Government type: | republic |
| Capital: | name: Moroni |
| Capital: | geographic coordinates: 11 42 S, 43 14 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 3 islands and 4 municipalities*; Anjouan (Ndzuwani), Domoni*, Fomboni*, Grande Comore (N'gazidja), Moheli (Mwali), Moroni*, Moutsamoudou* |
| Independence: | 6 July 1975 (from France) |
| National holiday: | Independence Day, 6 July (1975) |
| Constitution: | previous 1996; latest ratified 23 December 2001; amended 2009, 2014 (2015) |
| Legal system: | mixed legal system of Islamic religious law, the French civil code of 1975, and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of the Comoros |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ikililou DHOININE (since 26 May 2011); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Ikililou DHOININE (since 26 May 2011) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: presidency rotates every 4 years among the elected presidents of the Union's 3 main islands; Union president directly elected by absolute majority popular vote in 2 rounds if needed (first round by the island voters only; second round by simple majority vote of all island voters; election last held on 7 November and 26 December 2010 (next to be held in 2015) |
| Executive branch: | election results: Ikililou DHOININE elected president; percent of vote in second round - Ikililou DHOININE 61.1%, Mohamed Said FAZUL 32.7%, Abdou DJABIR 6.2% |
| Legislative branch: | description: unicameral Assembly of the Union (33 seats; 24 members elected by absolute majority vote in two rounds if needed and 9 members indirectly selected by island assemblies; members serve 5-year terms) |
| Legislative branch: | elections: last held on 25 January and 22 February 2015 (next to be held in 2020) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - UPDC 8, PJ 7, RDC 2, CRC 2, RADHI 1, PEC 1, independents 3; note - in addition 9 seats will be filled by nominations from the 3 island assemblies |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (consists of 7 judges); Constitutional Court (consists of 8 members) |
| Judicial branch: | judge selection and term of office: Supreme Court judges - 2 selected by the president of the Union, 2 by the Assembly of the Union, and 1 each by the 3 island councils; judges appointed for life; Constitutional Court members appointed - 1 by the president, 1 each by the 3 vice presidents, 1 by the Assembly, and 1 each by the island executives; all members serve 6-year renewable terms |
| Judicial branch: | subordinate courts: Court of Appeals (in Moroni); Tribunal de premiere instance; island village (community) courts; religious courts |
| Political parties and leaders: | Convention for the Renewal of the Comoros or CRC [AZALI Assoumani] |
| Political parties and leaders: | Democratic Rally of the Comoros or RDC [Mouigni BARAKA] |
| Political parties and leaders: | Juwa Party or PJ [Ahmed Abdallah SAMBI] |
