| Government | COMOROS |
| --- | --- |
| Country name: | conventional long form: Union of the Comoros |
| Country name: | conventional short form: Comoros |
| Country name: | local long form: Udzima wa Komori (Comorian); Union des Comores (French); Jumhuriyat al Qamar al Muttahidah (Arabic) |
| Country name: | local short form: Komori (Comorian); Comores (French); Juzur al Qamar (Arabic) |
| Country name: | etymology: name derives from the Arabic designation "Juzur al Qamar" meaning "Islands of the Moon" |
| Government type: | federal presidential republic |
| Capital: | name: Moroni |
| Capital: | geographic coordinates: 11 42 S, 43 14 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 3 islands and 4 municipalities*; Anjouan (Ndzuwani), Domoni*, Fomboni*, Grande Comore (N'gazidja), Moheli (Mwali), Moroni*, Moutsamoudou* |
| Independence: | 6 July 1975 (from France) |
| National holiday: | Independence Day, 6 July (1975) |
| Constitution: | history: previous 1996; latest ratified 23 December 2001 |
| Constitution: | amendments: proposed by the president of the union or supported by at least one-third of the Assembly of the Union membership; passage requires approval by at least two-thirds majority of the total Assembly membership and approval by at least two-thirds of the membership of the Island Councils, or approval in a referendum; amended 2009, 2014 (2017) |
| Legal system: | mixed legal system of Islamic religious law, the French civil code of 1975, and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of the Comoros |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President AZALI Assoumani(since 26 May 2016); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President AZALI Assoumani (since 26 May 2016) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: the Union presidency rotates among the 3 islands; president directly elected by simple majority popular vote in 2 rounds for a single nonrenewable 5-year term (in the first round or primary, 3 candidates with the highest vote count by voters on the island concerned compete in the second round; second round winner determined by simple majority vote by voters on all 3 islands; election last held on 21 February 2016 and second round held 10 April 2016 (next to be held in 2021); note - in addition to the Union president, each island elects its own president |
| Executive branch: | election results: AZALI Assoumani elected president in the second round of voting by a plurality; percent of vote in first round - Mohamed Ali SOILIHI 17.6%, Mouigni BARAKA 15.1%, AZALI Assoumani 15.0%, Fahmi Said IBRAHIM 14.5%; percent of vote in second round - AZALI Assoumani 41.0%, Mohamed Ali SOILIHI 39.9%; Mouigni BARAKA 19.1% |
| Legislative branch: | description: unicameral Assembly of the Union (33 seats; 24 members directly elected by absolute majority vote in 2 rounds if needed and 9 members indirectly elected by the 3 island assemblies; members serve 5-year terms) |
| Legislative branch: | elections: last held on 25 January 2015 with a runoff on 22 February 2015 (next to be held in 2020) |
| Legislative branch: | election results: percent of vote by party - UPDC 29.1%, PJ 20.5%, RDC 21.3%, other 29.1%; seats by party - UPDC 8, PJ 7, RDC 2, CRC 2, RADHI 1, PEC 1, independents 3; note - in addition 9 seats will be filled by nominations from the 3 island assemblies |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (consists of 7 judges); Constitutional Court (consists of 8 members) |
