| Government | Comoros |
| --- | --- |
| Country name: | conventional long form: Union of the Comoros |
| Country name: | conventional short form: Comoros |
| Country name: | local long form: Union des Comores |
| Country name: | local short form: Comores |
| Government type: | republic |
| Capital: | name: Moroni |
| Capital: | geographic coordinates: 11 41 S, 43 16 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 3 islands and 4 municipalities*; Grande Comore (Njazidja), Anjouan (Nzwani), Domoni*, Fomboni*, Moheli (Mwali), Moroni*, Moutsamoudou* |
| Independence: | 6 July 1975 (from France) |
| National holiday: | Independence Day, 6 July (1975) |
| Constitution: | 23 December 2001 |
| Legal system: | French and Sharia (Islamic) law in a new consolidated code |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ahmed Abdallah SAMBI (since 26 May 2006); |
| Executive branch: | head of government: President Ahmed Abdallah SAMBI (since 26 May 2006); |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: as defined by the 2001 constitution, the presidency rotates every four years among the elected presidents from the three main islands in the Union; election last held 14 May 2006 (next to be held by May 2010); prime minister appointed by the president; note - the post of Prime Minister has been vacant since May 2002 |
| Executive branch: | election results: Ahmed Abdallah SAMBI elected president; percent of vote - Ahmed Abdallah SAMBI 58.0%, Ibrahim HALIDI 28.3%, Mohamed DJAANFAMI 13.7% |
| Legislative branch: | unicameral Assembly of the Union (33 seats; 15 deputies are selected by the individual islands' local assemblies and the 18 by universal suffrage; deputies serve for five years); |
| Legislative branch: | elections: last held 18 and 25 April 2004 (next to be held in 2009) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - CdIA 12, CRC 6; note - 15 additional seats are filled by deputies from local island assemblies |
| Judicial branch: | Supreme Court or Cour Supremes (two members appointed by the president, two members elected by the Federal Assembly, one elected by the Council of each island, and others are former presidents of the republic) |
| Political parties and leaders: | Convention for the Renewal of the Comoros [AZALI Assowmani]; Camp of the Autonomous Islands (a coalition of parties organized by the island Presidents in opposition to the Union President); Front National pour la Justice or FNJ [Ahmed RACHID] (Islamic party in opposition); Mouvement pour la Democratie et le Progress or MDP-NGDC [Abbas DJOUSSOUF]; Parti Comorien pour la Democratie et le Progress or PCDP [Ali MROUDJAE]; Rassemblement National pour le Development or RND [Omar TAMOU, Abdoulhamid AFFRAITANE] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, AfDB, AMF, AU, COMESA, FAO, FZ, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, InOC, Interpol, IOC, ITU, LAS, NAM, OIC, OIF, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO |
| Diplomatic representation in the US: | chief of mission: Representative to the US and Ambassador to the UN Mahmoud M. ABOUD |
| Diplomatic representation in the US: | chancery: Mission to the US, 336 East 45th Street (2nd floor), New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 750-1637 |
| Diplomatic representation from the US: | the US does not have an embassy in Comoros; the ambassador to Madagascar is accredited to Comoros |
| Flag description: | four equal horizontal bands of yellow (top), white, red, and blue with a green isosceles triangle based on the hoist; centered within the triangle is a white crescent with the convex side facing the hoist and four white, five-pointed stars placed vertically in a line between the points of the crescent; the horizontal bands and the four stars represent the four main islands of the archipelago - Mwali, Njazidja, Nzwani, and Mayotte (a territorial collectivity of France, but claimed by Comoros); the crescent, stars, and color green are traditional symbols of Islam |
