| Government | Comoros |
| --- | --- |
| Country name: | conventional long form: Union of the Comoros |
| Country name: | conventional short form: Comoros |
| Country name: | local long form: Udzima wa Komori (Comorian), Union des Comores (French), Jumhuriyat al Qamar al Muttahidah (Arabic) |
| Country name: | local short form: Komori (Comorian), Comores (French), Juzur al Qamar (Arabic) |
| Country name: | etymology: name derives from the Arabic designation "Juzur al Qamar" meaning "Islands of the Moon" |
| Government type: | federal presidential republic |
| Capital: | name: Moroni |
| Capital: | geographic coordinates: 11 42 S, 43 14 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: Moroni derives from "mroni," which means "at the river" in Shingazidja, the Comorian language spoken on Grande Comore (N'gazidja) |
| Administrative divisions: | 3 islands; Anjouan (Ndzuwani), Grande Comore (N'gazidja), Moheli (Mwali) |
| Independence: | 6 July 1975 (from France) |
| National holiday: | Independence Day, 6 July (1975) |
| Constitution: | history: previous 1996, 2001; newest adopted 30 July 2018 |
| Constitution: | amendments: proposed by the president of the union or supported by at least one third of the Assembly of the Union membership; adoption requires approval by at three-quarters majority of the total Assembly membership or approval in a referendum (2019) |
| Constitution: | note: a referendumÂ held on 30 July 2018 - boycotted by the opposition - overwhelmingly approved a new constitutionÂ thatÂ allows for 2 consecutive 5-year presidential terms and revises the rotating presidency within the islands |
| Legal system: | mixed legal system of Islamic religious law, the French civil code of 1975, and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of the Comoros |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President AZALI Assoumani (since 26 May 2016);Â note - the president is both chief of state and head of government; note - AZALI takes oath of office 2 June 2019 after 24 March 2019 reelection (2019) |
| Executive branch: | head of government: President AZALI Assoumani (since 26 May 2016) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by simple majority popular vote in 2 rounds for a 5-year term (eligible for a second term); election last held on 24Â March 2019 (next to be held in 2024) |
| Executive branch: | election results: AZALI Assoumani (CRC) elected president inÂ first round; with a 59% of the vote;Â - AZALI Assoumani (CRC) 60.8%, Ahamada MAHAMOUDOU (PJ) 14.6%, and Mouigni Baraka Said SOILIHI (independent)Â  5.6% |
| Legislative branch: | description: unicameral Assembly of the Union (33 seats; 24 members directly elected by absolute majority vote in 2 rounds if needed and 9 members indirectly elected by the 3 island assemblies; members serve 5-year terms) (2017) |
| Legislative branch: | elections: last held on 25 January 2015 with a runoff on 22 February 2015 (next to be held in 2020) (2017) |
| Legislative branch: | election results: percent of vote by party - UPDC 29.1%, PJ 20.5%, RDC 21.3%, other 29.1%; seats by party - UPDC 8, PJ 7, RDC 2, CRC 2, RADHI 1, PEC 1, independent 3; composition - men 32, women 1, percent of women 3%; note -Â  9 additional seats filled by the 3 island assemblies |
| Judicial branch: | highest courts: Supreme Court or Cour Supreme (consists of 7 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges - selection and term of office NA |
