| Government | Comoros |
| --- | --- |
| Country name: | conventional long form: Union of the Comoros |
| Country name: | conventional short form: Comoros |
| Country name: | local long form: Udzima wa Komori (Comorian) |
| Country name: | local short form: Komori (Comorian) |
| Country name: | etymology: name derives from the Arabic designation "Juzur al Qamar" meaning "Islands of the Moon" |
| Country name: | Union des Comores (French) Jumhuriyat al Qamar al Muttahidah (Arabic) Comores (French) Juzur al Qamar (Arabic) |
| Government type: | federal presidential republic |
| Capital: | name: Moroni |
| Capital: | geographic coordinates: 11 42 S, 43 14 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 3 islands and 4 municipalities*; Anjouan (Ndzuwani), Domoni*, Fomboni*, Grande Comore (N'gazidja), Moheli (Mwali), Moroni*, Moutsamoudou* |
| Independence: | 6 July 1975 (from France) |
| National holiday: | Independence Day, 6 July (1975) |
| Constitution: | history: previous 1996; latest ratified 23 December 2001 (2018) |
| Constitution: | amendments: proposed by the president of the union or supported by at least one-third of the Assembly of the Union membership; passage requires approval by at least two-thirds majority of the total Assembly membership and approval by at least two-thirds of the membership of the Island Councils, or approval in a referendum; amended 2009, 2014, 2018 (2018) |
| Legal system: | mixed legal system of Islamic religious law, the French civil code of 1975, and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of the Comoros |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Supreme Court or Cour Supreme (consists of 7 judges); Constitutional Court (consists of 8 members) |
| Judicial branch: | judge selection and term of office: Supreme Court judges - 2 selected by the president of the Union, 2 by the Assembly of the Union, and 1 each by the 3 island councils; judges appointed for life; Constitutional Court members appointed - 1 by the president, 1 each by the 3 vice presidents, 1 by the Assembly, and 1 each by the island executives; all members serve 6-year renewable terms |
| Judicial branch: | subordinate courts: Court of Appeals (in Moroni); Tribunal de premiere instance; island village (community) courts; religious courts |
| Executive branch: | chief of state: President AZALI Assoumani(since 26 May 2016); note - the president is both chief of state and head of government; Abdallah Said SAROUMA (since 26 May 2016), is vice president of Transportation, Posts, Telecommunication, etc.; Djaffer Ahmed SAID (since 26 May 2016), is vice president of Economy, Planning, Industry Crafts,etc.; Moustadroine ABDOU (since 26 May 2016), is vice president of Agriculture, Fishing, and the Environment |
| Executive branch: | head of government: President AZALI Assoumani (since 26 May 2016); Vice Presidents: Abdallah Said SAROUMA, (since 26 May 2016), Djaffer Ahmed SAID (since 26 May 2016), and Moustadroine ABDOU (since 26 May 2016) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by simple majority popular vote in 2 rounds for a 5-year term (eligible for a second term); election last held on 21 February 2016 and second round held 10 April 2016 (next originally scheduled for 2021 but rescheduled for 2019) |
