| Government | Barbados |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Barbados |
| Government type: | parliamentary democracy and a Commonwealth realm |
| Capital: | name: Bridgetown |
| Capital: | geographic coordinates: 13 06 N, 59 37 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 11 parishes and 1 city*; Bridgetown*, Christ Church, Saint Andrew, Saint George, Saint James, Saint John, Saint Joseph, Saint Lucy, Saint Michael, Saint Peter, Saint Philip, Saint Thomas |
| Independence: | 30 November 1966 (from the UK) |
| National holiday: | Independence Day, 30 November (1966) |
| Constitution: | 30 November 1966 |
| Legal system: | English common law; no judicial review of legislative acts; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Sir Clifford Straughn HUSBANDS (since 1 June 1996) |
| Executive branch: | head of government: Prime Minister Fruendel STUART (since 23 October 2010) |
| Executive branch: | cabinet: Cabinet appointed by the governor general on the advice of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; governor general appointed by the monarch; following legislative elections, the leader of the majority party or the leader of the majority coalition is usually appointed prime minister by the governor general; the prime minister recommends the deputy prime minister |
| Legislative branch: | bicameral Parliament consists of the Senate (21 seats; members appointed by the governor general - 12 on the advice of the Prime Minister, 2 on the advice of the opposition leader, and 7 at his discretion) and the House of Assembly (30 seats; members are elected by direct popular vote to serve five-year terms) |
| Legislative branch: | elections: House of Assembly - last held on 15 January 2008 (next to be called in 2012) |
| Legislative branch: | election results: House of Assembly - percent of vote by party - DLP 52.5%, BLP 47.3%; seats by party - DLP 20, BLP 10 |
| Judicial branch: | Supreme Court of Judicature consists of a High Court and a Court of Appeal (judges are appointed by the Service Commissions for the Judicial and Legal Services); Caribbean Court of Justice or CCJ is the highest court of appeal; based in Port of Spain, Trinidad and Tobago |
| Political parties and leaders: | Barbados Labor Party or BLP [Owen ARTHUR]; Democratic Labor Party or DLP [Freundel STUART]; People's Empowerment Party or PEP [David COMISSIONG] |
| Political pressure groups and leaders: | Barbados Secondary Teachers' Union or BSTU [Patrick FROST]; Barbados Union of Teachers or BUT [Herbert GITTENS]; Congress of Trade Unions and Staff Associations of Barbados or CTUSAB, (includes the BWU, NUPW, BUT, and BSTU) [Leroy TROTMAN]; Barbados Workers Union or BWU [Leroy TROTMAN]; Clement Payne Labor Union [David COMISSIONG]; National Union of Public Workers [Joseph GODDARD] |
| International organization participation: | ACP, AOSIS, C, Caricom, CDB, FAO, G-77, IADB, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO, ITSO, ITU, ITUC, LAES, MIGA, NAM, OAS, OPANAL, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador John BEALE |
| Diplomatic representation in the US: | chancery: 2144 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-9200 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-7467 |
| Diplomatic representation in the US: | consulate(s) general: Miami, New York |
| Diplomatic representation in the US: | consulate(s): Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d' Affaires D. Brent HARDT |
| Diplomatic representation from the US: | embassy: U.S. Embassy, Wildey Business Park, Wildey, St. Michael BB 14006 |
| Diplomatic representation from the US: | mailing address: P. O. Box 302, Bridgetown BB 11000; CMR 1014, APO AA 34055 |
| Diplomatic representation from the US: | telephone: [1] (246) 227-4399 |
| Diplomatic representation from the US: | FAX: [1] (246) 431-0179 |
| Flag description: | three equal vertical bands of blue (hoist side), gold, and blue with the head of a black trident centered on the gold band; the band colors represent the blue of the sea and sky and the gold of the beaches; the trident head represents independence and a break with the past (the colonial coat of arms contained a complete trident) |
| National anthem: | name: "The National Anthem of Barbados" |
| National anthem: | lyrics/music: Irving BURGIE/C. Van Roland EDWARDS |
| National anthem: | note: adopted 1966; the anthem is also known as "In Plenty and In Time of Need" |
