| Government | Rwanda |
| --- | --- |
| Country name: | conventional long form: Republic of Rwanda |
| Country name: | conventional short form: Rwanda |
| Country name: | local long form: Republika y'u Rwanda |
| Country name: | local short form: Rwanda |
| Country name: | former: Ruanda, German East Africa |
| Government type: | republic; presidential, multiparty system |
| Capital: | name: Kigali |
| Capital: | geographic coordinates: 1 57 S, 30 04 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 5 provinces (in French - provinces, singular - province; in Kinyarwanda - prefigintara for singular and plural); East, Kigali, North, South, West |
| Independence: | 1 July 1962 (from Belgium-administered UN trusteeship) |
| National holiday: | Independence Day, 1 July (1962) |
| Constitution: | new constitution passed by referendum 26 May 2003 |
| Legal system: | based on German and Belgian civil law systems and customary law; judicial review of legislative acts in the Supreme Court; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Paul KAGAME (since 22 April 2000) |
| Executive branch: | head of government: Prime Minister Bernard MAKUZA (since 8 March 2000) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: President elected by popular vote for a seven-year term (eligible for a second term); elections last held 25 August 2003 (next to be held in 2010) |
| Executive branch: | election results: Paul KAGAME elected president in first direct popular vote; Paul KAGAME 95.05%, Faustin TWAGIRAMUNGU 3.62%, Jean-Nepomuscene NAYINZIRA 1.33% |
| Legislative branch: | bicameral Parliament consists of Senate (26 seats; 12 members elected by local councils, 8 appointed by the president, 4 by the Political Organizations Forum, 2 represent institutions of higher learning; to serve eight-year terms) and Chamber of Deputies (80 seats; 53 members elected by popular vote, 24 women elected by local bodies, 3 selected by youth and disability organizations; to serve five-year terms) |
| Legislative branch: | elections: Senate - members appointed as part of the transitional government (next to be held in 2011); Chamber of Deputies - last held 29 September 2003 (next to be held in 2008) |
| Legislative branch: | election results: seats by party under the 2003 Constitution - RPF 40, PSD 7, PL 6, additional 27 members indirectly elected |
| Judicial branch: | Supreme Court; High Courts of the Republic; Provincial Courts; District Courts; mediation committees |
| Political parties and leaders: | Centrist Democratic Party or PDC [Alfred MUKEZAMFURA]; Democratic Popular Union of Rwanda or UDPR [Adrien RANGIRA]; Democratic Republican Movement or MDR [Celestin KABANDA] (officially banned); Islamic Democratic Party or PDI [Andre BUMAYA]; Liberal Party or PL [Prosper HIGIRO]; Party for Democratic Renewal (officially banned); Rwandan Patriotic Front or RPF [Paul KAGAME]; Social Democratic Party or PSD [Vincent BIRUTA] |
| Political pressure groups and leaders: | IBUKA - association of genocide survivors |
| International organization participation: | ACCT, ACP, AfDB, AU, CEPGL, COMESA, EAC, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, MIGA, NAM, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNMIS, UNWTO, UPU, WCL, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Zac NSENGA |
| Diplomatic representation in the US: | chancery: 1714 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-2882 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-4544 |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael ARIETTI |
| Diplomatic representation from the US: | embassy: 337 Boulevard de la Revolution, Kigali |
| Diplomatic representation from the US: | mailing address: B. P. 28, Kigali |
| Diplomatic representation from the US: | telephone: [250] 50 56 01 through 03 |
| Diplomatic representation from the US: | FAX: [250] 57 2128 |
| Flag description: | three horizontal bands of sky blue (top, double width), yellow, and green, with a golden sun with 24 rays near the fly end of the blue band |
