| Government |
| --- | --- |
| Country name: | conventional long form: Rwandese Republic |
| Country name: | conventional short form: Rwanda |
| Country name: | local long form: Republika y'u Rwanda |
| Country name: | local short form: Rwanda |
| Country name: | former: Ruanda |
| Government type: | republic; presidential, multiparty system |
| Capital: | Kigali |
| Administrative divisions: | 12 prefectures (in French - prefectures, singular - prefecture; in Kinyarwanda - plural - NA, singular - prefegitura); Butare, Byumba, Cyangugu, Gikongoro, Gisenyi, Gitarama, Kibungo, Kibuye, Kigali Rurale, Kigali-ville, Umutara, Ruhengeri |
| Independence: | 1 July 1962 (from Belgium-administered UN trusteeship) |
| National holiday: | Independence Day, 1 July (1962) |
| Constitution: | on 5 May 1995, the Transitional National Assembly adopted as Fundamental Law the constitution of 18 June 1991, provisions of the 1993 Arusha peace accord, the July 1994 Declaration by the Rwanda Patriotic Front, and the November 1994 multiparty protocol of understanding |
| Legal system: | based on German and Belgian civil law systems and customary law; judicial review of legislative acts in the Supreme Court; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal adult |
| Executive branch: | chief of state: President Maj. Gen. Paul KAGAME (FPR) (since 22 April 2000) |
| Executive branch: | head of government: Prime Minister Bernard MAKUZA (since 8 March 2000) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: normally the president is elected by popular vote for a five-year term; special election for new president by deputies of the National Assembly and governmental ministers held 17 April 2000 (next national election to be held NA 2003); prime minister is appointed by the president |
| Executive branch: | election results: Paul KAGAME (FPR) elected president in a special parliamentary/ministerial ballot receiving 81 of a possible 86 votes |
| Legislative branch: | unicameral Transitional National Assembly or Assemblee Nationale de Transition (a power-sharing body with 70 seats established on 12 December 1994 following a multiparty protocol of understanding; members were named by their parties, number of seats per party predetermined by the Arusha peace accord) |
| Legislative branch: | note: four additional seats, two for women and two for youth, added in 2001 |
| Legislative branch: | elections: the last national legislative elections were held 16 December 1988 for the National Development Council (the legislature prior to the advent of the Transitional National Assembly); no elections have been held for the Transitional National Assembly as the distribution of seats was predetermined by the Arusha peace accord |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - FPR 13, MDR 13, PSD 13, PL 13, PDC 6, RPA 6, PSR 2, PDI 2, UDPR 2; note - the distribution of seats was predetermined, four additional seats (two for women and two for youth) added in 2001 |
| Judicial branch: | Supreme Court; communal courts; appeals courts |
| Political parties and leaders: | Centrist Democratic Party or PDC [Jean-Nipomuscene NAYINZIRA]; Democratic Socialist Party or PSD [Charles NTAKIRUTINKA, Vincent BIRUTA, Augusin IYAMUREMYE]; Democratic Popular Union of Rwanda or UDPR [Adrien RANGIRA]; Democratic Republican Movement or MDR [Celestin KABANDA, Emile NTWARABAKIGA, Christian MARARA]; Islamic Democratic Party or PDI [Andre BUMAYA]; Liberal Party or PL [Pie MUGABO, Enock KABERA, Prosper MUGIRANEZA]; Rwanda Patriotic Army or RPA [Maj. Gen. Paul KAGAME, commander]; Rwanda Patriotic Front or FPR [Maj. Gen. Paul KAGAME]; Rwandan Socialist Party or PSR [Medard RUTIJANWA] |
| Political pressure groups and leaders: | IBUKA - association of genocide survivors |
| International organization participation: | ACCT, ACP, AfDB, CCC, CEEAC, CEPGL, ECA, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Intelsat, Interpol, IOC, IOM (observer), ISO (correspondent), ITU, NAM, OAU, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Richard SEZIBERA |
| Diplomatic representation in the US: | chancery: 1714 New Hampshire Ave. NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-2882 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-4544 |
| Diplomatic representation from the US: | chief of mission: Ambassador George M. STAPLES |
| Diplomatic representation from the US: | embassy: Boulevard de la Revolution, Kigali |
| Diplomatic representation from the US: | mailing address: B. P. 28, Kigali |
| Diplomatic representation from the US: | telephone: [250] 756 01 through 03, 721 26, 771 47 |
| Diplomatic representation from the US: | FAX: [250] 721 28 |
| Flag description: | three equal vertical bands of red (hoist side), yellow, and green with a large black letter R centered in the yellow band; uses the popular pan-African colors of Ethiopia; similar to the flag of Guinea, which has a plain yellow band |
