| Government | Rwanda |
| --- | --- |
| Country name: | conventional long form: Republic of Rwanda |
| Country name: | conventional short form: Rwanda |
| Country name: | local long form: Republika y'u Rwanda |
| Country name: | local short form: Rwanda |
| Country name: | former: Ruanda, German East Africa |
| Government type: | republic; presidential, multiparty system |
| Capital: | name: Kigali |
| Capital: | geographic coordinates: 1 57 S, 30 03 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 4 provinces (in French - provinces, singular - province; in Kinyarwanda - intara for singular and plural) and 1 city* (in French - ville; in Kinyarwanda - umujyi); Est (Eastern), Kigali*, Nord (Northern), Ouest (Western), Sud (Southern) |
| Independence: | 1 July 1962 (from Belgium-administered UN trusteeship) |
| National holiday: | Independence Day, 1 July (1962) |
| Constitution: | several previous; latest adopted by referendum 26 May 2003, effective 4 June 2003; amended several times, last in 2010 (2013) |
| Legal system: | mixed legal system of civil law, based on German and Belgian models, and customary law; judicial review of legislative acts in the Supreme Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Paul KAGAME (since 22 April 2000) |
| Executive branch: | head of government: Prime Minister Pierre Damien HABUMUREMYI (since 7 October 2011) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a seven-year term (eligible for a second term); elections last held on 9 August 2010 (next to be held in 2017) |
| Executive branch: | election results: Paul KAGAME elected to a second term as president; Paul KAGAME 93.1%, Jean NTAWUKURIRYAYO 5.1%, Prosper HIGIRO 1.4%, Alvera MUKABARAMBA 0.4% |
| Legislative branch: | bicameral Parliament consists of Senate (26 seats; 12 members elected by local councils, 8 appointed by the president, 4 appointed by the Political Organizations Forum, 2 represent institutions of higher learning; members to serve eight-year terms) and Chamber of Deputies (80 seats; 53 members elected by popular vote, 24 women elected by local bodies, 3 selected by youth and disability organizations; members to serve five-year terms) |
| Legislative branch: | elections: Senate - NA; Chamber of Deputies - last held on 15 September 2008 (next to be held on 16-18 September 2013) |
| Legislative branch: | election results: percent of vote by party - RPF 78.8%, PSD 13.1%, PL 7.5%; seats by party - RPF 42, PSD 7, PL 4, additional 27 members indirectly elected |
| Judicial branch: | highest court(s): Supreme Court (consists of the court president, vice president, and 12 judges; normally organized into 3-judge benches) |
| Judicial branch: | note - the Gacaca Court was established in 2001 by the National Unity Government to try cases of genocide against the Tutsis |
| Judicial branch: | judge selection and term of office: judges nominated by the president of the republic, after consultation with the Cabinet and the Superior Council of the Judiciary (a 14-member body of judges, other judicial officials, and legal professionals), and approved by the Senate; court president and vice president appointed for  8-year nonrenewable terms; tenure of other judges NA |
| Judicial branch: | subordinate courts: High Court of the Republic; commercial courts including the High Commercial Court; intermediate courts; primary courts;  Gacaca and military specialized courts |
| Political parties and leaders: | Centrist Democratic Party or PDC [Agnes MUKABARANGA] |
| Political parties and leaders: | Democratic Popular Union of Rwanda or UDPR [Gonzague RWIGEMA] |
| Political parties and leaders: | Democratic Republican Movement or MDR [Celestin KABANDA] (officially banned) |
| Political parties and leaders: | Islamic Democratic Party or PDI [Musa Fazil HARERIMANA] |
| Political parties and leaders: | Liberal Party or PL [Protais MITALI] |
| Political parties and leaders: | Party for Democratic Renewal (officially banned) |
| Political parties and leaders: | Party for Progress and Concord or PPC [Alvera MUKABARAMBA] |
| Political parties and leaders: | Rwandan Patriotic Front or RPF [Paul KAGAME] |
| Political parties and leaders: | Rwandan Socialist Party or PSR [Jean Baptist RUCIBIGANGO] |
| Political parties and leaders: | Social Democratic Party or PSD [Vincent BIRUTA] |
| Political parties and leaders: | Socialist Party-Imberakuri or PS-Imberakuri [Christine MUKABUNANI] |
| Political parties and leaders: | Solidarity and Prosperity Party or PSP [Pheobe KANYANGE] |
| Political pressure groups and leaders: | IBUKA (association of genocide survivors) |
| International organization participation: | ACP, AfDB, AU, C, CEPGL, COMESA, EAC, EADB, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, PCA, UN, UN Security Council (temporary), UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMISS, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mathilde MUKANTABANA (since 5 July 2013) |
| Diplomatic representation in the US: | chancery: 1714 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-2882 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-4544 |
| Diplomatic representation from the US: | chief of mission: Ambassador Donald W. KORAN (since 8 August 2011) |
| Diplomatic representation from the US: | embassy: 2657 Avenue de la Gendarmerie, Kigali |
| Diplomatic representation from the US: | mailing address: B. P. 28, Kigali |
| Diplomatic representation from the US: | telephone: [250] 596-400 |
| Diplomatic representation from the US: | FAX: [250] 596-591 |
| Flag description: | three horizontal bands of sky blue (top, double width), yellow, and green, with a golden sun with 24 rays near the fly end of the blue band; blue represents happiness and peace, yellow economic development and mineral wealth, green hope of prosperity and natural resources; the sun symbolizes unity, as well as enlightenment and transparency from ignorance |
| National anthem: | name: "Rwanda nziza" (Rwanda, Our Beautiful Country) |
| National anthem: | lyrics/music: Faustin MURIGO/Jean-Bosco HASHAKAIMANA |
| National anthem: | note: adopted 2001 |
