| Government | Swaziland |
| --- | --- |
| Country name: | conventional long form: Kingdom of Swaziland |
| Country name: | conventional short form: Swaziland |
| Country name: | local long form: Umbuso weSwatini |
| Country name: | local short form: eSwatini |
| Government type: | monarchy |
| Capital: | name: Mbabane |
| Capital: | geographic coordinates: 26 18 S, 31 06 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | note: Lobamba (royal and legislative capital) |
| Administrative divisions: | 4 districts; Hhohho, Lubombo, Manzini, Shiselweni |
| Independence: | 6 September 1968 (from UK) |
| National holiday: | Independence Day, 6 September (1968) |
| Constitution: | signed by the King in July 2005 went into effect on 8 February 2006 |
| Legal system: | based on South African Roman-Dutch law in statutory courts and Swazi traditional law and custom in traditional courts; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age |
| Executive branch: | chief of state: King MSWATI III (since 25 April 1986) |
| Executive branch: | head of government: Prime Minister Absolom Themba DLAMINI (since 14 November 2003) |
| Executive branch: | cabinet: Cabinet recommended by the prime minister and confirmed by the monarch |
| Executive branch: | elections: none; the monarch is hereditary; prime minister appointed by the monarch from among the elected members of the House of Assembly |
| Legislative branch: | bicameral Parliament or Libandla consists of the Senate (30 seats; 10 members appointed by the House of Assembly and 20 appointed by the monarch; to serve five-year terms) and the House of Assembly (65 seats; 10 members appointed by the monarch and 55 elected by popular vote; to serve five-year terms) |
| Legislative branch: | elections: House of Assembly - last held 18 October 2003 (next to be held in October 2008) |
| Legislative branch: | election results: House of Assembly - balloting is done on a nonparty basis; candidates for election are nominated by the local council of each constituency and for each constituency the three candidates with the most votes in the first round of voting are narrowed to a single winner by a second round |
| Judicial branch: | High Court; Supreme Court; judges for both courts are appointed by the monarch |
| Political parties and leaders: | the status of political parties, previously banned, is unclear under the new (2006) Constitution and currently being debated - the following are considered political associations; African United Democratic Party or AUDP [Stanley MAUNDZISA, president]; Imbokodvo National Movement or INM; Ngwane National Liberatory Congress or NNLC [Obed DLAMINI, president]; People's United Democratic Movement or PUDEMO [Mario MASUKU, president] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AU, C, COMESA, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, ISO (correspondent), ITSO, ITU, ITUC, MIGA, NAM, OPCW, PCA, SACU, SADC, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ephraim Mandla HLOPHE |
| Diplomatic representation in the US: | chancery: 1712 New Hampshire Avenue, NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-5002 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-8254 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Lynn ALLISON |
| Diplomatic representation from the US: | embassy: Central Bank Building, Mahlokahla Street, Mbabane |
| Diplomatic representation from the US: | mailing address: P. O. Box 199, Mbabane |
| Diplomatic representation from the US: | telephone: [268] 404-6441 through 404-6445 |
| Diplomatic representation from the US: | FAX: [268] 404-5959 |
| Flag description: | three horizontal bands of blue (top), red (triple width), and blue; the red band is edged in yellow; centered in the red band is a large black and white shield covering two spears and a staff decorated with feather tassels, all placed horizontally |
