| Government | Swaziland |
| --- | --- |
| Country name: | conventional long form: Kingdom of Swaziland |
| Country name: | conventional short form: Swaziland |
| Country name: | local long form: Umbuso weSwatini |
| Country name: | local short form: eSwatini |
| Government type: | monarchy |
| Capital: | name: Mbabane |
| Capital: | geographic coordinates: 26 18 S, 31 06 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | note: Lobamba (royal and legislative capital) |
| Administrative divisions: | 4 districts; Hhohho, Lubombo, Manzini, Shiselweni |
| Independence: | 6 September 1968 (from the UK) |
| National holiday: | Independence Day, 6 September (1968) |
| Constitution: | signed by the King July 2005; went into effect 8 February 2006 |
| Legal system: | mixed legal system of civil, common, and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Suffrage: | 18 years of age |
| Executive branch: | chief of state: King MSWATI III (since 25 April 1986) |
| Executive branch: | head of government: Prime Minister Barnabas Sibusiso DLAMINI (since 16 October 2008) |
| Executive branch: | cabinet: Cabinet recommended by the prime minister and confirmed by the monarch |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: none; the monarchy is hereditary; prime minister appointed by the monarch from among the elected members of the House of Assembly |
| Legislative branch: | bicameral Parliament or Libandla consists of the Senate (30 seats; 10 members appointed by the House of Assembly and 20 appointed by the monarch; members to serve five-year terms) and the House of Assembly (65 seats; 10 members appointed by the monarch and 55 elected by popular vote; members to serve five-year terms) |
| Legislative branch: | elections: House of Assembly - last held on 19 September 2008 (next to be held in 2013) |
| Legislative branch: | election results: House of Assembly - balloting is done on a nonparty basis; candidates for election nominated by the local council of each constituency and for each constituency the three candidates with the most votes in the first round of voting are narrowed to a single winner by a second round |
| Judicial branch: | High Court; Supreme Court; judges for both courts are appointed by the monarch |
| Political parties and leaders: | the status of political parties, previously banned, is unclear under the 2006 Constitution and currently being debated; the following are considered political associations; African United Democratic Party or AUDP [Stanley MAUNDZISA, president]; Imbokodvo National Movement or INM; Ngwane National Liberatory Congress or NNLC [Obed DLAMINI, president]; People's United Democratic Movement or PUDEMO [Mario MASUKU, president] |
| Political pressure groups and leaders: | Swaziland Democracy Campaign; Swaziland Federation of Trade Unions; Swaziland Solidarity Network or SSN |
| International organization participation: | ACP, AfDB, AU, C, COMESA, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITSO, ITU, ITUC, MIGA, NAM, OPCW, PCA, SACU, SADC, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Abednigo Mandla NTSHANGASE |
| Diplomatic representation in the US: | chancery: 1712 New Hampshire Avenue, NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-5002 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-8254 |
| Diplomatic representation from the US: | chief of mission: Ambassador Earl M. IRVING |
| Diplomatic representation from the US: | embassy: 2350 Mbabane Place, Mbabane |
| Diplomatic representation from the US: | mailing address: P. O. Box 199, Mbabane |
| Diplomatic representation from the US: | telephone: [268] 404-2445 |
| Diplomatic representation from the US: | FAX: [268] 404-2059 |
| Flag description: | three horizontal bands of blue (top), red (triple width), and blue; the red band is edged in yellow; centered in the red band is a large black and white shield covering two spears and a staff decorated with feather tassels, all placed horizontally; blue stands for peace and stability, red represents past struggles, and yellow the mineral resources of the country; the shield, spears, and staff symbolize protection from the country's enemies, while the black and white of the shield are meant to portray black and white people living in peaceful coexistence |
| National symbol(s): | lion; elephant |
| National anthem: | name: "Nkulunkulu Mnikati wetibusiso temaSwati" (Oh God, Bestower of the Blessings of the Swazi) |
| National anthem: | lyrics/music: Andrease Enoke Fanyana SIMELANE/David Kenneth RYCROFT |
| National anthem: | note: adopted 1968; the anthem uses elements of both ethnic Swazi and Western music styles |
