| Government | ETHIOPIA |
| --- | --- |
| Country name: | conventional long form: Federal Democratic Republic of Ethiopia |
| Country name: | conventional short form: Ethiopia |
| Country name: | local long form: Ityop'iya Federalawi Demokrasiyawi Ripeblik |
| Country name: | local short form: Ityop'iya |
| Country name: | former: Abyssinia, Italian East Africa |
| Country name: | abbreviation: FDRE |
| Country name: | etymology: the country name derives from the Greek word "Aethiopia," which in classical times referred to lands south of Egypt in the Upper Nile region |
| Government type: | federal parliamentary republic |
| Capital: | name: Addis Ababa |
| Capital: | geographic coordinates: 9 02 N, 38 42 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 9 ethnically based states (kililoch, singular - kilil) and 2 self-governing administrations* (astedaderoch, singular - astedader); Adis Abeba* (Addis Ababa), Afar, Amara (Amhara), Binshangul Gumuz, Dire Dawa*, Gambela Hizboch (Gambela Peoples), Hareri Hizb (Harari People), Oromiya (Oromia), Sumale (Somali), Tigray, Ye Debub Biheroch Bihereseboch na Hizboch (Southern Nations, Nationalities and Peoples) |
| Independence: | oldest independent country in Africa and one of the oldest in the world - at least 2,000 years (may be traced to the Aksumite Kingdom, which coalesced in the first century B.C.) |
| National holiday: | Derg Downfall Day (defeat of MENGISTU regime), 28 May (1991) |
| Constitution: | history: several previous; latest drafted June 1994, adopted 8 December 1994, entered into force 21 August 1995 |
| Constitution: | amendments: proposals submitted for discussion require two-thirds majority approval in either house of Parliament or majority approval of one-third of the State Councils; passage of amendments other than constitutional articles on fundamental rights and freedoms and the initiation and amendment of the constitution requires two-thirds majority vote in a joint session of Parliament and majority vote by two-thirds of the State Councils; passage of amendments affecting rights and freedoms and amendment procedures requires two-thirds majority vote in each house of Parliament and majority vote by all the State Councils (2017) |
| Legal system: | civil law system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Ethiopia |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 4 years |
