| Government | Ethiopia |
| --- | --- |
| Country name: | conventional long form: Federal Democratic Republic of Ethiopia |
| Country name: | conventional short form: Ethiopia |
| Country name: | local long form: Ityop'iya Federalawi Demokrasiyawi Ripeblik |
| Country name: | local short form: Ityop'iya |
| Country name: | former: Abyssinia, Italian East Africa |
| Country name: | abbreviation: FDRE |
| Government type: | federal republic |
| Capital: | name: Addis Ababa |
| Capital: | geographic coordinates: 9 02 N, 38 42 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 9 ethnically based states (kililoch, singular - kilil) and 2 self-governing administrations* (astedaderoch, singular - astedader); Adis Abeba* (Addis Ababa), Afar, Amara (Amhara), Binshangul Gumuz, Dire Dawa*, Gambela Hizboch (Gambela Peoples), Hareri Hizb (Harari People), Oromiya (Oromia), Sumale (Somali), Tigray, Ye Debub Biheroch Bihereseboch na Hizboch (Southern Nations, Nationalities, and Peoples) |
| Independence: | oldest independent country in Africa and one of the oldest in the world - at least 2,000 years (may be traced to the Aksumite Kingdom, which coalesced in the first century B.C.) |
| National holiday: | National Day (defeat of MENGISTU regime), 28 May (1991) |
| Constitution: | several previous; latest drafted June 1994, adopted 8 December 1994, entered into force 21 August 1995 (2013) |
| Legal system: | civil law system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President MULATU Teshome Wirtu (since 7 October 2013) |
| Executive branch: | head of government: Prime Minister HAILEMARIAM Desalegn (since 21 September 2012); note - prior to his approval as prime minister, HAILEMARIAM had been acting prime minister due to the death of former Prime Minister MELES |
| Executive branch: | cabinet: Council of Ministers ministers selected by the prime minister and approved by the House of People's Representatives |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by both chambers of Parliament for a six-year term (eligible for a second term); election last held on 7 October 2013 (next to be held in October 2019); prime minister designated by the party in power following legislative elections |
| Executive branch: | election results: MULATU Teshome Wirtu elected president by acclamation |
