| Government | TRINIDAD AND TOBAGO |
| --- | --- |
| Country name: | conventional long form: Republic of Trinidad and Tobago |
| Country name: | conventional short form: Trinidad and Tobago |
| Country name: | etymology: explorer Christopher COLUMBUS named the larger island "La Isla de la Trinidad" (The Island of the Trinity) on 31 July 1498 on his third voyage; the tobacco grown and smoked by the natives of the smaller island or its elongated cigar shape may account for the "tobago" name, which is spelled "tobaco" in Spanish |
| Government type: | parliamentary republic |
| Capital: | name: Port of Spain |
| Capital: | geographic coordinates: 10 39 N, 61 31 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 9 regions, 3 boroughs, 2 cities, 1 ward |
| Administrative divisions: | regions: Couva/Tabaquite/Talparo, Diego Martin, Mayaro/Rio Claro, Penal/Debe, Princes Town, Sangre Grande, San Juan/Laventille, Siparia, Tunapuna/Piarco |
| Administrative divisions: | borough: Arima, Chaguanas, Point Fortin |
| Administrative divisions: | cities: Port of Spain, San Fernando |
| Administrative divisions: | ward: Tobago |
| Independence: | 31 August 1962 (from the UK) |
| National holiday: | Independence Day, 31 August (1962) |
| Constitution: | previous 1962; latest 1976; amended many times, last in 2007 (2016) |
| Legal system: | English common law; judicial review of legislative acts in the Supreme Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent: yes |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 8 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Anthony CARMONA (since 18 March 2013) |
| Executive branch: | head of government: Prime Minister Keith ROWLEY (since 9 September 2015) |
| Executive branch: | cabinet: Cabinet appointed from among members of Parliament |
| Executive branch: | elections/appointments: president indirectly elected by an electoral college of selected Senate and House of Representatives members for a 5-year term (eligible for a second term); election last held on 15 February 2013 (next to be held by February 2018); the president usually appoints the leader of the majority party in the House of Representatives as prime minister |
| Executive branch: | election results: Anthony CARMONA (independent) elected president; electoral college vote - 100% |
| Legislative branch: | description: bicameral Parliament consists of the Senate (31 seats; 16 members appointed by the ruling party, 9 by the president, and 6 by the opposition party; members serve 5-year terms;) and the House of Representatives (41 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| Legislative branch: | note: Tobago has a unicameral House of Assembly (16 seats; 12 assemblymen directly elected by simple majority vote and 4 appointed councillors - 3 on the advice of the chief secretary and 1 on the advice of the minority leader; members serve 4-year terms) |
| Legislative branch: | elections: House of Representatives - last held on 7 September 2015 (next to be held in 2020) |
| Legislative branch: | election results: House of Representatives - percent of vote - PNM 51.7%, People's Partnership coalition 46.6% (UNC 39.6%, COP 6.0%, other 1.0%), other 1.7%; seats by party - PNM 23, UNC 17, COP 1 |
