| Government | Venezuela |
| --- | --- |
| Country name: | conventional long form: Bolivarian Republic of Venezuela |
| Country name: | conventional short form: Venezuela |
| Country name: | local long form: Republica Bolivariana de Venezuela |
| Country name: | local short form: Venezuela |
| Government type: | federal republic |
| Capital: | name: Caracas |
| Capital: | geographic coordinates: 10 29 N, 66 52 W |
| Capital: | time difference: UTC-4.5 (half an hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 23 states (estados, singular - estado), 1 capital district* (distrito capital), and 1 federal dependency** (dependencia federal); Amazonas, Anzoategui, Apure, Aragua, Barinas, Bolivar, Carabobo, Cojedes, Delta Amacuro, Dependencias Federales (Federal Dependencies)**, Distrito Capital (Capital District)*, Falcon, Guarico, Lara, Merida, Miranda, Monagas, Nueva Esparta, Portuguesa, Sucre, Tachira, Trujillo, Vargas, Yaracuy, Zulia |
| Administrative divisions: | note: the federal dependency consists of 11 federally controlled island groups with a total of 72 individual islands |
| Independence: | 5 July 1811 (from Spain) |
| National holiday: | Independence Day, 5 July (1811) |
| Constitution: | 30 December 1999; amended 15 February 2009 |
| Legal system: | civil law system based on the Spanish civil code |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; state party to the ICCT |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Hugo CHAVEZ Frias (since 2 February 1999); Executive Vice President Nicolas MADURO Moros (since 13 October 2012); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Hugo CHAVEZ Frias (since 2 February 1999); Executive Vice President Nicolas MADURO Moros (since 13 October 2012) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a six-year term (eligible for unlimited reelection); election last held on 7 October 2012 (next election expected to be held in October 2018 pending official convocation by the country's electoral body) |
| Executive branch: | note: in 1999, a National Constituent Assembly drafted a new constitution that increased the presidential term to six years; an election was subsequently held on 30 July 2000 under the terms of this constitution; in 2009, a national referendum approved the elimination of term limits on all elected officials, including the presidency |
| Executive branch: | election results: Hugo CHAVEZ Frias reelected president; percent of vote - Hugo CHAVEZ Frias 55.07%, Henrique CAPRILES Radonski 44.31%, other 0.62% |
| Legislative branch: | unicameral National Assembly or Asamblea Nacional (165 seats; members elected by popular vote on a proportional basis to serve five-year terms; three seats reserved for the indigenous peoples of Venezuela) |
| Legislative branch: | elections: last held on 26 September 2010 (next to be held in 2015) |
| Legislative branch: | election results: percent of vote by party - pro-government 48.9%, opposition coalition 47.9%, other 3.2%; seats by party - pro-government 98, opposition 65, other 2 |
| Judicial branch: | Supreme Tribunal of Justice or Tribunal Supremo de Justicia (32 magistrates are elected by the National Assembly for a single 12-year term) |
| Political parties and leaders: | A New Time or UNT [Omar BARBOZA]; Brave People's Alliance or ABP [Antonio LEDEZMA]; Christian Democrats or COPEI [Roberto ENRIQUEZ]; Communist Party of Venezuela or PCV [Oscar FIGUERA]; Democratic Action or AD [Henry RAMOS ALLUP]; Fatherland for All or PPT [Rafael UZCATEGUI]; For Social Democracy or PODEMOS [Ismael GARCIA]; Justice First [Julio BORGES]; Movement Toward Socialism or MAS [Nicolas SOSA]; Popular Will or VP [Leopoldo LOPEZ]; Progressive Wave or AP [Henri FALCON]; The Democratic Unity Table or MUD [Ramon Guillermo AVELEDO]; The Radical Cause [Daniel SANTOLO]; United Socialist Party of Venezuela or PSUV [Hugo CHAVEZ]; Venezuelan Progressive Movement or MPV [Simon CALZADILLA]; Venezuela Project or PV [Henrique SALAS ROMER] |
| Political pressure groups and leaders: | Bolivarian and Socialist Workers' Union (a ruling party labor union); Confederacion Venezolana de Industriales or Coindustria (a conservative business group); Consejos Comunales (pro-Chavez local cooperatives); FEDECAMARAS (a conservative business group); Union of Oil Workers of Venezuela or FUTPV; Venezuelan Confederation of Workers or CTV (opposition-oriented labor organization); various civil society groups and human rights organizations |
| International organization participation: | Caricom (observer), CD, CDB, CELAC, FAO, G-15, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ITSO, ITU, ITUC (NGOs), LAES, LAIA, LAS (observer), Mercosur, MIGA, NAM, OAS, OPANAL, OPCW, OPEC, PCA, Petrocaribe, UN, UNASUR, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Angelo RIVERO Santos |
