| Government | Venezuela |
| --- | --- |
| Country name: | conventional long form: Bolivarian Republic of Venezuela |
| Country name: | conventional short form: Venezuela |
| Country name: | local long form: Republica Bolivariana de Venezuela |
| Country name: | local short form: Venezuela |
| Government type: | federal republic |
| Capital: | name: Caracas |
| Capital: | geographic coordinates: 10 30 N, 66 56 W |
| Capital: | time difference: UTC-4.5 (half an hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 23 states (estados, singular - estado), 1 capital district* (distrito capital), and 1 federal dependency** (dependencia federal); Amazonas, Anzoategui, Apure, Aragua, Barinas, Bolivar, Carabobo, Cojedes, Delta Amacuro, Dependencias Federales (Federal Dependencies)**, Distrito Capital (Capital District)*, Falcon, Guarico, Lara, Merida, Miranda, Monagas, Nueva Esparta, Portuguesa, Sucre, Tachira, Trujillo, Vargas, Yaracuy, Zulia |
| Administrative divisions: | note: the federal dependency consists of 11 federally controlled island groups with a total of 72 individual islands |
| Independence: | 5 July 1811 (from Spain) |
| National holiday: | Independence Day, 5 July (1811) |
| Constitution: | 30 December 1999 |
| Legal system: | open, adversarial court system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Hugo CHAVEZ Frias (since 3 February 1999); Executive Vice President Elias JAUA Milano (since 26 January 2010); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Hugo CHAVEZ Frias (since 3 February 1999); Executive Vice President Elias JAUA Milano (since 26 January 2010) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a six-year term (eligible for unlimited reelection); election last held on 3 December 2006 (next to be held in December 2012) |
| Executive branch: | note: in 1999, a National Constituent Assembly drafted a new constitution that increased the presidential term to six years; an election was subsequently held on 30 July 2000 under the terms of this constitution; in 2009, a national referendum approved the elimination of term limits on all elected officials, including the presidency |
| Executive branch: | election results: Hugo CHAVEZ Frias reelected president; percent of vote - Hugo CHAVEZ Frias 62.9%, Manuel ROSALES 36.9% |
| Legislative branch: | unicameral National Assembly or Asamblea Nacional (165 seats; members elected by popular vote to serve five-year terms; three seats reserved for the indigenous peoples of Venezuela) |
| Legislative branch: | elections: last held on 26 September 2010 (next to be held in 2015) |
| Legislative branch: | election results: percent of vote by party - pro-government 48.9%, opposition coalition 47.9%, other 3.2%; seats by party - pro-government 98, opposition 65, other 2 |
| Judicial branch: | Supreme Tribunal of Justice or Tribunal Supremo de Justicia (32 magistrates are elected by the National Assembly for a single 12-year term) |
| Political parties and leaders: | A New Time or UNT [Omar BARBOZA]; Brave People's Alliance or ABP [Oscar PEREZ]; Christian Democrats or COPEI [Luis Ignacio PLANAS]; Communist Party of Venezuela or PCV [Oscar FIGUERA]; Democratic Action or AD [Henry RAMOS Allup]; Fatherland for All or PPT [Jose ALBORNOZ]; For Social Democracy or PODEMOS [Ramon MARTINEZ]; Justice First [Julio BORGES]; Movement Toward Socialism or MAS [Felipe MUJICA]; United Socialist Party of Venezuela or PSUV [Hugo CHAVEZ]; Venezuela Project or PV [Henrique SALAS Romer] |
| Political pressure groups and leaders: | FEDECAMARAS, a conservative business group; VECINOS groups; Venezuelan Confederation of Workers or CTV (labor organization dominated by the Democratic Action) |
| International organization participation: | Caricom (observer), CDB, FAO, G-15, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ITSO, ITU, ITUC, LAES, LAIA, LAS (observer), Mercosur (associate), MIGA, NAM, OAS, OPANAL, OPCW, OPEC, PCA, PetroCaribe, RG, UN, UNASUR, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Bernardo ALVAREZ Herrera |
| Diplomatic representation in the US: | chancery: 1099 30th Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-2214 |
| Diplomatic representation in the US: | FAX: [1] (202) 342-6820 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, Miami, New Orleans, New York, San Francisco, San Juan (Puerto Rico) |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant) |
| Diplomatic representation from the US: | embassy: Calle F con Calle Suapure, Urbanizacion Colinas de Valle Arriba, Caracas 1080 |
| Diplomatic representation from the US: | mailing address: P. O. Box 62291, Caracas 1060-A; APO AA 34037 |
| Diplomatic representation from the US: | telephone: [58] (212) 975-6411, 907-8400 (after hours) |
| Diplomatic representation from the US: | FAX: [58] (212) 907-8199 |
| Flag description: | three equal horizontal bands of yellow (top), blue, and red with the coat of arms on the hoist side of the yellow band and an arc of eight white five-pointed stars centered in the blue band; the flag retains the three equal horizontal bands and three main colors of the banner of Gran Colombia, the South American republic that broke up in 1830; yellow is interpreted as standing for the riches of the land, blue for the courage of its people, and red for the blood shed in attaining independence; the seven stars on the original flag represented the seven provinces in Venezuela that united in the war of independence; in 2006, President Hugo CHAVEZ ordered an eighth star added to the star arc - a decision that sparked much controversy |
| National anthem: | name: "Gloria al bravo pueblo" (Glory to the Brave Nation) |
| National anthem: | lyrics/music: Vicente SALIAS/Juan Jose LANDAETA |
| National anthem: | note: adopted 1881; the lyrics were written in 1810, the music some years later; both SALIAS and LANDAETA were executed in 1814 during Venezuela's struggle for independence |
