| Government | Guinea |
| --- | --- |
| Country name: | conventional long form: Republic of Guinea |
| Country name: | conventional short form: Guinea |
| Country name: | local long form: Republique de Guinee |
| Country name: | local short form: Guinee |
| Country name: | former: French Guinea |
| Government type: | republic |
| Capital: | name: Conakry |
| Capital: | geographic coordinates: 9 33 N, 13 42 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 33 prefectures and 1 special zone (zone special)*; Beyla, Boffa, Boke, Conakry*, Coyah, Dabola, Dalaba, Dinguiraye, Dubreka, Faranah, Forecariah, Fria, Gaoual, Gueckedou, Kankan, Kerouane, Kindia, Kissidougou, Koubia, Koundara, Kouroussa, Labe, Lelouma, Lola, Macenta, Mali, Mamou, Mandiana, Nzerekore, Pita, Siguiri, Telimele, Tougue, Yomou |
| Independence: | 2 October 1958 (from France) |
| National holiday: | Independence Day, 2 October (1958) |
| Constitution: | 23 December 1990 (Loi Fundamentale) |
| Legal system: | based on French civil law system, customary law, and decree; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Lansana CONTE (head of military government since 5 April 1984, elected president 19 December 1993) |
| Executive branch: | head of government: Prime Minister Lansana KOUYATE (since 26 February 2007) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president elected by popular vote for a seven-year term (no term limits); candidate must receive a majority of the votes cast to be elected president; election last held 21 December 2003 (next to be held in December 2010); the prime minister is appointed by the president |
| Executive branch: | election results: Lansana CONTE reelected president; percent of vote - Lansana CONTE 95.3%, Mamadou Bhoye BARRY 4.6% |
| Legislative branch: | unicameral People's National Assembly or Assemblee Nationale Populaire (114 seats; members are elected by direct, popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 30 June 2002 (next to be held in 2007) |
| Legislative branch: | election results: percent of vote by party - PUP 61.6%, UPR 26.6%, other 11.8%; seats by party - PUP 85, UPR 20, other 9 |
| Judicial branch: | Court of First Instance or Tribunal de Premiere Instance; Court of Appeal or Cour d'Appel; Supreme Court or Cour Supreme |
| Political parties and leaders: | Democratic Party of Guinea-African Democratic Rally or PDG-RDA [El Hadj Ismael Mohamed Gassim GUSHEIN]; Dyama; National Union for Progress or UPN [Mamadou Bhoye BARRY]; Party for Unity and Progress or PUP (the governing party) [Lansana CONTE]; People's Party of Guinea or PPG [Charles Pascal TOLNO]; Rally for the Guinean People or RPG [Alpha CONDE]; Union of Democratic Forces of Guinea or UFDG [Mamadou BAH]; Union of Republican Forces or UFR [Sidya TOURE]; Union for Progress of Guinea or UPG [Jean-Marie DORE, secretary-general]; Union for Progress and Renewal or UPR [Ousmane BAH] |
| Political pressure groups and leaders: | National Confederation of Guinean Workers - Labor Union of Guinean Workers or CNTG-USTG Alliance: National Confederation of Guinean Workers [Rabiatou Sarah DIALLO] and Labor Union of Guinean Workers [Dr. Ibrahima FOFANA]; Syndicate of Guinean Teachers and Researchers or SLECG [Dr. Louis M'Bemba SOUMAH]; National Council of Civil Society Organizations of Guinea CNOSCG [Ben Sekou SYLLA] |
| International organization participation: | ACCT, ACP, AfDB, AU, ECOWAS, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, MIGA, MINURSO, MONUC, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIS, UNOCI, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant) |
| Diplomatic representation in the US: | chancery: 2112 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-4300 |
| Diplomatic representation in the US: | FAX: [1] (202) 478-3800 |
| Diplomatic representation from the US: | chief of mission: Ambassador Phillip CARTER III |
| Diplomatic representation from the US: | embassy: Koloma, Conakry, east of Hamdallaye Circle |
| Diplomatic representation from the US: | mailing address: B. P. 603, Transversale No. 2, Centre Administratif de Koloma, Commune de Ratoma, Conakry |
| Diplomatic representation from the US: | telephone: [224] 30-42-08-61 through 68 |
| Diplomatic representation from the US: | FAX: [224] 30-42-08-73 |
| Flag description: | three equal vertical bands of red (hoist side), yellow, and green; uses the popular pan-African colors of Ethiopia |
