| Government | Guinea |
| --- | --- |
| Country name: | conventional long form: Republic of Guinea |
| Country name: | conventional short form: Guinea |
| Country name: | local long form: Republique de Guinee |
| Country name: | local short form: Guinee |
| Country name: | former: French Guinea |
| Government type: | republic |
| Capital: | name: Conakry |
| Capital: | geographic coordinates: 9 30 N, 13 42 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 7 regions and 1 governate*; Boke, Conakry*, Faranah, Kankan, Kindia, Labe, Mamou, N'Zerekore |
| Independence: | 2 October 1958 (from France) |
| National holiday: | Independence Day, 2 October (1958) |
| Constitution: | previous 1958, 1990; latest promulgated 19 April 2010, approved 7 May 2010 (2010) |
| Legal system: | civil law system based on the French model |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Alpha CONDE (since 21 December 2010) |
| Executive branch: | head of government: Prime Minister Mohamed Said FOFANA (since 24 December 2010) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); candidate must receive a majority of the votes cast to be elected president; election last held on 27 June 2010 with a runoff election held on 7 November 2010 |
| Executive branch: | election results: Alpha CONDE elected president in a runoff election; percent of vote Alpha CONDE 52.5%, Cellou Dalein DIALLO 47.5% |
| Legislative branch: | unicameral People's National Assembly or Assemblee Nationale Populaire (114 seats; members elected by a mixed system of direct popular vote and proportional party lists) |
| Legislative branch: | note: the legislature was dissolved by junta leader Moussa Dadis CAMARA in December 2008 and in February 2010, the Transition Government appointed a 155 member National Transition Council (CNT) that has since acted in the legislature's place pending elections finally held on 28 September 2013 |
| Legislative branch: | elections: last held on 28 September 2013 (next election scheduled for 2018) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - RPG 53, UFDG 37, UFR 10, others 14 |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (organized into Constitutional, Civil, Penal, Commercial, and Administrative Chambers, and Chamber of Accounts; court consists of the first president, chamber presidents, and NA members) |
| Judicial branch: | judge selection and term of office: court first president appointed by the national president after consultation with the National Assembly; other members appointed by presidential decree; member tenure NA |
| Judicial branch: | subordinate courts: Courts of Appeal or Cour d'Appel; courts of first instance or Tribunal de Premiere Instance; labor court; military tribunal; High Court of Justice; justices of the peace |
| Political parties and leaders: | National Party for Hope and Development or PEDN [Lansana KOUYATE] |
| Political parties and leaders: | Rally for the Guinean People or RPG [Alpha CONDE] |
| Political parties and leaders: | Union for the Progress of Guinea or UPG [Jean Marie DORE] |
| Political parties and leaders: | Union of Democratic Forces of Guinea or UFDG [Cellou Dalein DIALLO] |
| Political parties and leaders: | Union of Republican Forces or UFR [Sidya TOURE] |
| Political parties and leaders: | note: listed are the five most popular parties as of December 2012; overall, there are more than 130 registered parties |
| Political pressure groups and leaders: | National Confederation of Guinean Workers-Labor Union of Guinean Workers or CNTG-USTG Alliance (includes National Confederation of Guinean Workers or CNTG and Labor Union of Guinean Workers or USTG); Syndicate of Guinean Teachers and Researchers or SLECG |
| International organization participation: | ACP, AfDB, AU, ECOWAS, EITI (candidate country), FAO, G-77, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Blaise CHERIF (since 2 September 2011) |
| Diplomatic representation in the US: | chancery: 2112 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-4300 |
| Diplomatic representation in the US: | FAX: [1] (202) 478-3010 |
| Diplomatic representation from the US: | chief of mission: Ambassador Alexander Mark LASKARIS (since 10 September 2012) |
| Diplomatic representation from the US: | embassy: Koloma, Conakry, east of Hamdallaye Circle |
| Diplomatic representation from the US: | mailing address: B. P. 603, Transversale No. 2, Centre Administratif de Koloma, Commune de Ratoma, Conakry |
| Diplomatic representation from the US: | telephone: [224] 65-10-40-00 |
| Diplomatic representation from the US: | FAX: [224] 65-10-42-97 |
| Flag description: | three equal vertical bands of red (hoist side), yellow, and green; red represents the people's sacrifice for liberation and work; yellow stands for the sun, for the riches of the earth, and for justice; green symbolizes the country's vegetation and unity |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; the colors from left to right are the reverse of those on the flags of neighboring Mali and Senegal |
| National anthem: | name: "Liberte" (Liberty) |
| National anthem: | lyrics/music: unknown/Fodeba KEITA |
| National anthem: | note: adopted 1958 |
