| Government | GUINEA |
| --- | --- |
| Country name: | conventional long form: Republic of Guinea |
| Country name: | conventional short form: Guinea |
| Country name: | local long form: Republique de Guinee |
| Country name: | local short form: Guinee |
| Country name: | former: French Guinea |
| Country name: | etymology: the country is named after the Guinea region of West Africa that lies along the Gulf of Guinea and stretches north to the Sahel |
| Government type: | presidential republic |
| Capital: | name: Conakry |
| Capital: | geographic coordinates: 9 30 N, 13 42 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 7 regions administrative and 1 gouvenorat*; Boke, Conakry*, Faranah, Kankan, Kindia, Labe, Mamou, N'Zerekore |
| Independence: | 2 October 1958 (from France) |
| National holiday: | Independence Day, 2 October (1958) |
| Constitution: | history: previous 1958, 1990; latest promulgated 19 April 2010, approved 7 May 2010 |
| Constitution: | amendments: proposed by the National Assembly or by the president of the republic; consideration of proposals requires approval by simple majority vote by the Assembly; passage requires approval in referendum; the president can opt to submit amendments directly to the Assembly, in which case approval requires at least two-thirds majority vote (2017) |
| Legal system: | civil law system based on the French model |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Guinea |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: na |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Alpha CONDE (since 21 December 2010) |
| Executive branch: | head of government: Prime Minister Mamady YOULA (since 26 December 2015) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 11 October 2015 (next scheduled for 2020); prime minister appointed by the president |
| Executive branch: | election results: Alpha CONDE reelected president; percent of vote - Alpha CONDE (RPG) 57.8%, Cellou Dalein DIALLO (UFDG) 31.4%, other 10.8% |
| Legislative branch: | description: unicameral People's National Assembly or Assemblee Nationale Populaire (114 seats; 76 members directly elected in a single nationwide constituency by proportional representation vote and 38 directly elected in single-seat constituencies by simple majority vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 28 September 2013 (next to be held in 2018) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - RPG 53, UFDG 37, UFR 10, PEDN 2, UPG 2, other parties 10 |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (organized into Administrative Chamber and Civil, Penal, and Social Chamber; court consists of the first president, 2 chamber presidents, at least 4 councillors, the solicitor general, and NA deputies); Constitutional Court (consists of 9 members) |
| Judicial branch: | judge selection and term of office: Supreme Court first president appointed by the national president after consultation with the National Assembly; other members appointed by presidential decree; members serve until age 65; Constitutional Court member appointments - 2 by the National Assembly and the president of the republic, 3 experienced judges designated by their peers, 1 experienced lawyer, 1 university professor with expertise in public law designated by peers, and 2 experienced representatives of the Independent National Institution of Human Rights; members serve single 9-year terms |
| Judicial branch: | subordinate courts: includes Court of Appeal or Cour d'Appel; courts of first instance or Tribunal de Premiere Instance; High Court of Justice or Cour d'Assises; labor court; military tribunal; justices of the peace; specialized courts |
| Political parties and leaders: | Bloc Liberal or BL [Faya MILLIMONO] |
| Political parties and leaders: | National Party for Hope and Development or PEDN [Lansana KOUYATE] |
| Political parties and leaders: | Rally for the Guinean People or RPG [Alpha CONDE] |
| Political parties and leaders: | Union for the Progress of Guinea or UPG |
| Political parties and leaders: | Union of Democratic Forces of Guinea or UFDG [Cellou Dalein DIALLO] |
| Political parties and leaders: | Union of Republican Forces or UFR [Sidya TOURE] |
| Political pressure groups and leaders: | National Confederation of Guinean Workers-Labor Union of Guinean Workers or CNTG-USTG Alliance |
| Political pressure groups and leaders: | Syndicate of Guinean Teachers and Researchers or SLECG |
| International organization participation: | ACP, AfDB, AU, ECOWAS, EITI (compliant country), FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSMA, MONUSCO, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mamady CONDE (since 14 July 2014) |
| Diplomatic representation in the US: | chancery: 2112 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-4300 |
| Diplomatic representation in the US: | FAX: [1] (202) 986-3800 |
| Diplomatic representation from the US: | chief of mission: Ambassador Dennis B. HANKINS (since December 2015) |
| Diplomatic representation from the US: | embassy: Koloma, Conakry, across from the Radio Television de Guinee |
| Diplomatic representation from the US: | mailing address: P.O. Box 603, Transversale No. 2, Centre Administratif de Koloma, Commune de Ratoma, Conakry |
| Diplomatic representation from the US: | telephone: [224] 655-10-40-00 |
| Diplomatic representation from the US: | FAX: [224] 655-10-42-97 |
| Flag description: | three equal vertical bands of red (hoist side), yellow, and green; red represents the people's sacrifice for liberation and work; yellow stands for the sun, for the riches of the earth, and for justice; green symbolizes the country's vegetation and unity |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; the colors from left to right are the reverse of those on the flags of neighboring Mali and Senegal |
| National symbol(s): | national colors: red, yellow, green |
| National anthem: | name: "Liberte" (Liberty) |
| National anthem: | lyrics/music: unknown/Fodeba KEITA |
| National anthem: | note: adopted 1958 |
