| Government | Mozambique |
| --- | --- |
| Country name: | conventional long form: Republic of Mozambique |
| Country name: | conventional short form: Mozambique |
| Country name: | local long form: Republica de Mocambique |
| Country name: | local short form: Mocambique |
| Country name: | former: Portuguese East Africa |
| Government type: | republic |
| Capital: | name: Maputo |
| Capital: | geographic coordinates: 25 57 S, 32 35 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 10 provinces (provincias, singular - provincia), 1 city (cidade)*; Cabo Delgado, Gaza, Inhambane, Manica, Maputo, Cidade de Maputo*, Nampula, Niassa, Sofala, Tete, Zambezia |
| Independence: | 25 June 1975 (from Portugal) |
| National holiday: | Independence Day, 25 June (1975) |
| Constitution: | previous 1975, 1990; latest adopted 16 November 2004, effective 21 December 2004; note - draft amendments planned for parliamentary review in late 2013 (2013) |
| Legal system: | mixed legal system of Portuguese civil law, and customary law; note - in rural, predominately Muslim villages with no formal legal system, Islamic law may be applied |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Armando Emilio GUEBUZA (since 2 February 2005) |
| Executive branch: | head of government: Prime Minister Alberto Clementino Antonio VAQUINA (since 8 October 2012) |
| Executive branch: | cabinet: Cabinet |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for three terms); election last held on 28 October 2009 (next to be held in 2014); prime minister appointed by the president |
| Executive branch: | election results: Armando GUEBUZA reelected president; percent of vote - Armando GUEBUZA 76.3%, Afonso DHLAKAMA 14.9%, Daviz SIMANGO 8.8% |
| Legislative branch: | unicameral Assembly of the Republic or Assembleia da Republica (250 seats; members directly elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 28 October 2009 (next to be held in 2014) |
| Legislative branch: | election results: percent of vote by party - FRELIMO 74.7%, RENAMO 17.7%, MDM 3.9%, other 3.7%; seats by party - FRELIMO 191, RENAMO 51, MDM 8 |
| Judicial branch: | highest court(s): Supreme Court (consists of the court president, vice president, and 5 judges); Constitutional Council (consists of 7 judges) |
| Judicial branch: | note - the Higher Council of the Judiciary is responsible for judiciary management and discipline |
| Judicial branch: | judge selection and term of office: Supreme Court president and vice president appointed by Mozambique president in consultation with the Higher Council of the Judiciary (CSMJ)  and with ratification by the legislature; other judges elected by the legislature; judges serve 5-year renewable terms; Constitutional Council judges appointed - 1 by the president, 5 by the legislature, and 1 by the CSMJ; judges serve 5-year nonrenewable terms |
| Judicial branch: | subordinate courts: Administrative Court (capital city only); provincial courts or Tribunais Judicias de Provincia; District Courts or Tribunais Judicias de Districto; customs courts; maritime courts; courts marshal; labor courts; community courts |
| Political parties and leaders: | Democratic Movement of Mozambique (Movimento Democratico de Mocambique) or MDM [Daviz SIMANGO] |
| Political parties and leaders: | Front for the Liberation of Mozambique (Frente de Liberatacao de Mocambique) or FRELIMO [Armando Emilio GUEBUZA] |
| Political parties and leaders: | Mozambique National Resistance (Resistencia Nacional Mocambicana) or RENAMO [Afonso DHLAKAMA] |
| Political pressure groups and leaders: | Mozambican League of Human Rights (Liga Mocambicana dos Direitos Humanos) or LDH [Alice MABOTE, president] |
| International organization participation: | ACP, AfDB, AU, C, CD, CPLP, EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIC, OIF (observer), OPCW, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNISFA, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Amelia Narciso Matos SUMBANA (since 2 November 2009) |
| Diplomatic representation in the US: | chancery: 1525 New Hampshire Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 293-7146 |
| Diplomatic representation in the US: | FAX: [1] (202) 835-0245 |
| Diplomatic representation from the US: | chief of mission: Ambassador Douglas M. GRIFFITHS (since 6 July 2012) |
| Diplomatic representation from the US: | embassy: Avenida Kenneth Kuanda 193, Maputo |
| Diplomatic representation from the US: | mailing address: P. O. Box 783, Maputo |
| Diplomatic representation from the US: | telephone: [258] (21) 492797 |
| Diplomatic representation from the US: | FAX: [258] (21) 490114 |
| Flag description: | three equal horizontal bands of green (top), black, and yellow with a red isosceles triangle based on the hoist side; the black band is edged in white; centered in the triangle is a yellow five-pointed star bearing a crossed rifle and hoe in black superimposed on an open white book; green represents the riches of the land, white peace, black the African continent, yellow the country's minerals, and red the struggle for independence; the rifle symbolizes defense and vigilance, the hoe refers to the country's agriculture, the open book stresses the importance of education, and the star represents Marxism and internationalism |
| National anthem: | name: "Patria Amada" (Lovely Fatherland) |
| National anthem: | lyrics/music: Salomao J. MANHICA/unknown |
| National anthem: | note: adopted 2002 |
