| Government | Bosnia and Herzegovina |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Bosnia and Herzegovina |
| Country name: | local long form: none |
| Country name: | local short form: Bosna i Hercegovina |
| Country name: | former: People's Republic of Bosnia and Herzegovina, Socialist Republic of Bosnia and Herzegovina |
| Government type: | emerging federal democratic republic |
| Capital: | name: Sarajevo |
| Capital: | geographic coordinates: 43 52 N, 18 25 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 2 first-order administrative divisions and 1 internationally supervised district* - Brcko district (Brcko Distrikt)*, the Bosniak/Croat Federation of Bosnia and Herzegovina (Federacija Bosna i Hercegovina) and the Bosnian Serb-led Republika Srpska; note - Brcko district is in northeastern Bosnia and is an administrative unit under the sovereignty of Bosnia and Herzegovina; the district remains under international supervision |
| Independence: | 1 March 1992 (from Yugoslavia; referendum for independence completed 1 March 1992; independence declared 3 March 1992) |
| National holiday: | National Day, 25 November (1943) |
| Constitution: | the Dayton Agreement, signed 14 December 1995 in Paris, included a new constitution now in force; note - each of the entities also has its own constitution |
| Legal system: | based on civil law system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age, universal |
| Executive branch: | chief of state: Chairman of the Presidency Nebojsa RADMANOVIC (chairman since 6 November 2008; presidency member since 1 October 2006 - Serb); other members of the three-member presidency rotating (every eight months): Haris SILAJDZIC (presidency member since 1 October 2006 - Bosniak); and Zeljko KOMSIC (presidency member since 1 October 2006 - Croat) |
| Executive branch: | head of government: Chairman of the Council of Ministers Nikola SPIRIC (since 11 January 2007) |
| Executive branch: | cabinet: Council of Ministers nominated by the council chairman; approved by the National House of Representatives |
| Executive branch: | elections: the three members of the presidency (one Bosniak, one Croat, one Serb) are elected by popular vote for a four-year term (eligible for a second term, but then ineligible for four years); the chairmanship rotates every eight months and resumes where it left off following each national election; election last held 1 October 2006 (next to be held in 2010); the chairman of the Council of Ministers is appointed by the presidency and confirmed by the National House of Representatives |
| Executive branch: | election results: percent of vote - Nebojsa RADMANOVIC with 53.3% of the votes for the Serb seat; Zeljko KOMSIC received 39.6% of the votes for the Croat seat; Haris SILAJDZIC received 62.8% of the votes for the Bosniak seat |
| Executive branch: | note: President of the Federation of Bosnia and Herzegovina: Borjana KRISTO (since 21 February 2007); Vice Presidents Spomenka MICIC (since NA 2007) and Mirsad KEBO (since NA 2007); President of the Republika Srpska: Rajko KUSMANOVIC (since 28 December 2007) |
| Legislative branch: | bicameral Parliamentary Assembly or Skupstina consists of the national House of Representatives or Predstavnicki Dom (42 seats, 28 seats allocated for the Federation of Bosnia and Herzegovina and 14 seats for the Republika Srpska; members elected by popular vote on the basis of proportional representation, to serve four-year terms); and the House of Peoples or Dom Naroda (15 seats, 5 Bosniak, 5 Croat, 5 Serb; members elected by the Bosniak/Croat Federation's House of Representatives and the Republika Srpska's National Assembly to serve four-year terms); note - Bosnia's election law specifies four-year terms for the state and first-order administrative division entity legislatures |
| Legislative branch: | elections: national House of Representatives - elections last held 1 October 2006 (next to be held in 2010); House of Peoples - last constituted in January 2003 (next to be constituted in 2007) |
| Legislative branch: | election results: national House of Representatives - percent of vote by party/coalition - NA; seats by party/coalition - SDA 9, SBH 8, SNSD 7, SDP 5, SDS 3, HDZ-BH 3, HDZ1990 2, other 5; House of Peoples - percent of vote by party/coalition - NA; seats by party/coalition - NA |
| Legislative branch: | note: the Bosniak/Croat Federation has a bicameral legislature that consists of a House of Representatives (98 seats; members elected by popular vote to serve four-year terms); elections last held 1 October 2006 (next to be held in October 2010); percent of vote by party - NA; seats by party/coalition - SDA 28, SBH 24, SDP 17, HDZ-BH 8, HDZ100 7, other 14; and a House of Peoples (58 seats - 17 Bosniak, 17 Croat, 17 Serb, 7 other); last constituted December 2002; the Republika Srpska has a National Assembly (83 seats; members elected by popular vote to serve four-year terms); elections last held 1 October 2006 (next to be held in the fall of 2010); percent of vote by party - NA; seats by party/coalition - SNSD 41, SDS 17, PDP 8, DNS 4, SBH 4, SPRS 3, SDA 3, other 3; as a result of the 2002 constitutional reform process, a 28-member Republika Srpska Council of Peoples (COP) was established in the Republika Srpska National Assembly including eight Croats, eight Bosniaks, eight Serbs, and four members of the smaller communities |
| Judicial branch: | BH Constitutional Court (consists of nine members: four members are selected by the Bosniak/Croat Federation's House of Representatives, two members by the Republika Srpska's National Assembly, and three non-Bosnian members by the president of the European Court of Human Rights); BH State Court (consists of nine judges and three divisions - Administrative, Appellate and Criminal - having jurisdiction over cases related to state-level law and appellate jurisdiction over cases initiated in the entities); a War Crimes Chamber opened in March 2005 |
| Judicial branch: | note: the entities each have a Supreme Court; each entity also has a number of lower courts; there are 10 cantonal courts in the Federation, plus a number of municipal courts; the Republika Srpska has five municipal courts |
