| Government |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Bosnia and Herzegovina |
| Country name: | local long form: none |
| Country name: | local short form: Bosna i Hercegovina |
| Government type: | emerging democracy |
| Capital: | Sarajevo |
| Administrative divisions: | there are two first-order administrative divisions - the Bosniak/Croat Federation of Bosnia and Herzegovina (Federacija Bosna i Hercegovina) and the Bosnian Serb-led Republika Srpska; note - Brcko in northeastern Bosnia is a self-governing administrative unit under the sovereignty of Bosnia and Herzegovina; it is not part of either the Federation or Republika Srpska |
| Independence: | 1 March 1992 (from Yugoslavia) |
| National holiday: | National Day, 25 November (1943) |
| Constitution: | the Dayton Agreement, signed 14 December 1995, included a new constitution now in force |
| Legal system: | based on civil law system |
| Suffrage: | 16 years of age, if employed; 18 years of age, universal |
| Executive branch: chief of state: Chairman of the Presidency Jozo KRIZANOVI (chairman since 14 June 2001, presidency member since NA March 2001 - Croat); other members of the three-member rotating (every 8 months) presidency: | Zivko RADISIC (since 13 October 1998 - Serb) and Beriz BELKIC (since NA March 2001 - Bosniak); note - Ante JELAVIC was dismissed from his post by the UN High Representative in March 2001 |
| Executive branch: chief of state: Chairman of the Presidency Jozo KRIZANOVI (chairman since 14 June 2001, presidency member since NA March 2001 - Croat); other members of the three-member rotating (every 8 months) presidency: | head of government: Chairman of the Council of Ministers Zlatko LAGUMDZIJA (since 18 July 2001) |
| Executive branch: chief of state: Chairman of the Presidency Jozo KRIZANOVI (chairman since 14 June 2001, presidency member since NA March 2001 - Croat); other members of the three-member rotating (every 8 months) presidency: | cabinet: Council of Ministers nominated by the council chairman; approved by the National House of Representatives |
| Executive branch: chief of state: Chairman of the Presidency Jozo KRIZANOVI (chairman since 14 June 2001, presidency member since NA March 2001 - Croat); other members of the three-member rotating (every 8 months) presidency: | elections: the three members of the presidency (one Bosniak, one Croat, one Serb) are elected by popular vote for a four-year term; the member with the most votes becomes the chairman unless he or she was the incumbent chairman at the time of the election; election last held 12-13 September 1998 (next to be held NA September 2002); the chairman of the Council of Ministers is appointed by the presidency and confirmed by the National House of Representatives |
| Executive branch: chief of state: Chairman of the Presidency Jozo KRIZANOVI (chairman since 14 June 2001, presidency member since NA March 2001 - Croat); other members of the three-member rotating (every 8 months) presidency: | election results: percent of vote - Zivko RADISIC with 52% of the Serb vote was elected chairman of the collective presidency for the first 8 months; Ante JELAVIC with 52% of the Croat vote followed RADISIC in the rotation; Alija IZETBEGOVIC with 87% of the Bosniak vote won the highest number of votes in the election but was ineligible to serve a second term until RADISIC and JELAVIC had each served a first term as Chairman of the Presidency; IZETBEGOVIC retired from the presidency 14 October 2000 and was temporarily replaced by Halid GENJAC; Ante JELAVIC was replaced by Jozo KRIZANOVIC in March 2001 |
| Executive branch: chief of state: Chairman of the Presidency Jozo KRIZANOVI (chairman since 14 June 2001, presidency member since NA March 2001 - Croat); other members of the three-member rotating (every 8 months) presidency: | note: President of the Federation of Bosnia and Herzegovina: Karlo FILIPOVIC (since 27 February 2001); Vice President Safet HALILOVIC (since 27 February 2001); note - president and vice president rotate every year; President of the Republika Srpska: Mirko SAROVIC (since 11 November 2000) |
| Legislative branch: | bicameral Parliamentary Assembly or Skupstina consists of the National House of Representatives or Predstavnicki Dom (42 seats - 14 Serb, 14 Croat, and 14 Bosniak; members elected by popular vote to serve two-year terms) and the House of Peoples or Dom Naroda (15 seats - 5 Bosniak, 5 Croat, 5 Serb; members elected by the Bosniak/Croat Federation's House of Representatives and the Republika Srpska's National Assembly to serve two-year terms); note - as of 1 January 2001, Bosnia and Herzegovina does not have a permanent election law; a draft law specifies four-year terms for the state and first-order administrative division entity legislatures; officials elected in 2000 were elected to two-year terms on the presumption that a permanent law would be in place before 2002 |
| Legislative branch: | elections: National House of Representatives - elections last held 11 November 2000 (next to be held in the fall of 2002); House of Peoples - last constituted after the 11 November 2000 elections (next to be constituted in the fall of 2002) |
| Legislative branch: | election results: National House of Representatives - percent of vote by party/coalition - NA%; seats by party/coalition - SDP 9, SDA 8, SDS 6, HDZ-BiH 5, SBH 5, PDP 2, NHI 1, BPS 1, DPS 1, SNS 1, SNSD-DSP 1, DNZ 1, SPRS 1; House of Peoples - percent of vote by party/coalition - NA%; seats by party/coalition - NA |
