| Government | Burma |
| --- | --- |
| Country name: | conventional long form: Union of Burma |
| Country name: | conventional short form: Burma |
| Country name: | local long form: Pyidaungzu Myanma Naingngandaw (translated by the US Government as Union of Myanma and by the Burmese as Union of Myanmar) |
| Country name: | local short form: Myanma Naingngandaw |
| Country name: | former: Socialist Republic of the Union of Burma |
| Country name: | note: since 1989 the military authorities in Burma have promoted the name Myanmar as a conventional name for their state; the US Government did not adopt the name, which is a derivative of the Burmese short-form name Myanma Naingngandaw |
| Government type: | nominal civilian parliamentary government took power in March 2011 |
| Capital: | name: Rangoon (Yangon) |
| Capital: | geographic coordinates: 16 48 N, 96 09 E |
| Capital: | time difference: UTC+6.5 (11.5 hours ahead of Washington, DC during Standard Time) |
| Capital: | note: Nay Pyi Taw is the administrative capital |
| Administrative divisions: | 7 divisions (taing-myar, singular - taing) and 7 states* (pyi ne-myar, singular - pyi ne) |
| Administrative divisions: | divisions: Ayeyarwady, Bago, Magway, Mandalay, Sagaing, Tanintharyi, Yangon |
| Administrative divisions: | states: Chin, Kachin, Kayah, Kayin, Mon, Rakhine (Arakan), Shan |
| Independence: | 4 January 1948 (from the UK) |
| National holiday: | Independence Day, 4 January (1948); Union Day, 12 February (1947) |
| Constitution: | 3 January 1974; suspended 18 September 1988; a new constitution took effect in March 2011 when a new parliament convened |
| Legal system: | mixed legal system of English common law (as introduced in codifications designed for colonial India) and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President THEIN SEIN (since 4 February 2011); Vice President SAI MOUK KHAM (since 3 February 2011); Vice President TIN AUNG MYINT OO (since 4 February 2011) |
| Executive branch: | head of government: President THEIN SEIN (since 4 February 2011) |
| Executive branch: | cabinet: cabinet is appointed by the president and confirmed by the parliament |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: THEIN SEIN elected president by the parliament from among three vice presidents; the upper house, the lower house, and military members of the parliament each nominate one vice president (president serves a five-year term) |
| Legislative branch: | bicameral, consists of the House of Nationalities [Amyotha Hluttaw] (224 seats, 168 directly elected and 56 appointed by the military; members serve five-year terms) and the House of Representatives [Pythu Hluttaw] (440 seats, 330 directly elected and 110 appointed by the military; members serve five-year terms) |
| Legislative branch: | elections: last held on 7 November 2010 (next to be held in December 2015) |
| Legislative branch: | election results: House of Nationalities - percent of vote by party - USDP 74.8%, others (NUP, SNDP, RNDP, NDF, AMRDP) 25.2%; seats by party - USDP 129, others 39; House of Representatives - percent of vote by party - USDP 79.6%, others (NUP, SNDP, RNDP, NDF, AMRDP) 20.4%; seats by party - USDP 259, others 66 |
| Judicial branch: | remnants of the British-era legal system are in place, but there is no guarantee of a fair public trial; the judiciary is not independent of the executive; the 2011 constitution calls for a Supreme Court, a Courts-Martial, and a Constitutional Tribunal of the Union |
| Political parties and leaders: | All Mon Region Democracy Party or AMRDP [NAING NGWE THEIN]; National Democratic Force or NDF [KHIN MAUNG SWE, Dr.THAN NYEIN]; National League for Democracy or NLD [AUNG SHWE, U TIN OO, AUNG SAN SUU KYI]; note - the party was deregisted because it did not register for the 2010 election, but it is still active; National Unity Party or NUP [TUN YE]; Rakhine Nationalities Development Party or RNDP [Dr. AYE MG]; Shan Nationalities Democratic Party [SAI AIKE PAUNG]; Shan Nationalities League for Democracy or SNLD [HKUN HTUN OO]; Union Solidarity and Development Party or USDP [SHWE MANN, HTAY OO]; numerous smaller parties |
