| Government | Bangladesh |
| --- | --- |
| Country name: | conventional long form: People's Republic of Bangladesh |
| Country name: | conventional short form: Bangladesh |
| Country name: | local long form: Gana Prajatantri Bangladesh |
| Country name: | local short form: Bangladesh |
| Country name: | former: East Bengal, East Pakistan |
| Country name: | etymology: the name - a compound of the Bengali words "Bangla" (Bengal) and "desh" (country) - means "Country of Bengal" |
| Government type: | parliamentary republic |
| Capital: | name: Dhaka |
| Capital: | geographic coordinates: 23 43 N, 90 24 E |
| Capital: | time difference: UTC+6 (11 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the origins of the name are unclear, but some sources state that the city's site was originally called "dhakka," meaning "watchtower," and that the area served as a watch-station for Bengal rulers |
| Administrative divisions: | 8 divisions; Barishal, Chattogram, Dhaka, Khulna, Mymensingh, Rajshahi, Rangpur, Sylhet |
| Independence: | 16 December 1971 (from Pakistan) |
| National holiday: | Independence Day, 26 March (1971); Victory Day, 16 December (1971); note - 26 March 1971 is the date of the Awami League's declaration of an independent Bangladesh, and 16 December (Victory Day) memorializes the military victory over Pakistan and the official creation of the state of Bangladesh |
| Constitution: | history: previous 1935, 1956, 1962 (preindependence); latest enacted 4 November 1972, effective 16 December 1972, suspended March 1982, restored November 1986 |
| Constitution: | amendments: proposed by the House of the Nation; approval requires at least two-thirds majority vote of the House membership and assent of the president of the republic; amended many times, last in 2018 |
| Legal system: | mixed legal system of mostly English common law and Islamic law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Bangladesh |
| Citizenship: | dual citizenship recognized: yes, but limited to select countries |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Abdul HAMID (since 24 April 2013); note - Abdul HAMID served as acting president following the death of Zillur RAHMAN in March 2013; HAMID was subsequently indirectly elected by the National Parliament and sworn in 24 April 2013 |
| Executive branch: | head of government: Prime Minister Sheikh HASINA (since 6 January 2009) |
| Executive branch: | cabinet: Cabinet selected by the prime minister, appointed by the president |
| Executive branch: | elections/appointments: president indirectly elected by the National Parliament for a 5-year term (eligible for a second term); election last held on 7 February 2018 (next to be held by 2023); the president appoints as prime minister the majority party leader in the National Parliament |
| Executive branch: | election results: President Abdul HAMID (AL) reelected by the National Parliament unopposed for a second term; Sheikh HASINA reappointed prime minister as leader of the majority AL party following parliamentary elections in 2018 |
| Legislative branch: | description: unicameral House of the Nation or Jatiya Sangsad (350 seats; 300 members in single-seat territorial constituencies directly elected by simple majority popular vote; 50 members - reserved for women only - indirectly elected by the elected members by proportional representation vote using single transferable vote; all members serve 5-year terms) |
| Legislative branch: | elections: last held onÂ 30 December 2018Â (next to be held in 2023) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party as of January 2020 - AL 299, JP 27, BNP 7, other 10, independent 4, vacant 3; composition - men 274, women 73, percent of women 21% |
| Judicial branch: | highest courts: Supreme Court of Bangladesh (organized into the Appellate Division with 7 justices and the High Court Division with 99 justices) |
| Judicial branch: | judge selection and term of office: chief justice and justices appointed by the president; justices serve until retirement at age 67 |
| Judicial branch: | subordinate courts: civil courts include: Assistant Judge's Court; Joint District Judge's Court; Additional District Judge's Court; District Judge's Court; criminal courts include: Court of Sessions; Court of Metropolitan Sessions; Metropolitan Magistrate Courts; Magistrate Court; special courts/tribunals |
| Political parties and leaders: | Awami League or AL [Sheikh HASINA] |
| Political parties and leaders: | Bangladesh Nationalist Front or BNF [Abdul Kalam AZADI] |
| Political parties and leaders: | Bangladesh Nationalist Party or BNP [Khaleda ZIA] |
| Political parties and leaders: | Bangladesh Tariqat Federation or BTF [Syed Nozibul Bashar MAIZBHANDARI] |
| Political parties and leaders: | Jamaat-i-Islami Bangladesh or JIB (Makbul AHMAD) |
