| Government | Bangladesh |
| --- | --- |
| Country name: | conventional long form: People's Republic of Bangladesh |
| Country name: | conventional short form: Bangladesh |
| Country name: | local long form: Gana Prajatantri Banladesh |
| Country name: | local short form: Banladesh |
| Country name: | former: East Bengal, East Pakistan |
| Government type: | parliamentary democracy |
| Capital: | name: Dhaka |
| Capital: | geographic coordinates: 23 43 N, 90 24 E |
| Capital: | time difference: UTC+6 (11 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 6 divisions; Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Sylhet |
| Independence: | 16 December 1971 (from West Pakistan); note - 26 March 1971 is the date of independence from West Pakistan, 16 December 1971 is known as Victory Day and commemorates the official creation of the state of Bangladesh |
| National holiday: | Independence Day, 26 March (1971); note - 26 March 1971 is the date of independence from West Pakistan, 16 December 1971 is Victory Day and commemorates the official creation of the state of Bangladesh |
| Constitution: | 4 November 1972, effective 16 December 1972; suspended following coup of 24 March 1982, restored 10 November 1986; amended many times |
| Legal system: | based on English common law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Iajuddin AHMED (since 6 September 2002) |
| Executive branch: | note: the country has a caretaker government until a general election is held; Iajuddin AHMED remains as President and Minister of Defense, and all other Cabinet portfolios are held by Caretaker Advisers (CAs); the Chief CA, Fakhruddin AHMED, is roughly equivalent to a prime minister |
| Executive branch: | elections: president elected by National Parliament for a five-year term (eligible for a second term); election scheduled for 16 September 2002 was not held since Iajuddin AHMED was the only presidential candidate; he was sworn in on 6 September 2002 (next election NA); following legislative elections, the leader of the party that wins the most seats is usually appointed prime minister by the president |
| Executive branch: | election results: Iajuddin AHMED declared president-elect by the Election Commission; he ran unopposed as president; percent of National Parliament vote - NA |
| Legislative branch: | unicameral National Parliament or Jatiya Sangsad; 300 seats elected by popular vote from single territorial constituencies; members serve five-year terms |
| Legislative branch: | elections: last held 1 October 2001 (the scheduled January 2007 election has been postponed) |
| Legislative branch: | election results: percent of vote by party - BNP and alliance partners 41%, AL 40%, other 19%; seats by party - BNP 193, AL 58, JI 17, JP (Ershad faction) 14, IOJ 2, JP (Manzur) 4, other 12; note - the election of October 2001 brought to power a majority BNP government aligned with three other smaller parties - JI, IOJ, and Jatiya Party (Manzur) |
| Judicial branch: | Supreme Court (the chief justices and other judges are appointed by the president) |
| Political parties and leaders: | Awami League or AL [Sheikh HASINA]; Bangladesh Communist Party or BCP [Saifuddin Ahmed MANIK]; Bangladesh Nationalist Party or BNP [Khaleda ZIA]; Islami Oikya Jote or IOJ [Mufti Fazlul Haq AMINI]; Jamaat-e-Islami Bangladesh or JIB [Matiur Rahman NIZAMI]; Jatiya Party or JP (Ershad faction) [Hussain Mohammad ERSHAD]; Jatiya Party (Manzur faction) [Naziur Rahman MANZUR]; Liberal Democratic Party or LDP [Badrudozza CHOWDHURY and Oli AHMED] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ARF, AsDB, BIMSTEC, C, CP, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUC, NAM, OIC, OPCW, SAARC, SACEP, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMEE, UNMIL, UNMIS, UNOCI, UNOMIG, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador M. Humayun KABIR |
| Diplomatic representation in the US: | chancery: 3510 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-0183 |
| Diplomatic representation in the US: | FAX: [1] (202) 244-5366 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Geeta PASI |
| Diplomatic representation from the US: | embassy: Madani Avenue, Baridhara, Dhaka 1212 |
| Diplomatic representation from the US: | mailing address: G. P. O. Box 323, Dhaka 1000 |
| Diplomatic representation from the US: | telephone: [880] (2) 885-5500 |
| Diplomatic representation from the US: | FAX: [880] (2) 882-3744 |
| Flag description: | green field with a large red disk shifted slightly to the hoist side of center; the red disk represents the rising sun and the sacrifice to achieve independence; the green field symbolizes the lush vegetation of Bangladesh |
