| Government | Bangladesh |
| --- | --- |
| Country name: | conventional long form: People's Republic of Bangladesh |
| Country name: | conventional short form: Bangladesh |
| Country name: | local long form: Gana Prajatantri Bangladesh |
| Country name: | local short form: Bangladesh |
| Country name: | former: East Bengal, East Pakistan |
| Government type: | parliamentary democracy |
| Capital: | name: Dhaka |
| Capital: | geographic coordinates: 23 43 N, 90 24 E |
| Capital: | time difference: UTC+6 (11 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 7 divisions; Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet |
| Independence: | 16 December 1971 (from West Pakistan) |
| National holiday: | Independence Day, 26 March (1971); Victory Day; note - March 1971 is the date of the Awami League's declaration of an independent Bangladesh, and 16 December, known as Victory Day, memorializes the military victory over Pakistan and the official creation of the state of Bangladesh |
| Constitution: | previous 1935, 1956, 1962 (preindependence); latest enacted 4 November 1972, effective 16 December 1972, suspendedMarch 1982, restored November 1986; amended many times, last in 2011 (2011) |
| Legal system: | mixed legal system of mostly English common law and Islamic law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Abdul HAMID (since 24 April 2013); note - Abdul HAMID served as acting president following the death of Zillur RAHMAN in March 2013; HAMID was subsequently elected by the National Parliament and was sworn in 24 April 2013 |
| Executive branch: | head of government: Prime Minister Sheikh HASINA (since 6 January 2009) |
| Executive branch: | cabinet: Cabinet selected by the prime minister and appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by National Parliament for a five-year term (eligible for a second term); last election held on 29 April 2013 (next must be held by 2018) |
| Executive branch: | election results: President Abdul HAMID was elected by the National Parliament unopposed |
| Legislative branch: | unicameral National Parliament or Jatiya Sangsad; 300 seats (45 reserved for women) elected by popular vote from single territorial constituencies; members serve five-year terms |
| Legislative branch: | elections: last held on 29 December 2008 (next to be held on 5 January 2014) |
| Legislative branch: | election results: percent of vote by party - AL 49%, BNP 33.2%, JP 7%, JIB 4.6%, other 6.2%; seats by party - AL 230, BNP 30, JP 27, JIB 2, other 11 |
| Judicial branch: | highest court(s): Supreme Court of Bangladesh (organized into the Appellate Division with 7 justices and the High Court Division with 99 justices) |
| Judicial branch: | judge selection and term of office: chief justice and justices appointed by the president; justices serve until retirement at age 67 |
| Judicial branch: | subordinate courts: civil courts include: Assistant Judge's Court; Joint District Judge's Court; Additional District Judge's Court; District Judge's Court; criminal courts include: Court of Sessions; Court of Metropolitan Sessions; special courts/tribunals; Metropolitan Magistrate Courts; Magistrate Court |
| Political parties and leaders: | Awami League or AL [Sheikh HASINA] |
| Political parties and leaders: | Communist Party of Bangladesh or CPB [Manjurul A. KHAN] |
| Political parties and leaders: | Bangladesh Nationalist Party or BNP [Khaleda ZIA] |
| Political parties and leaders: | Bikalpa Dhara Bangladesh or BDB [Badrudozza CHOWDHURY] |
| Political parties and leaders: | Islami Oikya Jote or IOJ [multiple leaders] |
| Political parties and leaders: | Jamaat-e-Islami Bangladesh or JIB [Matiur Rahman NIZAMI] |
| Political parties and leaders: | Jatiya Party or JP (Ershad faction) [Hussain Mohammad ERSHAD] |
| Political parties and leaders: | Liberal Democratic Party or LDP [Oli AHMED] |
| Political pressure groups and leaders: | Advocacy to End Gender-based Violence through the MoWCA (Ministry of Women's and Children's Affairs) |
| Political pressure groups and leaders: | Ain o Salish Kendro (Law and Order Center) |
| Political pressure groups and leaders: | Bangladesh Rural Advancement Committee or BRAC |
| Political pressure groups and leaders: | Bangladesh Center for Worker Solidarity |
| Political pressure groups and leaders: | Federation of Bangladesh Chambers of Commerce and Industry |
| Political pressure groups and leaders: | Odikhar (Human Rights) |
