| Government | Costa Rica |
| --- | --- |
| Country name: | conventional long form: Republic of Costa Rica |
| Country name: | conventional short form: Costa Rica |
| Country name: | local long form: Republica de Costa Rica |
| Country name: | local short form: Costa Rica |
| Country name: | etymology: the name means "rich coast" in Spanish and was first applied in the early colonial period of the 16th century |
| Government type: | presidential republic |
| Capital: | name: San Jose |
| Capital: | geographic coordinates: 9 56 N, 84 05 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC, during Standard Time) |
| Administrative divisions: | 7 provinces (provincias, singular - provincia); Alajuela, Cartago, Guanacaste, Heredia, Limon, Puntarenas, San Jose |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | history: many previous; latest effective 8 November 1949 (2018) |
| Constitution: | amendments: proposals require the signatures of at least 10 Legislative Assembly members or by petition of at least 5% of qualified voters; consideration of proposals requires two-thirds majority approval in each of 3 readings by the Assembly, followed by preparation of the proposal as a legislative bill and its approval by simple majority of the Assembly; passage requires at least two-thirds majority vote of the Assembly membership; a referendum is required only if approved by at least two-thirds of the Assembly; amended many times, last in 2015 (2018) |
| Legal system: | civil law system based on Spanish civil code; judicial review of legislative acts in the Supreme Court |
| International law organization participation: | accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 7 years |
| Suffrage: | 18 years of age; universal and compulsory |
| Judicial branch: | highest courts: Supreme Court of Justice (consists of 22 judges organized into 3 cassation chambers each with 5 judges and the Constitutional Chamber with 7 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court of Justice judges elected by the National Assembly for 8-year terms with renewal decided by the National Assembly |
| Judicial branch: | subordinate courts: appellate courts; trial courts; first instance and justice of the peace courts; Superior Electoral Tribunal |
| Executive branch: | chief of state: President Carlos ALVARADO Quesada (since 8 May 2018); First Vice President Epsy CAMPBELL Barr (since 8 May 2018); Second Vice President Marvin RODRIGUEZ Cordero (since 8 May 2018); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Carlos ALVARADO Quesada (since 8 May 2018); First Vice President Epsy CAMPBELL Barr (since 8 May 2018); Second Vice President Marvin RODRIGUEZ Cordero (since 8 May 2018) |
| Executive branch: | cabinet: Cabinet selected by the president |
| Executive branch: | elections/appointments: president and vice presidents directly elected on the same ballot by modified majority popular vote (40% threshold) for a 4-year term (eligible for non-consecutive terms); election last held on 4 February 2018 with a runoff on 1 April 2018 (next to be held in February 2022) |
| Executive branch: | election results: Carlos ALVARADO Quesada elected president in second round; percent of vote in first round - Fabricio ALVARADO Munoz (PRN) 25%; Carlos ALVARADO Quesada (PAC) 21.6%; Antonio ALVAREZ (PLN) 18.6%; Rodolfo PIZA (PUSC) 16%; Juan Diego CASTRO (PIN) 9.5%; Rodolfo HERNANDEZ (PRS) 4.9%, other 4.4%; percent of vote in second round - Carlos ALVARADO Quesada (PAC) 60.7%; Fabricio ALVARADO Munoz (PRN) 39.3% |
| Legislative branch: | description: unicameral Legislative Assembly or Asamblea Legislativa (57 seats; members directly elected in multi-seat constituencies - corresponding to the country's 7 provinces - by closed list proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 4 February 2018 (next to be held in February 2022) |
| Legislative branch: | election results: percent of vote by party - PLN 19.5%, PRN 18.2%, PAC 16.3%, PUSC 14.6%, PLN 7.7%, PRS 4.2%, PFA 4%, ADC 2.5%, ML 2.3%, PASE 2.3%, PNG 2.2%, other 6.2%; seats by party - PLN 17, PRN 14, PAC 10, PUSC 9, PLN 4, PRS 2, PFA 1 |
| Political parties and leaders: | Accessibility Without Exclusion or PASE [Oscar Andres LOPEZ Arias] |
| Political parties and leaders: | Broad Front (Frente Amplio) or PFA [Ana Patricia MORA Castellanos] |
| Political parties and leaders: | Christian Democratic Alliance or ADC [Mario REDONDO Poveda] |
| Political parties and leaders: | Citizen Action Party or PAC [Marcia GONZALEZ Aguiluz] |
| Political parties and leaders: | Costa Rican Renovation Party or PRC [Gonzalo Alberto RAMIREZ Zamora] |
| Political parties and leaders: | Libertarian Movement Party or ML [Victor Danilo CUBERO Corrales] |
| Political parties and leaders: | National Integration Party or PIN [Walter MUNOZ Cespedes] |
| Political parties and leaders: | National Liberation Party or PLN [Jorge Julio PATTONI Saenz] |
| Political parties and leaders: | National Restoration Party or PRN [Carlos Luis AVENDANO Calvo] |
| Political parties and leaders: | New Generation or PNG [Sergio MENA] |
| Political parties and leaders: | Patriotic Alliance [Jorge ARAYA Westover] |
| Political parties and leaders: | Social Christian Republican Party or PRS [Dragos DOLANESCU Valenciano] |
| Political parties and leaders: | Social Christian Unity Party or PUSC [Pedro MUNOZ Fonseca] |
| International organization participation: | BCIE, CACM, CD, CELAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA (observer), MIGA, NAM (observer), OAS, OIF (observer), OPANAL, OPCW, Pacific Alliance (observer), PCA, SICA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Fernando LLORCA Castro (since 17 September 2018) |
| Diplomatic representation in the US: | chancery: 2114 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 480-2200 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-4795 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Houston, Los Angeles, Miami, New York, Washington DC |
| Diplomatic representation in the US: | consulate(s): Saint Paul (MN), San Juan (Puerto Rico), Tucson (AZ) |
| Diplomatic representation from the US: | chief of mission: Ambassador Sharon DAY (since 5 October 2017) |
| Diplomatic representation from the US: | embassy: Calle 98 Via 104, Pavas, San Jose |
| Diplomatic representation from the US: | mailing address: APO AA 34020 |
| Diplomatic representation from the US: | telephone: [506] 2519-2000 |
| Diplomatic representation from the US: | FAX: [506] 2519-2305 |
| Flag description: | five horizontal bands of blue (top), white, red (double width), white, and blue, with the coat of arms in a white elliptical disk placed toward the hoist side of the red band; Costa Rica retained the earlier blue-white-blue flag of Central America until 1848 when, in response to revolutionary activity in Europe, it was decided to incorporate the French colors into the national flag and a central red stripe was added; today the blue color is said to stand for the sky, opportunity, and perseverance, white denotes peace, happiness, and wisdom, while red represents the blood shed for freedom, as well as the generosity and vibrancy of the people |
| Flag description: | note: somewhat resembles the flag of North Korea; similar to the flag of Thailand but with the blue and red colors reversed |
| National symbol(s): | yiguirro (clay-colored robin); national colors: blue, white, red |
| National anthem: | name: "Himno Nacional de Costa Rica" (National Anthem of Costa Rica) |
| National anthem: | lyrics/music: Jose Maria ZELEDON Brenes/Manuel Maria GUTIERREZ |
| National anthem: | note: adopted 1949; the anthem's music was originally written for an 1853 welcome ceremony for diplomatic missions from the US and UK; the lyrics were added in 1903 |
